"Step","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val/test_score/GSM8k","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val/test_score/GSM8k","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val/test_score/GSM8k","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val/test_score/GSM8k","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val/test_score/GSM8k__MAX"
"40","0.7642153146322972","0.7642153146322972","0.7642153146322972","0.7520849128127369","0.7520849128127369","0.7520849128127369","0.7187263078089462","0.7187263078089462","0.7187263078089462","0.7930250189537529","0.7930250189537529","0.7930250189537529"
"44","0.7717968157695224","0.7717968157695224","0.7717968157695224","0.7717968157695224","0.7717968157695224","0.7717968157695224","0.733131159969674","0.733131159969674","0.733131159969674","0.7915087187263078","0.7915087187263078","0.7915087187263078"
"48","0.7710386656557998","0.7710386656557998","0.7710386656557998","0.7611827141774071","0.7611827141774071","0.7611827141774071","0.7225170583775588","0.7225170583775588","0.7225170583775588","0.7877179681576952","0.7877179681576952","0.7877179681576952"
"52","0.7930250189537529","0.7930250189537529","0.7930250189537529","0.7869598180439727","0.7869598180439727","0.7869598180439727","0.7270659590598939","0.7270659590598939","0.7270659590598939","0.7907505686125853","0.7907505686125853","0.7907505686125853"
"56","0.7945413191811979","0.7945413191811979","0.7945413191811979","0.7717968157695224","0.7717968157695224","0.7717968157695224","0.734647460197119","0.734647460197119","0.734647460197119","0.7952994692949203","0.7952994692949203","0.7952994692949203"
"60","0.7975739196360879","0.7975739196360879","0.7975739196360879","0.7983320697498104","0.7983320697498104","0.7983320697498104","0.7354056103108415","0.7354056103108415","0.7354056103108415","0.7937831690674754","0.7937831690674754","0.7937831690674754"
"64","0.8036391205458681","0.8036391205458681","0.8036391205458681","0.796057619408643","0.796057619408643","0.796057619408643","0.7467778620166793","0.7467778620166793","0.7467778620166793","0.8021228203184231","0.8021228203184231","0.8021228203184231"
"68","0.8021228203184231","0.8021228203184231","0.8021228203184231","0.7778620166793025","0.7778620166793025","0.7778620166793025","0.7482941622441244","0.7482941622441244","0.7482941622441244","0.8233510235026535","0.8233510235026535","0.8233510235026535"
"72","0.8097043214556482","0.8097043214556482","0.8097043214556482","0.775587566338135","0.775587566338135","0.775587566338135","0.7369219105382866","0.7369219105382866","0.7369219105382866","0.8180439727065959","0.8180439727065959","0.8180439727065959"
"76","0.8013646702047005","0.8013646702047005","0.8013646702047005","0.7968157695223654","0.7968157695223654","0.7968157695223654","0.7626990144048522","0.7626990144048522","0.7626990144048522","0.8203184230477635","0.8203184230477635","0.8203184230477635"
"80","0.7907505686125853","0.7907505686125853","0.7907505686125853","0.7854435178165277","0.7854435178165277","0.7854435178165277","0.7710386656557998","0.7710386656557998","0.7710386656557998","0.8059135708870356","0.8059135708870356","0.8059135708870356"
"84","0.800606520090978","0.800606520090978","0.800606520090978","0.7983320697498104","0.7983320697498104","0.7983320697498104","0.7702805155420773","0.7702805155420773","0.7702805155420773","0.8112206216830933","0.8112206216830933","0.8112206216830933"
"88","0.800606520090978","0.800606520090978","0.800606520090978","0.8013646702047005","0.8013646702047005","0.8013646702047005","0.7710386656557998","0.7710386656557998","0.7710386656557998","0.8263836239575436","0.8263836239575436","0.8263836239575436"
"92","0.8309325246398787","0.8309325246398787","0.8309325246398787","0.8104624715693708","0.8104624715693708","0.8104624715693708","0.7763457164518575","0.7763457164518575","0.7763457164518575","0.8233510235026535","0.8233510235026535","0.8233510235026535"
"96","0.8347232752084913","0.8347232752084913","0.8347232752084913","0.7915087187263078","0.7915087187263078","0.7915087187263078","0.7892342683851402","0.7892342683851402","0.7892342683851402","0.824109173616376","0.824109173616376","0.824109173616376"
"100","0.8286580742987112","0.8286580742987112","0.8286580742987112","0.7968157695223654","0.7968157695223654","0.7968157695223654","0.7846853677028052","0.7846853677028052","0.7846853677028052","0.8301743745261562","0.8301743745261562","0.8301743745261562"
"104","0.8278999241849886","0.8278999241849886","0.8278999241849886","0.796057619408643","0.796057619408643","0.796057619408643","0.7793783169067475","0.7793783169067475","0.7793783169067475","0.8301743745261562","0.8301743745261562","0.8301743745261562"
"108","0.8339651250947687","0.8339651250947687","0.8339651250947687","0.8188021228203184","0.8188021228203184","0.8188021228203184","0.7793783169067475","0.7793783169067475","0.7793783169067475","","",""
"112","","","","","","","0.7748294162244125","0.7748294162244125","0.7748294162244125","","",""
"116","","","","","","","0.7808946171341926","0.7808946171341926","0.7808946171341926","","",""
