"Step","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val_response_length/test_length_correct/GSM8k__MAX"
"60","502.15494296577947","502.15494296577947","502.15494296577947","713.4634377967711","713.4634377967711","713.4634377967711","543.8309278350515","543.8309278350515","543.8309278350515","664.331423113658","664.331423113658","664.331423113658"
"64","493.25471698113205","493.25471698113205","493.25471698113205","703.592380952381","703.592380952381","703.592380952381","1046.1401015228425","1046.1401015228425","1046.1401015228425","766.2145557655955","766.2145557655955","766.2145557655955"
"68","525.4650283553875","525.4650283553875","525.4650283553875","674.0584795321637","674.0584795321637","674.0584795321637","1721.3687943262412","1721.3687943262412","1721.3687943262412","853.0165745856353","853.0165745856353","853.0165745856353"
"72","570.7649812734082","570.7649812734082","570.7649812734082","652.2434017595308","652.2434017595308","652.2434017595308","2008.9310699588477","2008.9310699588477","2008.9310699588477","878.339202965709","878.339202965709","878.339202965709"
"76","621.1087984862819","621.1087984862819","621.1087984862819","684.2407231208373","684.2407231208373","684.2407231208373","1240.6292246520875","1240.6292246520875","1240.6292246520875","1011.5573012939002","1011.5573012939002","1011.5573012939002"
"80","661.261744966443","661.261744966443","661.261744966443","710.0994208494209","710.0994208494209","710.0994208494209","1061.2300884955753","1061.2300884955753","1061.2300884955753","1041.4336782690498","1041.4336782690498","1041.4336782690498"
"84","694.3219696969697","694.3219696969697","694.3219696969697","785.9240265906933","785.9240265906933","785.9240265906933","857.9872047244095","857.9872047244095","857.9872047244095","1044.4168224299065","1044.4168224299065","1044.4168224299065"
"88","671.0757575757576","671.0757575757576","671.0757575757576","728.8297067171239","728.8297067171239","728.8297067171239","823.8574237954768","823.8574237954768","823.8574237954768","1039.0816513761467","1039.0816513761467","1039.0816513761467"
"92","632.9698905109489","632.9698905109489","632.9698905109489","793.223573433115","793.223573433115","793.223573433115","1084.724609375","1084.724609375","1084.724609375","1084.365561694291","1084.365561694291","1084.365561694291"
"96","662.2670299727521","662.2670299727521","662.2670299727521","786.5775862068965","786.5775862068965","786.5775862068965","1388.8530259365994","1388.8530259365994","1388.8530259365994","1042.7580496780129","1042.7580496780129","1042.7580496780129"
"100","722.1903019213174","722.1903019213174","722.1903019213174","887.1122740247383","887.1122740247383","887.1122740247383","1408.0125603864735","1408.0125603864735","1408.0125603864735","1183.3908675799087","1183.3908675799087","1183.3908675799087"
"104","768.1043956043956","768.1043956043956","768.1043956043956","825.0333333333333","825.0333333333333","825.0333333333333","1537.7684824902724","1537.7684824902724","1537.7684824902724","1346.5150684931507","1346.5150684931507","1346.5150684931507"
"108","775.5818181818182","775.5818181818182","775.5818181818182","840.9231481481481","840.9231481481481","840.9231481481481","1556.3093385214008","1556.3093385214008","1556.3093385214008","","",""
"112","","","","","","","1832.271037181996","1832.271037181996","1832.271037181996","","",""
"116","","","","","","","2056.028155339806","2056.028155339806","2056.028155339806","","",""
