"Step","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val_response_length/test_length_correct/OlympiadBench__MAX"
"40","1683.5846153846153","1683.5846153846153","1683.5846153846153","1905.561403508772","1905.561403508772","1905.561403508772","927.9904761904762","927.9904761904762","927.9904761904762","2006.0067567567567","2006.0067567567567","2006.0067567567567"
"44","1697.7631578947369","1697.7631578947369","1697.7631578947369","2102.810344827586","2102.810344827586","2102.810344827586","913.2285714285714","913.2285714285714","913.2285714285714","2059.375","2059.375","2059.375"
"48","1840.2222222222222","1840.2222222222222","1840.2222222222222","2201.8130841121497","2201.8130841121497","2201.8130841121497","993.8494623655914","993.8494623655914","993.8494623655914","2019.644927536232","2019.644927536232","2019.644927536232"
"52","1770.1953125","1770.1953125","1770.1953125","2250.5714285714284","2250.5714285714284","2250.5714285714284","1349.8829787234042","1349.8829787234042","1349.8829787234042","2031.6492537313434","2031.6492537313434","2031.6492537313434"
"56","1863.2291666666667","1863.2291666666667","1863.2291666666667","2093.2698412698414","2093.2698412698414","2093.2698412698414","1423.8695652173913","1423.8695652173913","1423.8695652173913","2276.2179487179487","2276.2179487179487","2276.2179487179487"
"60","1852.96644295302","1852.96644295302","1852.96644295302","2253.084033613445","2253.084033613445","2253.084033613445","1786.0576923076924","1786.0576923076924","1786.0576923076924","2244.458064516129","2244.458064516129","2244.458064516129"
"64","1683","1683","1683","2317.9846153846156","2317.9846153846156","2317.9846153846156","2158.6132075471696","2158.6132075471696","2158.6132075471696","2325.8169934640523","2325.8169934640523","2325.8169934640523"
"68","1860.0133333333333","1860.0133333333333","1860.0133333333333","2266.496062992126","2266.496062992126","2266.496062992126","2177.64","2177.64","2177.64","2221.689189189189","2221.689189189189","2221.689189189189"
"72","1993.3150684931506","1993.3150684931506","1993.3150684931506","2019.5","2019.5","2019.5","2261.5371900826444","2261.5371900826444","2261.5371900826444","2369.462068965517","2369.462068965517","2369.462068965517"
"76","2014.8661971830986","2014.8661971830986","2014.8661971830986","2175.177777777778","2175.177777777778","2175.177777777778","1952.490909090909","1952.490909090909","1952.490909090909","2557.3333333333335","2557.3333333333335","2557.3333333333335"
"80","1951.6357142857144","1951.6357142857144","1951.6357142857144","1980.4634146341464","1980.4634146341464","1980.4634146341464","2233.8934426229507","2233.8934426229507","2233.8934426229507","2672.96","2672.96","2672.96"
"84","2161.795918367347","2161.795918367347","2161.795918367347","2040.3828125","2040.3828125","2040.3828125","1889.6666666666667","1889.6666666666667","1889.6666666666667","2624.3819444444443","2624.3819444444443","2624.3819444444443"
"88","1993.1489361702127","1993.1489361702127","1993.1489361702127","1950.8692307692309","1950.8692307692309","1950.8692307692309","1899.9032258064517","1899.9032258064517","1899.9032258064517","2582.448275862069","2582.448275862069","2582.448275862069"
"92","1737.006711409396","1737.006711409396","1737.006711409396","2049.563909774436","2049.563909774436","2049.563909774436","2151.175925925926","2151.175925925926","2151.175925925926","2633.699346405229","2633.699346405229","2633.699346405229"
"96","1797.9161290322581","1797.9161290322581","1797.9161290322581","2011.863309352518","2011.863309352518","2011.863309352518","2563.601694915254","2563.601694915254","2563.601694915254","2619.6216216216217","2619.6216216216217","2619.6216216216217"
"100","2462.62091503268","2462.62091503268","2462.62091503268","2546.6015037593984","2546.6015037593984","2546.6015037593984","3322.5398230088495","3322.5398230088495","3322.5398230088495","3036.862068965517","3036.862068965517","3036.862068965517"
"104","2227.867469879518","2227.867469879518","2227.867469879518","2488.512987012987","2488.512987012987","2488.512987012987","3181.8333333333335","3181.8333333333335","3181.8333333333335","3149.296296296296","3149.296296296296","3149.296296296296"
"108","2345.33125","2345.33125","2345.33125","2461.875816993464","2461.875816993464","2461.875816993464","3074.7203389830506","3074.7203389830506","3074.7203389830506","","",""
"112","","","","","","","3094.15625","3094.15625","3094.15625","","",""
"116","","","","","","","3565.624060150376","3565.624060150376","3565.624060150376","","",""
