"Step","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/MATH500__MAX"
"292","289.46724890829694","289.46724890829694","289.46724890829694","","","","318.45652173913044","318.45652173913044","318.45652173913044"
"296","310.4107142857143","310.4107142857143","310.4107142857143","","","","308.8772727272727","308.8772727272727","308.8772727272727"
"300","275.3181818181818","275.3181818181818","275.3181818181818","","","","302.085201793722","302.085201793722","302.085201793722"
"304","274.5374449339207","274.5374449339207","274.5374449339207","","","","297.8727272727273","297.8727272727273","297.8727272727273"
"308","294.51801801801804","294.51801801801804","294.51801801801804","","","","298.2443438914027","298.2443438914027","298.2443438914027"
"312","280.20535714285717","280.20535714285717","280.20535714285717","","","","301.1688888888889","301.1688888888889","301.1688888888889"
"316","302.26267281105993","302.26267281105993","302.26267281105993","","","","291.3805309734513","291.3805309734513","291.3805309734513"
"320","298.96875","298.96875","298.96875","","","","282.81018518518516","282.81018518518516","282.81018518518516"
"324","279.2345132743363","279.2345132743363","279.2345132743363","","","","314.14285714285717","314.14285714285717","314.14285714285717"
"328","294.2130434782609","294.2130434782609","294.2130434782609","","","","296.09589041095893","296.09589041095893","296.09589041095893"
"332","284.33482142857144","284.33482142857144","284.33482142857144","","","","310.41013824884794","310.41013824884794","310.41013824884794"
"336","291.6854460093897","291.6854460093897","291.6854460093897","","","","289.94930875576034","289.94930875576034","289.94930875576034"
"340","298.2009132420091","298.2009132420091","298.2009132420091","","","","328.9780701754386","328.9780701754386","328.9780701754386"
"344","300.6933333333333","300.6933333333333","300.6933333333333","","","","312.85377358490564","312.85377358490564","312.85377358490564"
"348","281.4","281.4","281.4","","","","315.92","315.92","315.92"
"352","280.846511627907","280.846511627907","280.846511627907","","","","283.9154929577465","283.9154929577465","283.9154929577465"
"356","289.5669642857143","289.5669642857143","289.5669642857143","","","","297.14220183486236","297.14220183486236","297.14220183486236"
"360","288.87330316742083","288.87330316742083","288.87330316742083","","","","294.40277777777777","294.40277777777777","294.40277777777777"
"364","280.4298245614035","280.4298245614035","280.4298245614035","","","","291.81481481481484","291.81481481481484","291.81481481481484"
"368","290.7675438596491","290.7675438596491","290.7675438596491","","","","293.7219730941704","293.7219730941704","293.7219730941704"
"372","293.8590909090909","293.8590909090909","293.8590909090909","","","","312.0493273542601","312.0493273542601","312.0493273542601"
"376","301.3783783783784","301.3783783783784","301.3783783783784","","","","287.46222222222224","287.46222222222224","287.46222222222224"
"380","316.96491228070175","316.96491228070175","316.96491228070175","","","","296.71238938053096","296.71238938053096","296.71238938053096"
"384","291.4458874458874","291.4458874458874","291.4458874458874","","","","291.9244444444444","291.9244444444444","291.9244444444444"
"388","304.6837606837607","304.6837606837607","304.6837606837607","","","","287.8235294117647","287.8235294117647","287.8235294117647"
"392","284.84753363228697","284.84753363228697","284.84753363228697","","","","312.0869565217391","312.0869565217391","312.0869565217391"
"396","297.68918918918916","297.68918918918916","297.68918918918916","","","","317.27777777777777","317.27777777777777","317.27777777777777"
"400","280.5043859649123","280.5043859649123","280.5043859649123","","","","320.33482142857144","320.33482142857144","320.33482142857144"
"404","281.695067264574","281.695067264574","281.695067264574","","","","305.7488584474886","305.7488584474886","305.7488584474886"
"408","299.3605150214592","299.3605150214592","299.3605150214592","","","","319.6478260869565","319.6478260869565","319.6478260869565"
"412","295.46666666666664","295.46666666666664","295.46666666666664","","","","307.9778761061947","307.9778761061947","307.9778761061947"
"416","294.62605042016804","294.62605042016804","294.62605042016804","","","","294.90277777777777","294.90277777777777","294.90277777777777"
"420","284.80973451327435","284.80973451327435","284.80973451327435","","","","304.7217391304348","304.7217391304348","304.7217391304348"
"424","281.77092511013217","281.77092511013217","281.77092511013217","","","","291.5112107623318","291.5112107623318","291.5112107623318"
"428","279.70588235294116","279.70588235294116","279.70588235294116","","","","299.219298245614","299.219298245614","299.219298245614"
"432","280.59911894273125","280.59911894273125","280.59911894273125","","","","290.7488584474886","290.7488584474886","290.7488584474886"
"436","273.1697247706422","273.1697247706422","273.1697247706422","","","","315.7705627705628","315.7705627705628","315.7705627705628"
"440","278.81497797356826","278.81497797356826","278.81497797356826","","","","311.2586206896552","311.2586206896552","311.2586206896552"
"444","303.31838565022423","303.31838565022423","303.31838565022423","","","","298.8","298.8","298.8"
"448","320.9178082191781","320.9178082191781","320.9178082191781","","","","301.2825112107623","301.2825112107623","301.2825112107623"
"452","280.90047393364927","280.90047393364927","280.90047393364927","","","","314.56888888888886","314.56888888888886","314.56888888888886"
"456","297.61990950226243","297.61990950226243","297.61990950226243","","","","304.39170506912444","304.39170506912444","304.39170506912444"
"460","292.44933920704847","292.44933920704847","292.44933920704847","","","","294.5669642857143","294.5669642857143","294.5669642857143"
"464","282.19555555555553","282.19555555555553","282.19555555555553","","","","299.9301310043668","299.9301310043668","299.9301310043668"
"468","269.91743119266056","269.91743119266056","269.91743119266056","","","","303.7445887445887","303.7445887445887","303.7445887445887"
"472","265.73394495412845","265.73394495412845","265.73394495412845","","","","290.12442396313367","290.12442396313367","290.12442396313367"
"476","272.12669683257917","272.12669683257917","272.12669683257917","","","","297.79910714285717","297.79910714285717","297.79910714285717"
"480","284.29017857142856","284.29017857142856","284.29017857142856","","","","291.2311320754717","291.2311320754717","291.2311320754717"
"484","266.78636363636366","266.78636363636366","266.78636363636366","","","","304.1756756756757","304.1756756756757","304.1756756756757"
"488","297.5324074074074","297.5324074074074","297.5324074074074","","","","292.1511111111111","292.1511111111111","292.1511111111111"
"492","279.8812785388128","279.8812785388128","279.8812785388128","","","","301.352422907489","301.352422907489","301.352422907489"
"496","274.3860465116279","274.3860465116279","274.3860465116279","","","","293.009009009009","293.009009009009","293.009009009009"
"500","286.9585253456221","286.9585253456221","286.9585253456221","","","","298.84234234234236","298.84234234234236","298.84234234234236"
"504","287.109649122807","287.109649122807","287.109649122807","","","","294.35555555555555","294.35555555555555","294.35555555555555"
"508","255.76525821596243","255.76525821596243","255.76525821596243","","","","312.68","312.68","312.68"
"512","287.94117647058823","287.94117647058823","287.94117647058823","","","","307.5431034482759","307.5431034482759","307.5431034482759"
"516","270.3842794759825","270.3842794759825","270.3842794759825","","","","288.1511111111111","288.1511111111111","288.1511111111111"
"520","257.08482142857144","257.08482142857144","257.08482142857144","","","","308.8200836820084","308.8200836820084","308.8200836820084"
"524","267.82300884955754","267.82300884955754","267.82300884955754","","","","298.9316239316239","298.9316239316239","298.9316239316239"
"528","266.35185185185185","266.35185185185185","266.35185185185185","","","","308.0131004366812","308.0131004366812","308.0131004366812"
"532","266.10697674418606","266.10697674418606","266.10697674418606","","","","301.8646288209607","301.8646288209607","301.8646288209607"
"536","274.0046296296296","274.0046296296296","274.0046296296296","","","","325.36842105263156","325.36842105263156","325.36842105263156"
"540","257.6359649122807","257.6359649122807","257.6359649122807","","","","322.2008733624454","322.2008733624454","322.2008733624454"
"544","306.95338983050846","306.95338983050846","306.95338983050846","","","","316.18297872340423","316.18297872340423","316.18297872340423"
"548","274.8243243243243","274.8243243243243","274.8243243243243","","","","301.12554112554113","301.12554112554113","301.12554112554113"
"552","267.7488986784141","267.7488986784141","267.7488986784141","","","","298.057268722467","298.057268722467","298.057268722467"
"556","263.58447488584477","263.58447488584477","263.58447488584477","","","","313.6535087719298","313.6535087719298","313.6535087719298"
"560","282.2027027027027","282.2027027027027","282.2027027027027","","","","311.65531914893614","311.65531914893614","311.65531914893614"
"564","268.45089285714283","268.45089285714283","268.45089285714283","","","","344.58995815899584","344.58995815899584","344.58995815899584"
"568","259.4583333333333","259.4583333333333","259.4583333333333","","","","339.87606837606836","339.87606837606836","339.87606837606836"
"572","292.0933333333333","292.0933333333333","292.0933333333333","","","","336.8125","336.8125","336.8125"
"576","275.7882882882883","275.7882882882883","275.7882882882883","","","","338.48497854077254","338.48497854077254","338.48497854077254"
"580","258.5925925925926","258.5925925925926","258.5925925925926","","","","321.17543859649123","321.17543859649123","321.17543859649123"
"584","261.82666666666665","261.82666666666665","261.82666666666665","","","","325.0177777777778","325.0177777777778","325.0177777777778"
"588","251.0418604651163","251.0418604651163","251.0418604651163","","","","309.0301724137931","309.0301724137931","309.0301724137931"
"592","261.33181818181816","261.33181818181816","261.33181818181816","","","","302.44144144144144","302.44144144144144","302.44144144144144"
"596","277.1659388646288","277.1659388646288","277.1659388646288","","","","318.3231441048035","318.3231441048035","318.3231441048035"
"600","276.4045454545454","276.4045454545454","276.4045454545454","","","","295.1806167400881","295.1806167400881","295.1806167400881"
"604","272.6140350877193","272.6140350877193","272.6140350877193","","","","299.2217391304348","299.2217391304348","299.2217391304348"
"608","280.5683760683761","280.5683760683761","280.5683760683761","","","","293.39823008849555","293.39823008849555","293.39823008849555"
"612","266.70940170940173","266.70940170940173","266.70940170940173","","","","296.74439461883406","296.74439461883406","296.74439461883406"
"616","271.65486725663715","271.65486725663715","271.65486725663715","","","","295.68669527897","295.68669527897","295.68669527897"
"620","267.05676855895194","267.05676855895194","267.05676855895194","","","","291.9511111111111","291.9511111111111","291.9511111111111"
"624","261.97285067873304","261.97285067873304","261.97285067873304","","","","297.89565217391305","297.89565217391305","297.89565217391305"
"628","265.4166666666667","265.4166666666667","265.4166666666667","","","","294.84120171673817","294.84120171673817","294.84120171673817"
"632","266.3711790393013","266.3711790393013","266.3711790393013","","","","292.49781659388645","292.49781659388645","292.49781659388645"
"636","263.0357142857143","263.0357142857143","263.0357142857143","","","","329.8024691358025","329.8024691358025","329.8024691358025"
"640","266.13698630136986","266.13698630136986","266.13698630136986","","","","281.9429824561403","281.9429824561403","281.9429824561403"
"644","288.8778280542986","288.8778280542986","288.8778280542986","","","","294.24347826086955","294.24347826086955","294.24347826086955"
"648","266.42410714285717","266.42410714285717","266.42410714285717","","","","298.0086206896552","298.0086206896552","298.0086206896552"
"652","258.80841121495325","258.80841121495325","258.80841121495325","","","","302.96153846153845","302.96153846153845","302.96153846153845"
"656","250.66037735849056","250.66037735849056","250.66037735849056","","","","303.149377593361","303.149377593361","303.149377593361"
"660","255.6221198156682","255.6221198156682","255.6221198156682","","","","291.5431034482759","291.5431034482759","291.5431034482759"
"664","267.6666666666667","267.6666666666667","267.6666666666667","","","","298.19742489270385","298.19742489270385","298.19742489270385"
"668","277.9449541284404","277.9449541284404","277.9449541284404","","","","294.27705627705626","294.27705627705626","294.27705627705626"
"672","275.86425339366514","275.86425339366514","275.86425339366514","","","","309.3290598290598","309.3290598290598","309.3290598290598"
"676","265.9727272727273","265.9727272727273","265.9727272727273","","","","312.109649122807","312.109649122807","312.109649122807"
"680","260.41255605381167","260.41255605381167","260.41255605381167","","","","330.77872340425535","330.77872340425535","330.77872340425535"
"684","282.7688888888889","282.7688888888889","282.7688888888889","","","","308.728813559322","308.728813559322","308.728813559322"
"688","264.88262910798124","264.88262910798124","264.88262910798124","","","","325.0593220338983","325.0593220338983","325.0593220338983"
"692","265.0046511627907","265.0046511627907","265.0046511627907","","","","329.36","329.36","329.36"
"696","268.2522935779817","268.2522935779817","268.2522935779817","","","","","",""
"700","286.78636363636366","286.78636363636366","286.78636363636366","","","","","",""
"704","272.1336405529954","272.1336405529954","272.1336405529954","","","","","",""
"708","256.6203703703704","256.6203703703704","256.6203703703704","","","","","",""
"712","266.23423423423424","266.23423423423424","266.23423423423424","","","","","",""
"716","265.57209302325583","265.57209302325583","265.57209302325583","","","","","",""
"720","241.04128440366972","241.04128440366972","241.04128440366972","","","","","",""
"724","256.7857142857143","256.7857142857143","256.7857142857143","","","","","",""
"728","242.37674418604652","242.37674418604652","242.37674418604652","","","","","",""
"732","261.5296803652968","261.5296803652968","261.5296803652968","","","","","",""
"736","254.11872146118722","254.11872146118722","254.11872146118722","","","","","",""
"740","257.30555555555554","257.30555555555554","257.30555555555554","","","","","",""
"744","270.8703703703704","270.8703703703704","270.8703703703704","","","","","",""
"748","256.15909090909093","256.15909090909093","256.15909090909093","","","","","",""
"752","256.4035874439462","256.4035874439462","256.4035874439462","","","","","",""
"756","260.4770642201835","260.4770642201835","260.4770642201835","","","","","",""
"760","269.1294642857143","269.1294642857143","269.1294642857143","","","","","",""
"764","261.85333333333335","261.85333333333335","261.85333333333335","","","","","",""
"768","266.75925925925924","266.75925925925924","266.75925925925924","","","","","",""
"772","262.2511210762332","262.2511210762332","262.2511210762332","","","","","",""
"776","270.0964912280702","270.0964912280702","270.0964912280702","","","","","",""
"780","264.5863636363636","264.5863636363636","264.5863636363636","","","","","",""
"784","257.9429824561403","257.9429824561403","257.9429824561403","","","","","",""
"788","255.15384615384616","255.15384615384616","255.15384615384616","","","","","",""
"792","258.92792792792795","258.92792792792795","258.92792792792795","","","","","",""
"796","263.215859030837","263.215859030837","263.215859030837","","","","","",""
"800","257.36","257.36","257.36","","","","","",""
"804","261.9475982532751","261.9475982532751","261.9475982532751","","","","","",""
"808","261.50666666666666","261.50666666666666","261.50666666666666","","","","","",""
"812","261.69957081545067","261.69957081545067","261.69957081545067","","","","","",""
"816","260.14864864864865","260.14864864864865","260.14864864864865","","","","","",""
"820","257.6188340807175","257.6188340807175","257.6188340807175","","","","","",""
"824","265.3448275862069","265.3448275862069","265.3448275862069","","","","","",""
"828","280.375","280.375","280.375","","","","","",""
"832","268.0267857142857","268.0267857142857","268.0267857142857","","","","","",""
"836","260.84375","260.84375","260.84375","","","","","",""
"840","250.5286343612335","250.5286343612335","250.5286343612335","","","","","",""
"844","265.0264317180617","265.0264317180617","265.0264317180617","","","","","",""
"848","266.72645739910314","266.72645739910314","266.72645739910314","","","","","",""
"852","261.26126126126127","261.26126126126127","261.26126126126127","","","","","",""
"856","254.1497797356828","254.1497797356828","254.1497797356828","","","","","",""
"860","254.94642857142858","254.94642857142858","254.94642857142858","","","","","",""
"864","264.0801886792453","264.0801886792453","264.0801886792453","","","","","",""
"868","259.03097345132744","259.03097345132744","259.03097345132744","","","","","",""
"872","256.65065502183404","256.65065502183404","256.65065502183404","","","","","",""
"876","249.30516431924883","249.30516431924883","249.30516431924883","","","","","",""
