"Step","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/MATH500","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/MATH500__MIN","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/MATH500__MAX","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/MATH500","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/MATH500__MIN","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/MATH500__MAX","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/MATH500","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/MATH500__MIN","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/MATH500__MAX"
"572","0.45","0.45","0.45","","","","0.48","0.48","0.48"
"576","0.444","0.444","0.444","","","","0.466","0.466","0.466"
"580","0.432","0.432","0.432","","","","0.456","0.456","0.456"
"584","0.45","0.45","0.45","","","","0.45","0.45","0.45"
"588","0.43","0.43","0.43","","","","0.464","0.464","0.464"
"592","0.44","0.44","0.44","","","","0.444","0.444","0.444"
"596","0.458","0.458","0.458","","","","0.458","0.458","0.458"
"600","0.44","0.44","0.44","","","","0.454","0.454","0.454"
"604","0.456","0.456","0.456","","","","0.46","0.46","0.46"
"608","0.468","0.468","0.468","","","","0.452","0.452","0.452"
"612","0.468","0.468","0.468","","","","0.446","0.446","0.446"
"616","0.452","0.452","0.452","","","","0.466","0.466","0.466"
"620","0.458","0.458","0.458","","","","0.45","0.45","0.45"
"624","0.442","0.442","0.442","","","","0.46","0.46","0.46"
"628","0.456","0.456","0.456","","","","0.466","0.466","0.466"
"632","0.458","0.458","0.458","","","","0.458","0.458","0.458"
"636","0.448","0.448","0.448","","","","0.486","0.486","0.486"
"640","0.438","0.438","0.438","","","","0.456","0.456","0.456"
"644","0.442","0.442","0.442","","","","0.46","0.46","0.46"
"648","0.448","0.448","0.448","","","","0.464","0.464","0.464"
"652","0.428","0.428","0.428","","","","0.468","0.468","0.468"
"656","0.424","0.424","0.424","","","","0.482","0.482","0.482"
"660","0.434","0.434","0.434","","","","0.464","0.464","0.464"
"664","0.438","0.438","0.438","","","","0.466","0.466","0.466"
"668","0.436","0.436","0.436","","","","0.462","0.462","0.462"
"672","0.442","0.442","0.442","","","","0.468","0.468","0.468"
"676","0.44","0.44","0.44","","","","0.456","0.456","0.456"
"680","0.446","0.446","0.446","","","","0.47","0.47","0.47"
"684","0.45","0.45","0.45","","","","0.472","0.472","0.472"
"688","0.426","0.426","0.426","","","","0.472","0.472","0.472"
"692","0.43","0.43","0.43","","","","0.45","0.45","0.45"
"696","0.436","0.436","0.436","","","","","",""
"700","0.44","0.44","0.44","","","","","",""
"704","0.434","0.434","0.434","","","","","",""
"708","0.432","0.432","0.432","","","","","",""
"712","0.444","0.444","0.444","","","","","",""
"716","0.43","0.43","0.43","","","","","",""
"720","0.436","0.436","0.436","","","","","",""
"724","0.448","0.448","0.448","","","","","",""
"728","0.43","0.43","0.43","","","","","",""
"732","0.438","0.438","0.438","","","","","",""
"736","0.438","0.438","0.438","","","","","",""
"740","0.432","0.432","0.432","","","","","",""
"744","0.432","0.432","0.432","","","","","",""
"748","0.44","0.44","0.44","","","","","",""
"752","0.446","0.446","0.446","","","","","",""
"756","0.436","0.436","0.436","","","","","",""
"760","0.448","0.448","0.448","","","","","",""
"764","0.45","0.45","0.45","","","","","",""
"768","0.432","0.432","0.432","","","","","",""
"772","0.446","0.446","0.446","","","","","",""
"776","0.456","0.456","0.456","","","","","",""
"780","0.44","0.44","0.44","","","","","",""
"784","0.456","0.456","0.456","","","","","",""
"788","0.442","0.442","0.442","","","","","",""
"792","0.444","0.444","0.444","","","","","",""
"796","0.454","0.454","0.454","","","","","",""
"800","0.45","0.45","0.45","","","","","",""
"804","0.458","0.458","0.458","","","","","",""
"808","0.45","0.45","0.45","","","","","",""
"812","0.466","0.466","0.466","","","","","",""
"816","0.444","0.444","0.444","","","","","",""
"820","0.446","0.446","0.446","","","","","",""
"824","0.464","0.464","0.464","","","","","",""
"828","0.448","0.448","0.448","","","","","",""
"832","0.448","0.448","0.448","","","","","",""
"836","0.448","0.448","0.448","","","","","",""
"840","0.454","0.454","0.454","","","","","",""
"844","0.454","0.454","0.454","","","","","",""
"848","0.446","0.446","0.446","","","","","",""
"852","0.444","0.444","0.444","","","","","",""
"856","0.454","0.454","0.454","","","","","",""
"860","0.448","0.448","0.448","","","","","",""
"864","0.424","0.424","0.424","","","","","",""
"868","0.452","0.452","0.452","","","","","",""
"872","0.458","0.458","0.458","","","","","",""
"876","0.426","0.426","0.426","","","","","",""
