"Step","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/OlympiadBench__MAX"
"188","447.8152173913044","447.8152173913044","447.8152173913044","","","","472.95959595959596","472.95959595959596","472.95959595959596"
"192","492.3695652173913","492.3695652173913","492.3695652173913","","","","468.54901960784315","468.54901960784315","468.54901960784315"
"196","497.2323232323232","497.2323232323232","497.2323232323232","","","","521.2688172043011","521.2688172043011","521.2688172043011"
"200","462.15","462.15","462.15","","","","532.0909090909091","532.0909090909091","532.0909090909091"
"204","416.5813953488372","416.5813953488372","416.5813953488372","","","","473.04040404040404","473.04040404040404","473.04040404040404"
"208","440.6559139784946","440.6559139784946","440.6559139784946","","","","472.7040816326531","472.7040816326531","472.7040816326531"
"212","458.5","458.5","458.5","","","","500.35353535353534","500.35353535353534","500.35353535353534"
"216","440.0952380952381","440.0952380952381","440.0952380952381","","","","489.03125","489.03125","489.03125"
"220","510.55056179775283","510.55056179775283","510.55056179775283","","","","477.8556701030928","477.8556701030928","477.8556701030928"
"224","459","459","459","","","","532.1530612244898","532.1530612244898","532.1530612244898"
"228","475.43617021276594","475.43617021276594","475.43617021276594","","","","466.4255319148936","466.4255319148936","466.4255319148936"
"232","425.39325842696627","425.39325842696627","425.39325842696627","","","","448.52127659574467","448.52127659574467","448.52127659574467"
"236","473.40449438202245","473.40449438202245","473.40449438202245","","","","521.2989690721649","521.2989690721649","521.2989690721649"
"240","476.0125","476.0125","476.0125","","","","442.09090909090907","442.09090909090907","442.09090909090907"
"244","580.2674418604652","580.2674418604652","580.2674418604652","","","","431.32941176470587","431.32941176470587","431.32941176470587"
"248","516.8023255813954","516.8023255813954","516.8023255813954","","","","459.4782608695652","459.4782608695652","459.4782608695652"
"252","439.7906976744186","439.7906976744186","439.7906976744186","","","","503.7113402061856","503.7113402061856","503.7113402061856"
"256","467.5287356321839","467.5287356321839","467.5287356321839","","","","453.9247311827957","453.9247311827957","453.9247311827957"
"260","478.3263157894737","478.3263157894737","478.3263157894737","","","","464.22680412371136","464.22680412371136","464.22680412371136"
"264","507.9247311827957","507.9247311827957","507.9247311827957","","","","465","465","465"
"268","473.7977528089888","473.7977528089888","473.7977528089888","","","","451.4","451.4","451.4"
"272","496.5977011494253","496.5977011494253","496.5977011494253","","","","492.7473684210526","492.7473684210526","492.7473684210526"
"276","447.75531914893617","447.75531914893617","447.75531914893617","","","","466.14285714285717","466.14285714285717","466.14285714285717"
"280","459.62105263157895","459.62105263157895","459.62105263157895","","","","555.5384615384615","555.5384615384615","555.5384615384615"
"284","523.5686274509804","523.5686274509804","523.5686274509804","","","","513.3414634146342","513.3414634146342","513.3414634146342"
"288","507.8041237113402","507.8041237113402","507.8041237113402","","","","524.969387755102","524.969387755102","524.969387755102"
"292","507.6043956043956","507.6043956043956","507.6043956043956","","","","483.24","483.24","483.24"
"296","498.51162790697674","498.51162790697674","498.51162790697674","","","","506.55056179775283","506.55056179775283","506.55056179775283"
"300","517.2659574468086","517.2659574468086","517.2659574468086","","","","531.5050505050505","531.5050505050505","531.5050505050505"
"304","484.62105263157895","484.62105263157895","484.62105263157895","","","","583.6477272727273","583.6477272727273","583.6477272727273"
"308","462.32978723404256","462.32978723404256","462.32978723404256","","","","516.3535353535353","516.3535353535353","516.3535353535353"
"312","502.11","502.11","502.11","","","","503.6380952380952","503.6380952380952","503.6380952380952"
"316","476.2474226804124","476.2474226804124","476.2474226804124","","","","449.18367346938777","449.18367346938777","449.18367346938777"
"320","549.0957446808511","549.0957446808511","549.0957446808511","","","","493.1904761904762","493.1904761904762","493.1904761904762"
"324","464.65934065934067","464.65934065934067","464.65934065934067","","","","523.2685185185185","523.2685185185185","523.2685185185185"
"328","494.2903225806452","494.2903225806452","494.2903225806452","","","","455.9633027522936","455.9633027522936","455.9633027522936"
"332","445.9347826086956","445.9347826086956","445.9347826086956","","","","456.97297297297297","456.97297297297297","456.97297297297297"
"336","490.52884615384613","490.52884615384613","490.52884615384613","","","","490.5462962962963","490.5462962962963","490.5462962962963"
"340","497.7524752475247","497.7524752475247","497.7524752475247","","","","460.34615384615387","460.34615384615387","460.34615384615387"
"344","484.752380952381","484.752380952381","484.752380952381","","","","489.55855855855856","489.55855855855856","489.55855855855856"
"348","503.66336633663366","503.66336633663366","503.66336633663366","","","","481.4757281553398","481.4757281553398","481.4757281553398"
"352","466.5607476635514","466.5607476635514","466.5607476635514","","","","526.927927927928","526.927927927928","526.927927927928"
"356","493.7169811320755","493.7169811320755","493.7169811320755","","","","481.4257425742574","481.4257425742574","481.4257425742574"
"360","501.83870967741933","501.83870967741933","501.83870967741933","","","","447.6448598130841","447.6448598130841","447.6448598130841"
"364","521.1789473684211","521.1789473684211","521.1789473684211","","","","538.4166666666666","538.4166666666666","538.4166666666666"
"368","546.5473684210526","546.5473684210526","546.5473684210526","","","","535.324074074074","535.324074074074","535.324074074074"
"372","553.2474226804123","553.2474226804123","553.2474226804123","","","","515.0825688073395","515.0825688073395","515.0825688073395"
"376","534.2745098039215","534.2745098039215","534.2745098039215","","","","604.6666666666666","604.6666666666666","604.6666666666666"
"380","578.9655172413793","578.9655172413793","578.9655172413793","","","","542.1351351351351","542.1351351351351","542.1351351351351"
"384","634.1122448979592","634.1122448979592","634.1122448979592","","","","480.3269230769231","480.3269230769231","480.3269230769231"
"388","510","510","510","","","","496.27","496.27","496.27"
"392","498.032967032967","498.032967032967","498.032967032967","","","","519.6990291262136","519.6990291262136","519.6990291262136"
"396","478.438202247191","478.438202247191","478.438202247191","","","","538.5294117647059","538.5294117647059","538.5294117647059"
"400","446.6629213483146","446.6629213483146","446.6629213483146","","","","564.4","564.4","564.4"
"404","448.94565217391306","448.94565217391306","448.94565217391306","","","","500.7227722772277","500.7227722772277","500.7227722772277"
"408","470.66279069767444","470.66279069767444","470.66279069767444","","","","477.77358490566036","477.77358490566036","477.77358490566036"
"412","479.27777777777777","479.27777777777777","479.27777777777777","","","","533.6","533.6","533.6"
"416","487.53061224489795","487.53061224489795","487.53061224489795","","","","505.8817204301075","505.8817204301075","505.8817204301075"
"420","459.54639175257734","459.54639175257734","459.54639175257734","","","","527.5510204081633","527.5510204081633","527.5510204081633"
"424","503.5824175824176","503.5824175824176","503.5824175824176","","","","482.11494252873564","482.11494252873564","482.11494252873564"
"428","460.7142857142857","460.7142857142857","460.7142857142857","","","","523.8857142857142","523.8857142857142","523.8857142857142"
"432","476.27272727272725","476.27272727272725","476.27272727272725","","","","475.63440860215053","475.63440860215053","475.63440860215053"
"436","485.94059405940595","485.94059405940595","485.94059405940595","","","","557.3263157894737","557.3263157894737","557.3263157894737"
"440","506.6530612244898","506.6530612244898","506.6530612244898","","","","439.4725274725275","439.4725274725275","439.4725274725275"
"444","542.438202247191","542.438202247191","542.438202247191","","","","500.14285714285717","500.14285714285717","500.14285714285717"
"448","453.1195652173913","453.1195652173913","453.1195652173913","","","","491.0686274509804","491.0686274509804","491.0686274509804"
"452","536.1368421052632","536.1368421052632","536.1368421052632","","","","509.65625","509.65625","509.65625"
"456","469.020202020202","469.020202020202","469.020202020202","","","","494.1","494.1","494.1"
"460","477.9569892473118","477.9569892473118","477.9569892473118","","","","485.5","485.5","485.5"
"464","460.2857142857143","460.2857142857143","460.2857142857143","","","","500.27472527472526","500.27472527472526","500.27472527472526"
"468","414.78350515463916","414.78350515463916","414.78350515463916","","","","513.629213483146","513.629213483146","513.629213483146"
"472","456.8269230769231","456.8269230769231","456.8269230769231","","","","585.3052631578947","585.3052631578947","585.3052631578947"
"476","413.5959595959596","413.5959595959596","413.5959595959596","","","","545.7979797979798","545.7979797979798","545.7979797979798"
"480","486.4021739130435","486.4021739130435","486.4021739130435","","","","474.63","474.63","474.63"
"484","422.42045454545456","422.42045454545456","422.42045454545456","","","","554.76","554.76","554.76"
"488","515.8504672897196","515.8504672897196","515.8504672897196","","","","503.23364485981307","503.23364485981307","503.23364485981307"
"492","481.51","481.51","481.51","","","","481.8989898989899","481.8989898989899","481.8989898989899"
"496","492.78125","492.78125","492.78125","","","","540.6304347826087","540.6304347826087","540.6304347826087"
"500","445.2173913043478","445.2173913043478","445.2173913043478","","","","468.3510638297872","468.3510638297872","468.3510638297872"
"504","448.15625","448.15625","448.15625","","","","450.86315789473684","450.86315789473684","450.86315789473684"
"508","464.1136363636364","464.1136363636364","464.1136363636364","","","","461.76344086021504","461.76344086021504","461.76344086021504"
"512","439.9782608695652","439.9782608695652","439.9782608695652","","","","492.3","492.3","492.3"
"516","462.1666666666667","462.1666666666667","462.1666666666667","","","","471.8988764044944","471.8988764044944","471.8988764044944"
"520","397.7901234567901","397.7901234567901","397.7901234567901","","","","465.4526315789474","465.4526315789474","465.4526315789474"
"524","440.9318181818182","440.9318181818182","440.9318181818182","","","","495.65346534653463","495.65346534653463","495.65346534653463"
"528","438.7142857142857","438.7142857142857","438.7142857142857","","","","518.5922330097087","518.5922330097087","518.5922330097087"
"532","464.04545454545456","464.04545454545456","464.04545454545456","","","","498.58490566037733","498.58490566037733","498.58490566037733"
"536","489.5263157894737","489.5263157894737","489.5263157894737","","","","468.7920792079208","468.7920792079208","468.7920792079208"
"540","422.2151898734177","422.2151898734177","422.2151898734177","","","","518.63","518.63","518.63"
"544","384.80232558139534","384.80232558139534","384.80232558139534","","","","490.36893203883494","490.36893203883494","490.36893203883494"
"548","516.2022471910112","516.2022471910112","516.2022471910112","","","","496.7227722772277","496.7227722772277","496.7227722772277"
"552","426.031914893617","426.031914893617","426.031914893617","","","","490.21649484536084","490.21649484536084","490.21649484536084"
"556","380.30864197530866","380.30864197530866","380.30864197530866","","","","495.7","495.7","495.7"
"560","471.39080459770116","471.39080459770116","471.39080459770116","","","","530.2043010752689","530.2043010752689","530.2043010752689"
"564","431.95","431.95","431.95","","","","557.7169811320755","557.7169811320755","557.7169811320755"
"568","421.83516483516485","421.83516483516485","421.83516483516485","","","","566.021052631579","566.021052631579","566.021052631579"
"572","489.3478260869565","489.3478260869565","489.3478260869565","","","","623.6990291262136","623.6990291262136","623.6990291262136"
"576","499.86813186813185","499.86813186813185","499.86813186813185","","","","512.1717171717172","512.1717171717172","512.1717171717172"
"580","489.9888888888889","489.9888888888889","489.9888888888889","","","","469.7701149425287","469.7701149425287","469.7701149425287"
"584","447.82978723404256","447.82978723404256","447.82978723404256","","","","526.8695652173913","526.8695652173913","526.8695652173913"
"588","450.09375","450.09375","450.09375","","","","530.0612244897959","530.0612244897959","530.0612244897959"
"592","425.25","425.25","425.25","","","","531.8543689320388","531.8543689320388","531.8543689320388"
"596","452.27","452.27","452.27","","","","508.68224299065423","508.68224299065423","508.68224299065423"
"600","498","498","498","","","","481.84158415841586","481.84158415841586","481.84158415841586"
"604","430.0561797752809","430.0561797752809","430.0561797752809","","","","472.9807692307692","472.9807692307692","472.9807692307692"
"608","448.9139784946237","448.9139784946237","448.9139784946237","","","","507.9387755102041","507.9387755102041","507.9387755102041"
"612","419.4731182795699","419.4731182795699","419.4731182795699","","","","553.3571428571429","553.3571428571429","553.3571428571429"
"616","451.21649484536084","451.21649484536084","451.21649484536084","","","","486.04716981132077","486.04716981132077","486.04716981132077"
"620","446.6914893617021","446.6914893617021","446.6914893617021","","","","497.5773195876289","497.5773195876289","497.5773195876289"
"624","435.63440860215053","435.63440860215053","435.63440860215053","","","","539.0098039215686","539.0098039215686","539.0098039215686"
"628","465.6666666666667","465.6666666666667","465.6666666666667","","","","506.8256880733945","506.8256880733945","506.8256880733945"
"632","416.8901098901099","416.8901098901099","416.8901098901099","","","","494.23809523809524","494.23809523809524","494.23809523809524"
"636","443.52","443.52","443.52","","","","478.5","478.5","478.5"
"640","452.36633663366337","452.36633663366337","452.36633663366337","","","","653.11","653.11","653.11"
"644","472.85714285714283","472.85714285714283","472.85714285714283","","","","523.5981308411215","523.5981308411215","523.5981308411215"
"648","455.0344827586207","455.0344827586207","455.0344827586207","","","","553.0792079207921","553.0792079207921","553.0792079207921"
"652","425.5111111111111","425.5111111111111","425.5111111111111","","","","568.6129032258065","568.6129032258065","568.6129032258065"
"656","478.74468085106383","478.74468085106383","478.74468085106383","","","","458.91509433962267","458.91509433962267","458.91509433962267"
"660","452.52127659574467","452.52127659574467","452.52127659574467","","","","473.7878787878788","473.7878787878788","473.7878787878788"
"664","411.8817204301075","411.8817204301075","411.8817204301075","","","","483.375","483.375","483.375"
"668","435.747572815534","435.747572815534","435.747572815534","","","","546.2252252252252","546.2252252252252","546.2252252252252"
"672","423.53684210526313","423.53684210526313","423.53684210526313","","","","508.02803738317755","508.02803738317755","508.02803738317755"
"676","457.7938144329897","457.7938144329897","457.7938144329897","","","","548.6020408163265","548.6020408163265","548.6020408163265"
"680","430.28155339805824","430.28155339805824","430.28155339805824","","","","583.447619047619","583.447619047619","583.447619047619"
"684","481.340206185567","481.340206185567","481.340206185567","","","","545.5871559633027","545.5871559633027","545.5871559633027"
"688","444.02197802197804","444.02197802197804","444.02197802197804","","","","589.6574074074074","589.6574074074074","589.6574074074074"
"692","442.9130434782609","442.9130434782609","442.9130434782609","","","","515.5754716981132","515.5754716981132","515.5754716981132"
"696","443.61224489795916","443.61224489795916","443.61224489795916","","","","","",""
"700","434.2105263157895","434.2105263157895","434.2105263157895","","","","","",""
"704","448.8181818181818","448.8181818181818","448.8181818181818","","","","","",""
"708","424.4","424.4","424.4","","","","","",""
"712","451.69072164948454","451.69072164948454","451.69072164948454","","","","","",""
"716","386.6930693069307","386.6930693069307","386.6930693069307","","","","","",""
"720","400.82105263157894","400.82105263157894","400.82105263157894","","","","","",""
"724","396.2197802197802","396.2197802197802","396.2197802197802","","","","","",""
"728","390.26262626262627","390.26262626262627","390.26262626262627","","","","","",""
"732","446.34736842105264","446.34736842105264","446.34736842105264","","","","","",""
"736","435.11","435.11","435.11","","","","","",""
"740","460.36842105263156","460.36842105263156","460.36842105263156","","","","","",""
"744","414.9878048780488","414.9878048780488","414.9878048780488","","","","","",""
"748","416.9404761904762","416.9404761904762","416.9404761904762","","","","","",""
"752","427.01075268817203","427.01075268817203","427.01075268817203","","","","","",""
"756","422.8942307692308","422.8942307692308","422.8942307692308","","","","","",""
"760","434.1041666666667","434.1041666666667","434.1041666666667","","","","","",""
"764","427.57894736842104","427.57894736842104","427.57894736842104","","","","","",""
"768","423.3529411764706","423.3529411764706","423.3529411764706","","","","","",""
"772","423.7669902912621","423.7669902912621","423.7669902912621","","","","","",""
"776","404.9166666666667","404.9166666666667","404.9166666666667","","","","","",""
"780","411.08","411.08","411.08","","","","","",""
"784","387.1287128712871","387.1287128712871","387.1287128712871","","","","","",""
"788","382.8279569892473","382.8279569892473","382.8279569892473","","","","","",""
"792","428.6629213483146","428.6629213483146","428.6629213483146","","","","","",""
"796","400.5977011494253","400.5977011494253","400.5977011494253","","","","","",""
"800","436.76344086021504","436.76344086021504","436.76344086021504","","","","","",""
"804","469.2970297029703","469.2970297029703","469.2970297029703","","","","","",""
"808","464.12264150943395","464.12264150943395","464.12264150943395","","","","","",""
"812","407.97","407.97","407.97","","","","","",""
"816","423.90909090909093","423.90909090909093","423.90909090909093","","","","","",""
"820","422.0761904761905","422.0761904761905","422.0761904761905","","","","","",""
"824","394.38","394.38","394.38","","","","","",""
"828","407.3619047619048","407.3619047619048","407.3619047619048","","","","","",""
"832","439.00961538461536","439.00961538461536","439.00961538461536","","","","","",""
"836","406.62105263157895","406.62105263157895","406.62105263157895","","","","","",""
"840","433.6","433.6","433.6","","","","","",""
"844","420.5052631578947","420.5052631578947","420.5052631578947","","","","","",""
"848","402.7291666666667","402.7291666666667","402.7291666666667","","","","","",""
"852","412.91346153846155","412.91346153846155","412.91346153846155","","","","","",""
"856","437.2156862745098","437.2156862745098","437.2156862745098","","","","","",""
"860","412.8333333333333","412.8333333333333","412.8333333333333","","","","","",""
"864","402.4516129032258","402.4516129032258","402.4516129032258","","","","","",""
"868","398.5730337078652","398.5730337078652","398.5730337078652","","","","","",""
"872","457.7692307692308","457.7692307692308","457.7692307692308","","","","","",""
"876","405.6741573033708","405.6741573033708","405.6741573033708","","","","","",""
