"Step","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/GSM8k__MAX"
"40","185.16755319148936","185.16755319148936","185.16755319148936","290.17833333333334","290.17833333333334","290.17833333333334","180.95238095238096","180.95238095238096","180.95238095238096"
"44","184.45844504021449","184.45844504021449","184.45844504021449","296.58290598290597","296.58290598290597","296.58290598290597","178.46038251366122","178.46038251366122","178.46038251366122"
"48","182.1550591327201","182.1550591327201","182.1550591327201","256.3747870528109","256.3747870528109","256.3747870528109","183.54768392370573","183.54768392370573","183.54768392370573"
"52","175.42125984251967","175.42125984251967","175.42125984251967","203.01528013582342","203.01528013582342","203.01528013582342","179.97150610583446","179.97150610583446","179.97150610583446"
"56","166.84986945169712","166.84986945169712","166.84986945169712","199.5878260869565","199.5878260869565","199.5878260869565","181.3727034120735","181.3727034120735","181.3727034120735"
"60","161.36245110821383","161.36245110821383","161.36245110821383","232.45210084033613","232.45210084033613","232.45210084033613","182.80965147453082","182.80965147453082","182.80965147453082"
"64","160.1159793814433","160.1159793814433","160.1159793814433","246.29818780889622","246.29818780889622","246.29818780889622","181.75596816976127","181.75596816976127","181.75596816976127"
"68","158.687012987013","158.687012987013","158.687012987013","256.59472817133445","256.59472817133445","256.59472817133445","180.83026315789473","180.83026315789473","180.83026315789473"
"72","160.6126582278481","160.6126582278481","160.6126582278481","263.39297124600637","263.39297124600637","263.39297124600637","175.41534391534393","175.41534391534393","175.41534391534393"
"76","164.15696202531646","164.15696202531646","164.15696202531646","296.8832","296.8832","296.8832","177.52091767881242","177.52091767881242","177.52091767881242"
"80","164.79034307496823","164.79034307496823","164.79034307496823","365.287037037037","365.287037037037","365.287037037037","177.1497975708502","177.1497975708502","177.1497975708502"
"84","172.73873873873873","172.73873873873873","172.73873873873873","408.9739663093415","408.9739663093415","408.9739663093415","179.33204134366926","179.33204134366926","179.33204134366926"
"88","169.23096446700507","169.23096446700507","169.23096446700507","596.409604519774","596.409604519774","596.409604519774","173.832","173.832","173.832"
"92","169.5820707070707","169.5820707070707","169.5820707070707","622.8222543352601","622.8222543352601","622.8222543352601","173.9233870967742","173.9233870967742","173.9233870967742"
"96","167.60175879396985","167.60175879396985","167.60175879396985","593.1627906976744","593.1627906976744","593.1627906976744","175.59973924380705","175.59973924380705","175.59973924380705"
"100","170.61557478368357","170.61557478368357","170.61557478368357","1114.9307065217392","1114.9307065217392","1114.9307065217392","174.83031088082902","174.83031088082902","174.83031088082902"
"104","165.6218905472637","165.6218905472637","165.6218905472637","1013.134477825465","1013.134477825465","1013.134477825465","171.90592783505156","171.90592783505156","171.90592783505156"
"108","163.63329161451816","163.63329161451816","163.63329161451816","1045.229461756374","1045.229461756374","1045.229461756374","168.17801047120417","168.17801047120417","168.17801047120417"
"112","162.25","162.25","162.25","1504.8057065217392","1504.8057065217392","1504.8057065217392","167.70409511228533","167.70409511228533","167.70409511228533"
"116","164.5822002472188","164.5822002472188","164.5822002472188","1604.5520110957004","1604.5520110957004","1604.5520110957004","165.91834002677376","165.91834002677376","165.91834002677376"
"120","164.48698884758363","164.48698884758363","164.48698884758363","1590.791724137931","1590.791724137931","1590.791724137931","164.46657929226737","164.46657929226737","164.46657929226737"
"124","167.46350364963504","167.46350364963504","167.46350364963504","1653.172461752434","1653.172461752434","1653.172461752434","165.47994825355758","165.47994825355758","165.47994825355758"
"128","172.26871165644172","172.26871165644172","172.26871165644172","","","","165.40341655716162","165.40341655716162","165.40341655716162"
"132","163.55819774718398","163.55819774718398","163.55819774718398","","","","164.40575916230367","164.40575916230367","164.40575916230367"
"136","163.1877300613497","163.1877300613497","163.1877300613497","","","","167.23984272608126","167.23984272608126","167.23984272608126"
"140","161.8621523579202","161.8621523579202","161.8621523579202","","","","168.14229765013056","168.14229765013056","168.14229765013056"
"144","162.2334581772784","162.2334581772784","162.2334581772784","","","","167.73042362002568","167.73042362002568","167.73042362002568"
"148","166.36069651741295","166.36069651741295","166.36069651741295","","","","172.3643512450852","172.3643512450852","172.3643512450852"
"152","165.32094175960347","165.32094175960347","165.32094175960347","","","","165.07236842105263","165.07236842105263","165.07236842105263"
"156","168.10315533980582","168.10315533980582","168.10315533980582","","","","168.9265091863517","168.9265091863517","168.9265091863517"
"160","166.5084745762712","166.5084745762712","166.5084745762712","","","","170.85301837270342","170.85301837270342","170.85301837270342"
"164","168.64897466827503","168.64897466827503","168.64897466827503","","","","169.08949416342412","169.08949416342412","169.08949416342412"
"168","170.2874251497006","170.2874251497006","170.2874251497006","","","","172.45981554677206","172.45981554677206","172.45981554677206"
"172","168.25755743651754","168.25755743651754","168.25755743651754","","","","168.6397435897436","168.6397435897436","168.6397435897436"
"176","163.10617283950617","163.10617283950617","163.10617283950617","","","","172.215206185567","172.215206185567","172.215206185567"
"180","172.79382716049383","172.79382716049383","172.79382716049383","","","","166.18613607188703","166.18613607188703","166.18613607188703"
"184","173.69062119366626","173.69062119366626","173.69062119366626","","","","173.59574468085106","173.59574468085106","173.59574468085106"
"188","171.9139393939394","171.9139393939394","171.9139393939394","","","","180.41392405063291","180.41392405063291","180.41392405063291"
"192","162.07823960880197","162.07823960880197","162.07823960880197","","","","175.47201017811705","175.47201017811705","175.47201017811705"
"196","161.9320148331273","161.9320148331273","161.9320148331273","","","","179.96188055908513","179.96188055908513","179.96188055908513"
"200","162.1140776699029","162.1140776699029","162.1140776699029","","","","175.73393316195373","175.73393316195373","175.73393316195373"
"204","154.0073619631902","154.0073619631902","154.0073619631902","","","","181.03295310519644","181.03295310519644","181.03295310519644"
"208","159.10424242424241","159.10424242424241","159.10424242424241","","","","175.20104438642298","175.20104438642298","175.20104438642298"
"212","155.8941605839416","155.8941605839416","155.8941605839416","","","","173.92036553524804","173.92036553524804","173.92036553524804"
"216","161.14583333333334","161.14583333333334","161.14583333333334","","","","178.68359375","178.68359375","178.68359375"
"220","158.4944512946979","158.4944512946979","158.4944512946979","","","","182.3716129032258","182.3716129032258","182.3716129032258"
"224","160.4406779661017","160.4406779661017","160.4406779661017","","","","178.72418300653595","178.72418300653595","178.72418300653595"
"228","159.69372693726936","159.69372693726936","159.69372693726936","","","","179.9683143219265","179.9683143219265","179.9683143219265"
"232","169.11003627569528","169.11003627569528","169.11003627569528","","","","174.787012987013","174.787012987013","174.787012987013"
"236","170.875","170.875","170.875","","","","174.01925545571245","174.01925545571245","174.01925545571245"
"240","170.01975308641974","170.01975308641974","170.01975308641974","","","","170.5032765399738","170.5032765399738","170.5032765399738"
"244","178.07319952774498","178.07319952774498","178.07319952774498","","","","176.17331670822944","176.17331670822944","176.17331670822944"
"248","171.68103448275863","171.68103448275863","171.68103448275863","","","","184.5584577114428","184.5584577114428","184.5584577114428"
"252","170.0628078817734","170.0628078817734","170.0628078817734","","","","177.38509316770185","177.38509316770185","177.38509316770185"
"256","176.85592185592185","176.85592185592185","176.85592185592185","","","","175.98081841432224","175.98081841432224","175.98081841432224"
"260","181.54676258992805","181.54676258992805","181.54676258992805","","","","174.04522613065328","174.04522613065328","174.04522613065328"
"264","180.83620689655172","180.83620689655172","180.83620689655172","","","","170.25","170.25","170.25"
"268","180.27007299270073","180.27007299270073","180.27007299270073","","","","173.39692701664532","173.39692701664532","173.39692701664532"
"272","175.47496947496947","175.47496947496947","175.47496947496947","","","","175.84422110552765","175.84422110552765","175.84422110552765"
"276","174.72826086956522","174.72826086956522","174.72826086956522","","","","176.9924906132666","176.9924906132666","176.9924906132666"
"280","186.28862275449103","186.28862275449103","186.28862275449103","","","","179.9426433915212","179.9426433915212","179.9426433915212"
"284","179.0216606498195","179.0216606498195","179.0216606498195","","","","178.17543859649123","178.17543859649123","178.17543859649123"
"288","182.0154577883472","182.0154577883472","182.0154577883472","","","","174.68421052631578","174.68421052631578","174.68421052631578"
"292","177.47647768395657","177.47647768395657","177.47647768395657","","","","177.72443890274315","177.72443890274315","177.72443890274315"
"296","175.32857142857142","175.32857142857142","175.32857142857142","","","","175.40540540540542","175.40540540540542","175.40540540540542"
"300","171.71829268292683","171.71829268292683","171.71829268292683","","","","172.3675","172.3675","172.3675"
"304","174.66947115384616","174.66947115384616","174.66947115384616","","","","172.94513715710724","172.94513715710724","172.94513715710724"
"308","175.33173652694612","175.33173652694612","175.33173652694612","","","","175.80621118012422","175.80621118012422","175.80621118012422"
"312","172.10872162485066","172.10872162485066","172.10872162485066","","","","176.8894409937888","176.8894409937888","176.8894409937888"
"316","176.55702280912365","176.55702280912365","176.55702280912365","","","","170.2373300370828","170.2373300370828","170.2373300370828"
"320","179.63270142180096","179.63270142180096","179.63270142180096","","","","172.2020202020202","172.2020202020202","172.2020202020202"
"324","171.11927710843372","171.11927710843372","171.11927710843372","","","","172.72521957340024","172.72521957340024","172.72521957340024"
"328","175.67025089605735","175.67025089605735","175.67025089605735","","","","173.30579531442663","173.30579531442663","173.30579531442663"
"332","181.53429602888087","181.53429602888087","181.53429602888087","","","","178.22433460076044","178.22433460076044","178.22433460076044"
"336","176.11124546553808","176.11124546553808","176.11124546553808","","","","180.3186274509804","180.3186274509804","180.3186274509804"
"340","170.8375451263538","170.8375451263538","170.8375451263538","","","","172.89778325123152","172.89778325123152","172.89778325123152"
"344","174.54227053140096","174.54227053140096","174.54227053140096","","","","172.70967741935485","172.70967741935485","172.70967741935485"
"348","182.61137440758293","182.61137440758293","182.61137440758293","","","","173.59556103575832","173.59556103575832","173.59556103575832"
"352","176.91194209891435","176.91194209891435","176.91194209891435","","","","179.60098522167488","179.60098522167488","179.60098522167488"
"356","177.03022974607012","177.03022974607012","177.03022974607012","","","","176.82663316582915","176.82663316582915","176.82663316582915"
"360","170.86861313868613","170.86861313868613","170.86861313868613","","","","176.49750623441398","176.49750623441398","176.49750623441398"
"364","180.04648390941597","180.04648390941597","180.04648390941597","","","","175.2820197044335","175.2820197044335","175.2820197044335"
"368","176.54265402843603","176.54265402843603","176.54265402843603","","","","174.75","174.75","174.75"
"372","176.83434099153567","176.83434099153567","176.83434099153567","","","","173.40567200986436","173.40567200986436","173.40567200986436"
"376","178.03937947494035","178.03937947494035","178.03937947494035","","","","183.28937728937728","183.28937728937728","183.28937728937728"
"380","175.56019070321813","175.56019070321813","175.56019070321813","","","","174.16666666666666","174.16666666666666","174.16666666666666"
"384","186.4468339307049","186.4468339307049","186.4468339307049","","","","172.73227383863082","172.73227383863082","172.73227383863082"
"388","181.9784946236559","181.9784946236559","181.9784946236559","","","","178.77008652657602","178.77008652657602","178.77008652657602"
"392","177.90261282660333","177.90261282660333","177.90261282660333","","","","182.08038976857492","182.08038976857492","182.08038976857492"
"396","174.7127403846154","174.7127403846154","174.7127403846154","","","","180.41826923076923","180.41826923076923","180.41826923076923"
"400","181.29142185663926","181.29142185663926","181.29142185663926","","","","181.25336597307222","181.25336597307222","181.25336597307222"
"404","177.49529411764706","177.49529411764706","177.49529411764706","","","","187.0326086956522","187.0326086956522","187.0326086956522"
"408","176.06553398058253","176.06553398058253","176.06553398058253","","","","184.20853658536586","184.20853658536586","184.20853658536586"
"412","185.07354685646501","185.07354685646501","185.07354685646501","","","","180.41840490797546","180.41840490797546","180.41840490797546"
"416","184.75060240963856","184.75060240963856","184.75060240963856","","","","182.66787878787878","182.66787878787878","182.66787878787878"
"420","185.2014652014652","185.2014652014652","185.2014652014652","","","","179.32269938650307","179.32269938650307","179.32269938650307"
"424","186.19756097560975","186.19756097560975","186.19756097560975","","","","186.12257281553397","186.12257281553397","186.12257281553397"
"428","187.2545899632803","187.2545899632803","187.2545899632803","","","","179.15365853658537","179.15365853658537","179.15365853658537"
"432","185.17090909090908","185.17090909090908","185.17090909090908","","","","181.22984356197352","181.22984356197352","181.22984356197352"
"436","182.77118644067798","182.77118644067798","182.77118644067798","","","","174.75746268656715","174.75746268656715","174.75746268656715"
"440","181.58887545344618","181.58887545344618","181.58887545344618","","","","173.68493150684932","173.68493150684932","173.68493150684932"
"444","191.6352657004831","191.6352657004831","191.6352657004831","","","","176.96214896214897","176.96214896214897","176.96214896214897"
"448","186.68143712574852","186.68143712574852","186.68143712574852","","","","172.05860805860806","172.05860805860806","172.05860805860806"
"452","190.79834905660377","190.79834905660377","190.79834905660377","","","","171.20418204182042","171.20418204182042","171.20418204182042"
"456","182.3969010727056","182.3969010727056","182.3969010727056","","","","174.11510791366908","174.11510791366908","174.11510791366908"
"460","186.30393325387365","186.30393325387365","186.30393325387365","","","","174.86845310596834","174.86845310596834","174.86845310596834"
"464","184.93115942028984","184.93115942028984","184.93115942028984","","","","170.84197530864196","170.84197530864196","170.84197530864196"
"468","184.45292014302743","184.45292014302743","184.45292014302743","","","","169.98529411764707","169.98529411764707","169.98529411764707"
"472","186.14832535885168","186.14832535885168","186.14832535885168","","","","175.57772337821297","175.57772337821297","175.57772337821297"
"476","182.20981595092024","182.20981595092024","182.20981595092024","","","","171.04156479217605","171.04156479217605","171.04156479217605"
"480","184.37408312958436","184.37408312958436","184.37408312958436","","","","175.84171779141104","175.84171779141104","175.84171779141104"
"484","185.18536585365854","185.18536585365854","185.18536585365854","","","","175.83065512978987","175.83065512978987","175.83065512978987"
"488","183.8760529482551","183.8760529482551","183.8760529482551","","","","171.84745762711864","171.84745762711864","171.84745762711864"
"492","184.74819277108435","184.74819277108435","184.74819277108435","","","","175.25181598062954","175.25181598062954","175.25181598062954"
"496","179.72101449275362","179.72101449275362","179.72101449275362","","","","176.54090354090354","176.54090354090354","176.54090354090354"
"500","177.593635250918","177.593635250918","177.593635250918","","","","179.281517747858","179.281517747858","179.281517747858"
"504","181.45036319612592","181.45036319612592","181.45036319612592","","","","179.32207478890228","179.32207478890228","179.32207478890228"
"508","183.1360294117647","183.1360294117647","183.1360294117647","","","","176.98029556650246","176.98029556650246","176.98029556650246"
"512","183.68014705882354","183.68014705882354","183.68014705882354","","","","176.75060827250607","176.75060827250607","176.75060827250607"
"516","178.2136645962733","178.2136645962733","178.2136645962733","","","","179.4896214896215","179.4896214896215","179.4896214896215"
"520","185.64888337468983","185.64888337468983","185.64888337468983","","","","173.9653893695921","173.9653893695921","173.9653893695921"
"524","187.03075030750307","187.03075030750307","187.03075030750307","","","","185.06535141800248","185.06535141800248","185.06535141800248"
"528","185.53865030674848","185.53865030674848","185.53865030674848","","","","184.35386473429952","184.35386473429952","184.35386473429952"
"532","185.78928136419","185.78928136419","185.78928136419","","","","181.60169491525423","181.60169491525423","181.60169491525423"
"536","184.23218673218673","184.23218673218673","184.23218673218673","","","","183.92592592592592","183.92592592592592","183.92592592592592"
"540","188.34223300970874","188.34223300970874","188.34223300970874","","","","179.35749385749386","179.35749385749386","179.35749385749386"
"544","184.6356968215159","184.6356968215159","184.6356968215159","","","","177.91435464414957","177.91435464414957","177.91435464414957"
"548","183.34541062801932","183.34541062801932","183.34541062801932","","","","177.25487804878048","177.25487804878048","177.25487804878048"
"552","180.6151990349819","180.6151990349819","180.6151990349819","","","","177.990231990232","177.990231990232","177.990231990232"
"556","186.752688172043","186.752688172043","186.752688172043","","","","175.71863580998783","175.71863580998783","175.71863580998783"
"560","185.44071856287425","185.44071856287425","185.44071856287425","","","","179.16136919315403","179.16136919315403","179.16136919315403"
"564","181.45710784313727","181.45710784313727","181.45710784313727","","","","180.8639705882353","180.8639705882353","180.8639705882353"
"568","181.14494518879414","181.14494518879414","181.14494518879414","","","","184.88357843137254","184.88357843137254","184.88357843137254"
"572","176.91230207064555","176.91230207064555","176.91230207064555","","","","181.3754601226994","181.3754601226994","181.3754601226994"
"576","179.4159509202454","179.4159509202454","179.4159509202454","","","","178.91299019607843","178.91299019607843","178.91299019607843"
"580","178.0121212121212","178.0121212121212","178.0121212121212","","","","186.96973365617433","186.96973365617433","186.96973365617433"
"584","180.11722488038276","180.11722488038276","180.11722488038276","","","","186.06569343065692","186.06569343065692","186.06569343065692"
"588","177.0514075887393","177.0514075887393","177.0514075887393","","","","189.33009708737865","189.33009708737865","189.33009708737865"
"592","184.54501216545012","184.54501216545012","184.54501216545012","","","","184.86778846153845","184.86778846153845","184.86778846153845"
"596","178.55501813784764","178.55501813784764","178.55501813784764","","","","182.56085918854416","182.56085918854416","182.56085918854416"
"600","183.10084033613447","183.10084033613447","183.10084033613447","","","","183.2511737089202","183.2511737089202","183.2511737089202"
"604","187.72607655502392","187.72607655502392","187.72607655502392","","","","193.88256227758006","193.88256227758006","193.88256227758006"
"608","173.86857825567503","173.86857825567503","173.86857825567503","","","","177.03766707168893","177.03766707168893","177.03766707168893"
"612","176.07608695652175","176.07608695652175","176.07608695652175","","","","172.88335358444715","172.88335358444715","172.88335358444715"
"616","174.19235364396656","174.19235364396656","174.19235364396656","","","","179.2141997593261","179.2141997593261","179.2141997593261"
"620","179.830900243309","179.830900243309","179.830900243309","","","","179.77015643802648","179.77015643802648","179.77015643802648"
"624","178.9112426035503","178.9112426035503","178.9112426035503","","","","178.6437869822485","178.6437869822485","178.6437869822485"
"628","183.00487804878048","183.00487804878048","183.00487804878048","","","","176.3009592326139","176.3009592326139","176.3009592326139"
"632","173.3609756097561","173.3609756097561","173.3609756097561","","","","181.6572438162544","181.6572438162544","181.6572438162544"
"636","175.67200986436498","175.67200986436498","175.67200986436498","","","","183.89479905437352","183.89479905437352","183.89479905437352"
"640","175.623786407767","175.623786407767","175.623786407767","","","","181.6319526627219","181.6319526627219","181.6319526627219"
"644","175.87740384615384","175.87740384615384","175.87740384615384","","","","189.55168269230768","189.55168269230768","189.55168269230768"
"648","182.29156626506025","182.29156626506025","182.29156626506025","","","","183.21241050119332","183.21241050119332","183.21241050119332"
"652","175.5451263537906","175.5451263537906","175.5451263537906","","","","193.2183770883055","193.2183770883055","193.2183770883055"
"656","177.42874251497005","177.42874251497005","177.42874251497005","","","","196.10507674144037","196.10507674144037","196.10507674144037"
"660","173.40979689366787","173.40979689366787","173.40979689366787","","","","178.54892601431982","178.54892601431982","178.54892601431982"
"664","174.76821983273595","174.76821983273595","174.76821983273595","","","","182.79763313609467","182.79763313609467","182.79763313609467"
"668","175.68592057761734","175.68592057761734","175.68592057761734","","","","188.92443919716646","188.92443919716646","188.92443919716646"
"672","177.10965435041717","177.10965435041717","177.10965435041717","","","","176.23826714801444","176.23826714801444","176.23826714801444"
"676","174.58463385354142","174.58463385354142","174.58463385354142","","","","180.92439024390245","180.92439024390245","180.92439024390245"
"680","174.19976218787158","174.19976218787158","174.19976218787158","","","","180.64294330518698","180.64294330518698","180.64294330518698"
"684","179.00469483568074","179.00469483568074","179.00469483568074","","","","178.18787158145065","178.18787158145065","178.18787158145065"
"688","181.1682808716707","181.1682808716707","181.1682808716707","","","","194.81398104265404","194.81398104265404","194.81398104265404"
"692","183.39492753623188","183.39492753623188","183.39492753623188","","","","183.00822561692127","183.00822561692127","183.00822561692127"
"696","181.06272189349113","181.06272189349113","181.06272189349113","","","","","",""
"700","183.65366430260048","183.65366430260048","183.65366430260048","","","","","",""
"704","179.35456730769232","179.35456730769232","179.35456730769232","","","","","",""
"708","179.4171632896305","179.4171632896305","179.4171632896305","","","","","",""
"712","180.14580801944106","180.14580801944106","180.14580801944106","","","","","",""
"716","181.3585798816568","181.3585798816568","181.3585798816568","","","","","",""
"720","177.70215311004785","177.70215311004785","177.70215311004785","","","","","",""
"724","176.0631704410012","176.0631704410012","176.0631704410012","","","","","",""
"728","176.92133492252682","176.92133492252682","176.92133492252682","","","","","",""
"732","177.5643802647413","177.5643802647413","177.5643802647413","","","","","",""
"736","178.72029702970298","178.72029702970298","178.72029702970298","","","","","",""
"740","184.97911547911548","184.97911547911548","184.97911547911548","","","","","",""
"744","181.04556354916068","181.04556354916068","181.04556354916068","","","","","",""
"748","184.328125","184.328125","184.328125","","","","","",""
"752","185.4750593824228","185.4750593824228","185.4750593824228","","","","","",""
"756","181.45968712394705","181.45968712394705","181.45968712394705","","","","","",""
"760","178.30555555555554","178.30555555555554","178.30555555555554","","","","","",""
"764","177.5388291517324","177.5388291517324","177.5388291517324","","","","","",""
"768","177.29820359281436","177.29820359281436","177.29820359281436","","","","","",""
"772","178.2852028639618","178.2852028639618","178.2852028639618","","","","","",""
"776","178.62782401902496","178.62782401902496","178.62782401902496","","","","","",""
"780","176.57894736842104","176.57894736842104","176.57894736842104","","","","","",""
"784","180.0494699646643","180.0494699646643","180.0494699646643","","","","","",""
"788","177.8468899521531","177.8468899521531","177.8468899521531","","","","","",""
"792","175.30522565320666","175.30522565320666","175.30522565320666","","","","","",""
"796","176.45858343337335","176.45858343337335","176.45858343337335","","","","","",""
"800","174.7564259485924","174.7564259485924","174.7564259485924","","","","","",""
"804","172.98774509803923","172.98774509803923","172.98774509803923","","","","","",""
"808","175.34861278648975","175.34861278648975","175.34861278648975","","","","","",""
"812","178.68383233532933","178.68383233532933","178.68383233532933","","","","","",""
"816","175.68358913813458","175.68358913813458","175.68358913813458","","","","","",""
"820","178.73708920187792","178.73708920187792","178.73708920187792","","","","","",""
"824","176.17099056603774","176.17099056603774","176.17099056603774","","","","","",""
"828","175.37749120750294","175.37749120750294","175.37749120750294","","","","","",""
"832","177.50753186558518","177.50753186558518","177.50753186558518","","","","","",""
"836","171.739336492891","171.739336492891","171.739336492891","","","","","",""
"840","171.62470862470863","171.62470862470863","171.62470862470863","","","","","",""
"844","177.0415183867141","177.0415183867141","177.0415183867141","","","","","",""
"848","172.94269005847954","172.94269005847954","172.94269005847954","","","","","",""
"852","174.37176470588236","174.37176470588236","174.37176470588236","","","","","",""
"856","174.64622641509433","174.64622641509433","174.64622641509433","","","","","",""
"860","178.81786133960048","178.81786133960048","178.81786133960048","","","","","",""
"864","177.8254156769596","177.8254156769596","177.8254156769596","","","","","",""
"868","173.77203290246769","173.77203290246769","173.77203290246769","","","","","",""
"872","173.82794457274827","173.82794457274827","173.82794457274827","","","","","",""
"876","175.29634002361274","175.29634002361274","175.29634002361274","","","","","",""
