Step,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/GSM8k,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/GSM8k__MAX,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/GSM8k__MIN,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/GSM8k,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/GSM8k__MAX,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/GSM8k__MIN,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/GSM8k,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/GSM8k__MAX,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/GSM8k__MIN
120,1590.791724137931,1590.791724137931,1590.791724137931,164.46657929226737,164.46657929226737,164.46657929226737,164.48698884758363,164.48698884758363,164.48698884758363
124,1653.172461752434,1653.172461752434,1653.172461752434,165.47994825355758,165.47994825355758,165.47994825355758,167.46350364963504,167.46350364963504,167.46350364963504
128,1772.641095890411,1772.641095890411,1772.641095890411,165.40341655716162,165.40341655716162,165.40341655716162,172.26871165644172,172.26871165644172,172.26871165644172
132,1803.818431911967,1803.818431911967,1803.818431911967,164.40575916230367,164.40575916230367,164.40575916230367,163.55819774718398,163.55819774718398,163.55819774718398
136,1360.5767123287671,1360.5767123287671,1360.5767123287671,167.23984272608126,167.23984272608126,167.23984272608126,163.1877300613497,163.1877300613497,163.1877300613497
140,1102.8319672131147,1102.8319672131147,1102.8319672131147,168.14229765013056,168.14229765013056,168.14229765013056,161.8621523579202,161.8621523579202,161.8621523579202
144,981.096256684492,981.096256684492,981.096256684492,167.73042362002568,167.73042362002568,167.73042362002568,162.2334581772784,162.2334581772784,162.2334581772784
148,1057.8905817174516,1057.8905817174516,1057.8905817174516,172.3643512450852,172.3643512450852,172.3643512450852,166.36069651741295,166.36069651741295,166.36069651741295
152,1056.8422459893047,1056.8422459893047,1056.8422459893047,165.07236842105263,165.07236842105263,165.07236842105263,165.32094175960347,165.32094175960347,165.32094175960347
156,1026.6891534391534,1026.6891534391534,1026.6891534391534,168.9265091863517,168.9265091863517,168.9265091863517,168.10315533980582,168.10315533980582,168.10315533980582
160,1002.5991902834008,1002.5991902834008,1002.5991902834008,170.85301837270342,170.85301837270342,170.85301837270342,166.5084745762712,166.5084745762712,166.5084745762712
164,950.8078192133918,1039.711313394018,861.9043250327654,169.08949416342412,169.08949416342412,169.08949416342412,168.64897466827503,168.64897466827503,168.64897466827503
168,1042.407548780931,1078.1493150684933,1006.6657824933689,172.45981554677206,172.45981554677206,172.45981554677206,170.2874251497006,170.2874251497006,170.2874251497006
172,1073.708609271523,1073.708609271523,1073.708609271523,168.6397435897436,168.6397435897436,168.6397435897436,168.25755743651754,168.25755743651754,168.25755743651754
176,955.6167108753316,955.6167108753316,955.6167108753316,172.215206185567,172.215206185567,172.215206185567,163.10617283950617,163.10617283950617,163.10617283950617
180,844.2493224932249,844.2493224932249,844.2493224932249,166.18613607188703,166.18613607188703,166.18613607188703,172.79382716049383,172.79382716049383,172.79382716049383
184,936.5865257595772,936.5865257595772,936.5865257595772,173.59574468085106,173.59574468085106,173.59574468085106,173.69062119366626,173.69062119366626,173.69062119366626
188,987.5913838120103,987.5913838120103,987.5913838120103,180.4139240506329,180.4139240506329,180.4139240506329,171.9139393939394,171.9139393939394,171.9139393939394
192,1090.0559895833333,1090.0559895833333,1090.0559895833333,175.47201017811705,175.47201017811705,175.47201017811705,162.07823960880197,162.07823960880197,162.07823960880197
196,1225.870249017038,1225.870249017038,1225.870249017038,179.96188055908513,179.96188055908513,179.96188055908513,161.9320148331273,161.9320148331273,161.9320148331273
200,,,,175.73393316195373,175.73393316195373,175.73393316195373,162.1140776699029,162.1140776699029,162.1140776699029
204,,,,181.03295310519644,181.03295310519644,181.03295310519644,154.0073619631902,154.0073619631902,154.0073619631902
208,,,,175.20104438642298,175.20104438642298,175.20104438642298,159.1042424242424,159.1042424242424,159.1042424242424
212,,,,173.92036553524804,173.92036553524804,173.92036553524804,155.8941605839416,155.8941605839416,155.8941605839416
216,,,,178.68359375,178.68359375,178.68359375,161.14583333333334,161.14583333333334,161.14583333333334
220,,,,182.3716129032258,182.3716129032258,182.3716129032258,158.4944512946979,158.4944512946979,158.4944512946979
224,,,,178.72418300653595,178.72418300653595,178.72418300653595,160.4406779661017,160.4406779661017,160.4406779661017
228,,,,179.9683143219265,179.9683143219265,179.9683143219265,159.69372693726936,159.69372693726936,159.69372693726936
232,,,,174.787012987013,174.787012987013,174.787012987013,169.11003627569528,169.11003627569528,169.11003627569528
236,,,,174.01925545571245,174.01925545571245,174.01925545571245,170.875,170.875,170.875
240,,,,170.5032765399738,170.5032765399738,170.5032765399738,170.01975308641974,170.01975308641974,170.01975308641974
244,,,,176.17331670822944,176.17331670822944,176.17331670822944,178.07319952774498,178.07319952774498,178.07319952774498
248,,,,184.5584577114428,184.5584577114428,184.5584577114428,171.68103448275863,171.68103448275863,171.68103448275863
252,,,,177.38509316770185,177.38509316770185,177.38509316770185,170.0628078817734,170.0628078817734,170.0628078817734
256,,,,175.98081841432224,175.98081841432224,175.98081841432224,176.85592185592185,176.85592185592185,176.85592185592185
260,,,,174.04522613065328,174.04522613065328,174.04522613065328,181.54676258992805,181.54676258992805,181.54676258992805
264,,,,170.25,170.25,170.25,180.8362068965517,180.8362068965517,180.8362068965517
268,,,,173.39692701664532,173.39692701664532,173.39692701664532,180.27007299270076,180.27007299270076,180.27007299270076
272,,,,175.84422110552765,175.84422110552765,175.84422110552765,175.47496947496947,175.47496947496947,175.47496947496947
276,,,,176.9924906132666,176.9924906132666,176.9924906132666,174.72826086956522,174.72826086956522,174.72826086956522
280,,,,179.9426433915212,179.9426433915212,179.9426433915212,186.28862275449103,186.28862275449103,186.28862275449103
284,,,,178.17543859649123,178.17543859649123,178.17543859649123,179.0216606498195,179.0216606498195,179.0216606498195
288,,,,174.68421052631578,174.68421052631578,174.68421052631578,182.0154577883472,182.0154577883472,182.0154577883472
292,,,,177.72443890274317,177.72443890274317,177.72443890274317,177.47647768395657,177.47647768395657,177.47647768395657
296,,,,175.40540540540542,175.40540540540542,175.40540540540542,175.32857142857142,175.32857142857142,175.32857142857142
300,,,,172.3675,172.3675,172.3675,171.71829268292683,171.71829268292683,171.71829268292683
304,,,,172.94513715710724,172.94513715710724,172.94513715710724,174.66947115384616,174.66947115384616,174.66947115384616
308,,,,175.80621118012422,175.80621118012422,175.80621118012422,175.33173652694612,175.33173652694612,175.33173652694612
312,,,,176.8894409937888,176.8894409937888,176.8894409937888,172.10872162485066,172.10872162485066,172.10872162485066
316,,,,170.2373300370828,170.2373300370828,170.2373300370828,176.55702280912365,176.55702280912365,176.55702280912365
320,,,,172.2020202020202,172.2020202020202,172.2020202020202,179.63270142180096,179.63270142180096,179.63270142180096
324,,,,172.72521957340024,172.72521957340024,172.72521957340024,171.11927710843372,171.11927710843372,171.11927710843372
328,,,,173.30579531442663,173.30579531442663,173.30579531442663,175.67025089605735,175.67025089605735,175.67025089605735
332,,,,178.22433460076044,178.22433460076044,178.22433460076044,181.53429602888087,181.53429602888087,181.53429602888087
336,,,,180.3186274509804,180.3186274509804,180.3186274509804,176.11124546553808,176.11124546553808,176.11124546553808
340,,,,172.89778325123152,172.89778325123152,172.89778325123152,170.8375451263538,170.8375451263538,170.8375451263538
344,,,,172.70967741935485,172.70967741935485,172.70967741935485,174.54227053140096,174.54227053140096,174.54227053140096
348,,,,173.59556103575832,173.59556103575832,173.59556103575832,182.61137440758293,182.61137440758293,182.61137440758293
352,,,,179.60098522167488,179.60098522167488,179.60098522167488,176.91194209891435,176.91194209891435,176.91194209891435
356,,,,176.82663316582915,176.82663316582915,176.82663316582915,177.03022974607012,177.03022974607012,177.03022974607012
360,,,,176.49750623441398,176.49750623441398,176.49750623441398,170.86861313868613,170.86861313868613,170.86861313868613
364,,,,175.2820197044335,175.2820197044335,175.2820197044335,180.04648390941597,180.04648390941597,180.04648390941597
368,,,,174.75,174.75,174.75,176.54265402843603,176.54265402843603,176.54265402843603
372,,,,173.40567200986436,173.40567200986436,173.40567200986436,176.83434099153567,176.83434099153567,176.83434099153567
376,,,,183.28937728937728,183.28937728937728,183.28937728937728,178.03937947494035,178.03937947494035,178.03937947494035
380,,,,174.16666666666666,174.16666666666666,174.16666666666666,175.56019070321813,175.56019070321813,175.56019070321813
384,,,,172.73227383863082,172.73227383863082,172.73227383863082,186.4468339307049,186.4468339307049,186.4468339307049
388,,,,178.77008652657602,178.77008652657602,178.77008652657602,181.9784946236559,181.9784946236559,181.9784946236559
392,,,,182.0803897685749,182.0803897685749,182.0803897685749,177.90261282660333,177.90261282660333,177.90261282660333
396,,,,180.41826923076923,180.41826923076923,180.41826923076923,174.7127403846154,174.7127403846154,174.7127403846154
400,,,,181.25336597307225,181.25336597307225,181.25336597307225,181.2914218566393,181.2914218566393,181.2914218566393
404,,,,187.0326086956522,187.0326086956522,187.0326086956522,177.49529411764706,177.49529411764706,177.49529411764706
408,,,,184.20853658536583,184.20853658536583,184.20853658536583,176.06553398058253,176.06553398058253,176.06553398058253
412,,,,180.41840490797543,180.41840490797543,180.41840490797543,185.073546856465,185.073546856465,185.073546856465
416,,,,182.6678787878788,182.6678787878788,182.6678787878788,184.75060240963856,184.75060240963856,184.75060240963856
420,,,,179.32269938650307,179.32269938650307,179.32269938650307,185.2014652014652,185.2014652014652,185.2014652014652
424,,,,186.122572815534,186.122572815534,186.122572815534,186.19756097560972,186.19756097560972,186.19756097560972
428,,,,179.15365853658537,179.15365853658537,179.15365853658537,187.2545899632803,187.2545899632803,187.2545899632803
432,,,,181.22984356197352,181.22984356197352,181.22984356197352,185.17090909090908,185.17090909090908,185.17090909090908
436,,,,174.75746268656715,174.75746268656715,174.75746268656715,182.771186440678,182.771186440678,182.771186440678
440,,,,173.68493150684932,173.68493150684932,173.68493150684932,181.58887545344615,181.58887545344615,181.58887545344615
444,,,,176.96214896214897,176.96214896214897,176.96214896214897,191.6352657004831,191.6352657004831,191.6352657004831
448,,,,172.05860805860806,172.05860805860806,172.05860805860806,186.6814371257485,186.6814371257485,186.6814371257485
452,,,,171.20418204182042,171.20418204182042,171.20418204182042,190.79834905660377,190.79834905660377,190.79834905660377
456,,,,174.11510791366908,174.11510791366908,174.11510791366908,182.3969010727056,182.3969010727056,182.3969010727056
460,,,,174.86845310596834,174.86845310596834,174.86845310596834,186.30393325387365,186.30393325387365,186.30393325387365
464,,,,170.84197530864196,170.84197530864196,170.84197530864196,184.93115942028984,184.93115942028984,184.93115942028984
468,,,,169.98529411764707,169.98529411764707,169.98529411764707,184.45292014302743,184.45292014302743,184.45292014302743
472,,,,175.57772337821297,175.57772337821297,175.57772337821297,186.14832535885168,186.14832535885168,186.14832535885168
476,,,,171.04156479217605,171.04156479217605,171.04156479217605,182.20981595092024,182.20981595092024,182.20981595092024
480,,,,175.84171779141104,175.84171779141104,175.84171779141104,184.3740831295844,184.3740831295844,184.3740831295844
484,,,,175.83065512978987,175.83065512978987,175.83065512978987,185.1853658536585,185.1853658536585,185.1853658536585
488,,,,171.84745762711864,171.84745762711864,171.84745762711864,183.8760529482551,183.8760529482551,183.8760529482551
492,,,,175.25181598062954,175.25181598062954,175.25181598062954,184.74819277108435,184.74819277108435,184.74819277108435
496,,,,176.54090354090354,176.54090354090354,176.54090354090354,179.72101449275362,179.72101449275362,179.72101449275362
500,,,,179.281517747858,179.281517747858,179.281517747858,177.593635250918,177.593635250918,177.593635250918
504,,,,179.32207478890228,179.32207478890228,179.32207478890228,181.45036319612592,181.45036319612592,181.45036319612592
508,,,,176.98029556650246,176.98029556650246,176.98029556650246,183.1360294117647,183.1360294117647,183.1360294117647
512,,,,176.75060827250607,176.75060827250607,176.75060827250607,183.68014705882356,183.68014705882356,183.68014705882356
516,,,,179.4896214896215,179.4896214896215,179.4896214896215,178.2136645962733,178.2136645962733,178.2136645962733
520,,,,173.9653893695921,173.9653893695921,173.9653893695921,185.64888337468983,185.64888337468983,185.64888337468983
524,,,,185.06535141800248,185.06535141800248,185.06535141800248,187.03075030750307,187.03075030750307,187.03075030750307
528,,,,184.35386473429952,184.35386473429952,184.35386473429952,185.53865030674848,185.53865030674848,185.53865030674848
532,,,,181.60169491525423,181.60169491525423,181.60169491525423,185.78928136419,185.78928136419,185.78928136419
536,,,,183.92592592592592,183.92592592592592,183.92592592592592,184.23218673218676,184.23218673218676,184.23218673218676
540,,,,179.35749385749386,179.35749385749386,179.35749385749386,188.34223300970876,188.34223300970876,188.34223300970876
544,,,,177.91435464414957,177.91435464414957,177.91435464414957,184.6356968215159,184.6356968215159,184.6356968215159
548,,,,177.25487804878048,177.25487804878048,177.25487804878048,183.34541062801927,183.34541062801927,183.34541062801927
552,,,,177.990231990232,177.990231990232,177.990231990232,180.6151990349819,180.6151990349819,180.6151990349819
556,,,,175.71863580998783,175.71863580998783,175.71863580998783,186.752688172043,186.752688172043,186.752688172043
560,,,,179.16136919315403,179.16136919315403,179.16136919315403,185.44071856287425,185.44071856287425,185.44071856287425
564,,,,180.8639705882353,180.8639705882353,180.8639705882353,181.4571078431373,181.4571078431373,181.4571078431373
568,,,,184.8835784313725,184.8835784313725,184.8835784313725,181.1449451887941,181.1449451887941,181.1449451887941
572,,,,181.3754601226994,181.3754601226994,181.3754601226994,176.91230207064555,176.91230207064555,176.91230207064555
576,,,,178.91299019607845,178.91299019607845,178.91299019607845,179.4159509202454,179.4159509202454,179.4159509202454
580,,,,186.96973365617436,186.96973365617436,186.96973365617436,178.0121212121212,178.0121212121212,178.0121212121212
584,,,,186.0656934306569,186.0656934306569,186.0656934306569,180.11722488038276,180.11722488038276,180.11722488038276
588,,,,189.33009708737865,189.33009708737865,189.33009708737865,177.0514075887393,177.0514075887393,177.0514075887393
592,,,,184.86778846153845,184.86778846153845,184.86778846153845,184.5450121654501,184.5450121654501,184.5450121654501
596,,,,182.56085918854416,182.56085918854416,182.56085918854416,178.55501813784764,178.55501813784764,178.55501813784764
600,,,,183.2511737089202,183.2511737089202,183.2511737089202,183.10084033613447,183.10084033613447,183.10084033613447
604,,,,193.8825622775801,193.8825622775801,193.8825622775801,187.72607655502392,187.72607655502392,187.72607655502392
608,,,,177.03766707168893,177.03766707168893,177.03766707168893,173.86857825567503,173.86857825567503,173.86857825567503
612,,,,172.88335358444715,172.88335358444715,172.88335358444715,176.07608695652175,176.07608695652175,176.07608695652175
616,,,,179.2141997593261,179.2141997593261,179.2141997593261,174.19235364396656,174.19235364396656,174.19235364396656
620,,,,179.77015643802648,179.77015643802648,179.77015643802648,179.830900243309,179.830900243309,179.830900243309
624,,,,178.6437869822485,178.6437869822485,178.6437869822485,178.9112426035503,178.9112426035503,178.9112426035503
628,,,,176.3009592326139,176.3009592326139,176.3009592326139,183.00487804878048,183.00487804878048,183.00487804878048
632,,,,181.6572438162544,181.6572438162544,181.6572438162544,173.3609756097561,173.3609756097561,173.3609756097561
636,,,,183.89479905437352,183.89479905437352,183.89479905437352,175.67200986436498,175.67200986436498,175.67200986436498
640,,,,181.6319526627219,181.6319526627219,181.6319526627219,175.623786407767,175.623786407767,175.623786407767
644,,,,189.55168269230768,189.55168269230768,189.55168269230768,175.87740384615384,175.87740384615384,175.87740384615384
648,,,,183.2124105011933,183.2124105011933,183.2124105011933,182.29156626506025,182.29156626506025,182.29156626506025
652,,,,193.2183770883055,193.2183770883055,193.2183770883055,175.5451263537906,175.5451263537906,175.5451263537906
656,,,,196.1050767414404,196.1050767414404,196.1050767414404,177.42874251497005,177.42874251497005,177.42874251497005
660,,,,178.54892601431982,178.54892601431982,178.54892601431982,173.40979689366787,173.40979689366787,173.40979689366787
664,,,,182.79763313609467,182.79763313609467,182.79763313609467,174.76821983273595,174.76821983273595,174.76821983273595
668,,,,188.9244391971665,188.9244391971665,188.9244391971665,175.68592057761734,175.68592057761734,175.68592057761734
672,,,,176.23826714801444,176.23826714801444,176.23826714801444,177.10965435041717,177.10965435041717,177.10965435041717
676,,,,180.92439024390245,180.92439024390245,180.92439024390245,174.58463385354142,174.58463385354142,174.58463385354142
680,,,,180.64294330518695,180.64294330518695,180.64294330518695,174.19976218787158,174.19976218787158,174.19976218787158
684,,,,178.18787158145065,178.18787158145065,178.18787158145065,179.00469483568074,179.00469483568074,179.00469483568074
688,,,,194.81398104265404,194.81398104265404,194.81398104265404,181.1682808716707,181.1682808716707,181.1682808716707
692,,,,183.0082256169213,183.0082256169213,183.0082256169213,183.39492753623188,183.39492753623188,183.39492753623188
696,,,,,,,181.06272189349116,181.06272189349116,181.06272189349116
700,,,,,,,183.65366430260048,183.65366430260048,183.65366430260048
704,,,,,,,179.35456730769232,179.35456730769232,179.35456730769232
708,,,,,,,179.4171632896305,179.4171632896305,179.4171632896305
712,,,,,,,180.14580801944103,180.14580801944103,180.14580801944103
716,,,,,,,181.3585798816568,181.3585798816568,181.3585798816568
720,,,,,,,177.70215311004785,177.70215311004785,177.70215311004785
724,,,,,,,176.0631704410012,176.0631704410012,176.0631704410012
728,,,,,,,176.92133492252682,176.92133492252682,176.92133492252682
732,,,,,,,177.5643802647413,177.5643802647413,177.5643802647413
736,,,,,,,178.72029702970298,178.72029702970298,178.72029702970298
740,,,,,,,184.97911547911548,184.97911547911548,184.97911547911548
744,,,,,,,181.04556354916068,181.04556354916068,181.04556354916068
748,,,,,,,184.328125,184.328125,184.328125
752,,,,,,,185.4750593824228,185.4750593824228,185.4750593824228
756,,,,,,,181.45968712394705,181.45968712394705,181.45968712394705
760,,,,,,,178.30555555555554,178.30555555555554,178.30555555555554
764,,,,,,,177.5388291517324,177.5388291517324,177.5388291517324
768,,,,,,,177.29820359281436,177.29820359281436,177.29820359281436
772,,,,,,,178.2852028639618,178.2852028639618,178.2852028639618
776,,,,,,,178.62782401902496,178.62782401902496,178.62782401902496
780,,,,,,,176.57894736842104,176.57894736842104,176.57894736842104
784,,,,,,,180.0494699646643,180.0494699646643,180.0494699646643
788,,,,,,,177.8468899521531,177.8468899521531,177.8468899521531
792,,,,,,,175.30522565320666,175.30522565320666,175.30522565320666
796,,,,,,,176.45858343337335,176.45858343337335,176.45858343337335
800,,,,,,,174.7564259485924,174.7564259485924,174.7564259485924
804,,,,,,,172.98774509803923,172.98774509803923,172.98774509803923
808,,,,,,,175.34861278648975,175.34861278648975,175.34861278648975
812,,,,,,,178.68383233532933,178.68383233532933,178.68383233532933
816,,,,,,,175.68358913813458,175.68358913813458,175.68358913813458
820,,,,,,,178.73708920187792,178.73708920187792,178.73708920187792
824,,,,,,,176.17099056603774,176.17099056603774,176.17099056603774
828,,,,,,,175.37749120750294,175.37749120750294,175.37749120750294
832,,,,,,,177.50753186558518,177.50753186558518,177.50753186558518
836,,,,,,,171.739336492891,171.739336492891,171.739336492891
840,,,,,,,171.62470862470863,171.62470862470863,171.62470862470863
844,,,,,,,177.0415183867141,177.0415183867141,177.0415183867141
848,,,,,,,172.94269005847954,172.94269005847954,172.94269005847954
852,,,,,,,174.37176470588236,174.37176470588236,174.37176470588236
856,,,,,,,174.64622641509433,174.64622641509433,174.64622641509433
860,,,,,,,178.81786133960048,178.81786133960048,178.81786133960048
864,,,,,,,177.8254156769596,177.8254156769596,177.8254156769596
868,,,,,,,173.77203290246769,173.77203290246769,173.77203290246769
872,,,,,,,173.8279445727483,173.8279445727483,173.8279445727483
876,,,,,,,175.29634002361274,175.29634002361274,175.29634002361274
