Step,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/MATH500,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/MATH500__MAX,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/MATH500__MIN,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/MATH500,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/MATH500__MAX,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/MATH500__MIN,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/MATH500,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/MATH500__MAX,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/MATH500__MIN
192,1475.7619047619048,1475.7619047619048,1475.7619047619048,315.8918918918919,315.8918918918919,315.8918918918919,285.7747747747748,285.7747747747748,285.7747747747748
196,1469.3474178403756,1469.3474178403756,1469.3474178403756,347.02666666666664,347.02666666666664,347.02666666666664,279.5590909090909,279.5590909090909,279.5590909090909
200,,,,314.9951923076923,314.9951923076923,314.9951923076923,278.76146788990826,278.76146788990826,278.76146788990826
204,,,,331.3744075829384,331.3744075829384,331.3744075829384,290.0711111111111,290.0711111111111,290.0711111111111
208,,,,322.7510917030568,322.7510917030568,322.7510917030568,273.00888888888886,273.00888888888886,273.00888888888886
212,,,,287.5138888888889,287.5138888888889,287.5138888888889,268.7180616740088,268.7180616740088,268.7180616740088
216,,,,343.6575342465753,343.6575342465753,343.6575342465753,260.7442922374429,260.7442922374429,260.7442922374429
220,,,,322.67105263157896,322.67105263157896,322.67105263157896,274.3863636363636,274.3863636363636,274.3863636363636
224,,,,311.2597402597403,311.2597402597403,311.2597402597403,255.08530805687204,255.08530805687204,255.08530805687204
228,,,,313.3480176211454,313.3480176211454,313.3480176211454,279.5900900900901,279.5900900900901,279.5900900900901
232,,,,316.7381974248927,316.7381974248927,316.7381974248927,272.2678571428572,272.2678571428572,272.2678571428572
236,,,,322.3911111111111,322.3911111111111,322.3911111111111,282.3794642857143,282.3794642857143,282.3794642857143
240,,,,317.0945945945946,317.0945945945946,317.0945945945946,279.04824561403507,279.04824561403507,279.04824561403507
244,,,,328.86343612334804,328.86343612334804,328.86343612334804,316.8279069767442,316.8279069767442,316.8279069767442
248,,,,282.74766355140184,282.74766355140184,282.74766355140184,279.28384279475983,279.28384279475983,279.28384279475983
252,,,,295.64444444444445,295.64444444444445,295.64444444444445,285.0272727272727,285.0272727272727,285.0272727272727
256,,,,290.32489451476795,290.32489451476795,290.32489451476795,287.0963302752294,287.0963302752294,287.0963302752294
260,,,,294.0218340611354,294.0218340611354,294.0218340611354,293.6977777777778,293.6977777777778,293.6977777777778
264,,,,295.80172413793105,295.80172413793105,295.80172413793105,297.2916666666667,297.2916666666667,297.2916666666667
268,,,,299.7445887445887,299.7445887445887,299.7445887445887,292.2927927927928,292.2927927927928,292.2927927927928
272,,,,315.1324200913242,315.1324200913242,315.1324200913242,298.125,298.125,298.125
276,,,,316.05333333333334,316.05333333333334,316.05333333333334,292.6088888888889,292.6088888888889,292.6088888888889
280,,,,310.13100436681225,310.13100436681225,310.13100436681225,273.7763157894737,273.7763157894737,273.7763157894737
284,,,,295.4140969162996,295.4140969162996,295.4140969162996,313.05172413793105,313.05172413793105,313.05172413793105
288,,,,296.25471698113205,296.25471698113205,296.25471698113205,303.0952380952381,303.0952380952381,303.0952380952381
292,,,,318.45652173913044,318.45652173913044,318.45652173913044,289.46724890829694,289.46724890829694,289.46724890829694
296,,,,308.8772727272727,308.8772727272727,308.8772727272727,310.4107142857143,310.4107142857143,310.4107142857143
300,,,,302.085201793722,302.085201793722,302.085201793722,275.3181818181818,275.3181818181818,275.3181818181818
304,,,,297.8727272727273,297.8727272727273,297.8727272727273,274.5374449339207,274.5374449339207,274.5374449339207
308,,,,298.2443438914027,298.2443438914027,298.2443438914027,294.51801801801804,294.51801801801804,294.51801801801804
312,,,,301.1688888888889,301.1688888888889,301.1688888888889,280.2053571428572,280.2053571428572,280.2053571428572
316,,,,291.3805309734513,291.3805309734513,291.3805309734513,302.26267281106,302.26267281106,302.26267281106
320,,,,282.8101851851852,282.8101851851852,282.8101851851852,298.96875,298.96875,298.96875
324,,,,314.1428571428572,314.1428571428572,314.1428571428572,279.2345132743363,279.2345132743363,279.2345132743363
328,,,,296.09589041095893,296.09589041095893,296.09589041095893,294.2130434782609,294.2130434782609,294.2130434782609
332,,,,310.41013824884794,310.41013824884794,310.41013824884794,284.33482142857144,284.33482142857144,284.33482142857144
336,,,,289.94930875576034,289.94930875576034,289.94930875576034,291.6854460093897,291.6854460093897,291.6854460093897
340,,,,328.9780701754386,328.9780701754386,328.9780701754386,298.2009132420091,298.2009132420091,298.2009132420091
344,,,,312.85377358490564,312.85377358490564,312.85377358490564,300.6933333333333,300.6933333333333,300.6933333333333
348,,,,315.92,315.92,315.92,281.4,281.4,281.4
352,,,,283.9154929577465,283.9154929577465,283.9154929577465,280.846511627907,280.846511627907,280.846511627907
356,,,,297.1422018348624,297.1422018348624,297.1422018348624,289.5669642857143,289.5669642857143,289.5669642857143
360,,,,294.40277777777777,294.40277777777777,294.40277777777777,288.87330316742083,288.87330316742083,288.87330316742083
364,,,,291.81481481481484,291.81481481481484,291.81481481481484,280.4298245614035,280.4298245614035,280.4298245614035
368,,,,293.7219730941704,293.7219730941704,293.7219730941704,290.7675438596491,290.7675438596491,290.7675438596491
372,,,,312.0493273542601,312.0493273542601,312.0493273542601,293.8590909090909,293.8590909090909,293.8590909090909
376,,,,287.46222222222224,287.46222222222224,287.46222222222224,301.3783783783784,301.3783783783784,301.3783783783784
380,,,,296.71238938053096,296.71238938053096,296.71238938053096,316.9649122807017,316.9649122807017,316.9649122807017
384,,,,291.9244444444444,291.9244444444444,291.9244444444444,291.4458874458874,291.4458874458874,291.4458874458874
388,,,,287.8235294117647,287.8235294117647,287.8235294117647,304.6837606837607,304.6837606837607,304.6837606837607
392,,,,312.0869565217391,312.0869565217391,312.0869565217391,284.84753363228697,284.84753363228697,284.84753363228697
396,,,,317.27777777777777,317.27777777777777,317.27777777777777,297.6891891891892,297.6891891891892,297.6891891891892
400,,,,320.33482142857144,320.33482142857144,320.33482142857144,280.5043859649123,280.5043859649123,280.5043859649123
404,,,,305.7488584474886,305.7488584474886,305.7488584474886,281.695067264574,281.695067264574,281.695067264574
408,,,,319.6478260869565,319.6478260869565,319.6478260869565,299.3605150214592,299.3605150214592,299.3605150214592
412,,,,307.9778761061947,307.9778761061947,307.9778761061947,295.46666666666664,295.46666666666664,295.46666666666664
416,,,,294.90277777777777,294.90277777777777,294.90277777777777,294.62605042016804,294.62605042016804,294.62605042016804
420,,,,304.7217391304348,304.7217391304348,304.7217391304348,284.80973451327435,284.80973451327435,284.80973451327435
424,,,,291.5112107623318,291.5112107623318,291.5112107623318,281.77092511013217,281.77092511013217,281.77092511013217
428,,,,299.219298245614,299.219298245614,299.219298245614,279.7058823529412,279.7058823529412,279.7058823529412
432,,,,290.7488584474886,290.7488584474886,290.7488584474886,280.59911894273125,280.59911894273125,280.59911894273125
436,,,,315.7705627705628,315.7705627705628,315.7705627705628,273.1697247706422,273.1697247706422,273.1697247706422
440,,,,311.2586206896552,311.2586206896552,311.2586206896552,278.81497797356826,278.81497797356826,278.81497797356826
444,,,,298.8,298.8,298.8,303.31838565022423,303.31838565022423,303.31838565022423
448,,,,301.2825112107623,301.2825112107623,301.2825112107623,320.9178082191781,320.9178082191781,320.9178082191781
452,,,,314.56888888888886,314.56888888888886,314.56888888888886,280.90047393364927,280.90047393364927,280.90047393364927
456,,,,304.39170506912444,304.39170506912444,304.39170506912444,297.61990950226243,297.61990950226243,297.61990950226243
460,,,,294.5669642857143,294.5669642857143,294.5669642857143,292.44933920704847,292.44933920704847,292.44933920704847
464,,,,299.9301310043668,299.9301310043668,299.9301310043668,282.1955555555556,282.1955555555556,282.1955555555556
468,,,,303.7445887445887,303.7445887445887,303.7445887445887,269.91743119266056,269.91743119266056,269.91743119266056
472,,,,290.12442396313367,290.12442396313367,290.12442396313367,265.73394495412845,265.73394495412845,265.73394495412845
476,,,,297.7991071428572,297.7991071428572,297.7991071428572,272.1266968325792,272.1266968325792,272.1266968325792
480,,,,291.2311320754717,291.2311320754717,291.2311320754717,284.29017857142856,284.29017857142856,284.29017857142856
484,,,,304.1756756756757,304.1756756756757,304.1756756756757,266.78636363636366,266.78636363636366,266.78636363636366
488,,,,292.1511111111111,292.1511111111111,292.1511111111111,297.5324074074074,297.5324074074074,297.5324074074074
492,,,,301.352422907489,301.352422907489,301.352422907489,279.8812785388128,279.8812785388128,279.8812785388128
496,,,,293.009009009009,293.009009009009,293.009009009009,274.3860465116279,274.3860465116279,274.3860465116279
500,,,,298.8423423423424,298.8423423423424,298.8423423423424,286.9585253456221,286.9585253456221,286.9585253456221
504,,,,294.35555555555555,294.35555555555555,294.35555555555555,287.109649122807,287.109649122807,287.109649122807
508,,,,312.68,312.68,312.68,255.76525821596243,255.76525821596243,255.76525821596243
512,,,,307.5431034482759,307.5431034482759,307.5431034482759,287.94117647058823,287.94117647058823,287.94117647058823
516,,,,288.1511111111111,288.1511111111111,288.1511111111111,270.3842794759825,270.3842794759825,270.3842794759825
520,,,,308.8200836820084,308.8200836820084,308.8200836820084,257.08482142857144,257.08482142857144,257.08482142857144
524,,,,298.9316239316239,298.9316239316239,298.9316239316239,267.82300884955754,267.82300884955754,267.82300884955754
528,,,,308.0131004366812,308.0131004366812,308.0131004366812,266.35185185185185,266.35185185185185,266.35185185185185
532,,,,301.8646288209607,301.8646288209607,301.8646288209607,266.10697674418606,266.10697674418606,266.10697674418606
536,,,,325.3684210526316,325.3684210526316,325.3684210526316,274.0046296296296,274.0046296296296,274.0046296296296
540,,,,322.2008733624454,322.2008733624454,322.2008733624454,257.6359649122807,257.6359649122807,257.6359649122807
544,,,,316.18297872340423,316.18297872340423,316.18297872340423,306.95338983050846,306.95338983050846,306.95338983050846
548,,,,301.12554112554113,301.12554112554113,301.12554112554113,274.8243243243243,274.8243243243243,274.8243243243243
552,,,,298.057268722467,298.057268722467,298.057268722467,267.7488986784141,267.7488986784141,267.7488986784141
556,,,,313.6535087719298,313.6535087719298,313.6535087719298,263.5844748858448,263.5844748858448,263.5844748858448
560,,,,311.65531914893614,311.65531914893614,311.65531914893614,282.2027027027027,282.2027027027027,282.2027027027027
564,,,,344.58995815899584,344.58995815899584,344.58995815899584,268.45089285714283,268.45089285714283,268.45089285714283
568,,,,339.8760683760684,339.8760683760684,339.8760683760684,259.4583333333333,259.4583333333333,259.4583333333333
572,,,,336.8125,336.8125,336.8125,292.0933333333333,292.0933333333333,292.0933333333333
576,,,,338.48497854077254,338.48497854077254,338.48497854077254,275.7882882882883,275.7882882882883,275.7882882882883
580,,,,321.17543859649123,321.17543859649123,321.17543859649123,258.5925925925926,258.5925925925926,258.5925925925926
584,,,,325.0177777777778,325.0177777777778,325.0177777777778,261.82666666666665,261.82666666666665,261.82666666666665
588,,,,309.0301724137931,309.0301724137931,309.0301724137931,251.0418604651163,251.0418604651163,251.0418604651163
592,,,,302.44144144144144,302.44144144144144,302.44144144144144,261.33181818181816,261.33181818181816,261.33181818181816
596,,,,318.3231441048035,318.3231441048035,318.3231441048035,277.1659388646288,277.1659388646288,277.1659388646288
600,,,,295.1806167400881,295.1806167400881,295.1806167400881,276.4045454545454,276.4045454545454,276.4045454545454
604,,,,299.2217391304348,299.2217391304348,299.2217391304348,272.6140350877193,272.6140350877193,272.6140350877193
608,,,,293.39823008849555,293.39823008849555,293.39823008849555,280.5683760683761,280.5683760683761,280.5683760683761
612,,,,296.74439461883406,296.74439461883406,296.74439461883406,266.70940170940173,266.70940170940173,266.70940170940173
616,,,,295.68669527897,295.68669527897,295.68669527897,271.65486725663715,271.65486725663715,271.65486725663715
620,,,,291.9511111111111,291.9511111111111,291.9511111111111,267.05676855895194,267.05676855895194,267.05676855895194
624,,,,297.89565217391305,297.89565217391305,297.89565217391305,261.97285067873304,261.97285067873304,261.97285067873304
628,,,,294.84120171673817,294.84120171673817,294.84120171673817,265.4166666666667,265.4166666666667,265.4166666666667
632,,,,292.49781659388645,292.49781659388645,292.49781659388645,266.3711790393013,266.3711790393013,266.3711790393013
636,,,,329.8024691358025,329.8024691358025,329.8024691358025,263.0357142857143,263.0357142857143,263.0357142857143
640,,,,281.9429824561403,281.9429824561403,281.9429824561403,266.13698630136986,266.13698630136986,266.13698630136986
644,,,,294.24347826086955,294.24347826086955,294.24347826086955,288.8778280542986,288.8778280542986,288.8778280542986
648,,,,298.0086206896552,298.0086206896552,298.0086206896552,266.4241071428572,266.4241071428572,266.4241071428572
652,,,,302.96153846153845,302.96153846153845,302.96153846153845,258.80841121495325,258.80841121495325,258.80841121495325
656,,,,303.149377593361,303.149377593361,303.149377593361,250.66037735849056,250.66037735849056,250.66037735849056
660,,,,291.5431034482759,291.5431034482759,291.5431034482759,255.6221198156682,255.6221198156682,255.6221198156682
664,,,,298.19742489270385,298.19742489270385,298.19742489270385,267.6666666666667,267.6666666666667,267.6666666666667
668,,,,294.27705627705626,294.27705627705626,294.27705627705626,277.9449541284404,277.9449541284404,277.9449541284404
672,,,,309.3290598290598,309.3290598290598,309.3290598290598,275.86425339366514,275.86425339366514,275.86425339366514
676,,,,312.109649122807,312.109649122807,312.109649122807,265.9727272727273,265.9727272727273,265.9727272727273
680,,,,330.77872340425535,330.77872340425535,330.77872340425535,260.41255605381167,260.41255605381167,260.41255605381167
684,,,,308.728813559322,308.728813559322,308.728813559322,282.7688888888889,282.7688888888889,282.7688888888889
688,,,,325.0593220338983,325.0593220338983,325.0593220338983,264.88262910798124,264.88262910798124,264.88262910798124
692,,,,329.36,329.36,329.36,265.0046511627907,265.0046511627907,265.0046511627907
696,,,,,,,268.2522935779817,268.2522935779817,268.2522935779817
700,,,,,,,286.78636363636366,286.78636363636366,286.78636363636366
704,,,,,,,272.1336405529954,272.1336405529954,272.1336405529954
708,,,,,,,256.6203703703704,256.6203703703704,256.6203703703704
712,,,,,,,266.23423423423424,266.23423423423424,266.23423423423424
716,,,,,,,265.57209302325583,265.57209302325583,265.57209302325583
720,,,,,,,241.0412844036697,241.0412844036697,241.0412844036697
724,,,,,,,256.7857142857143,256.7857142857143,256.7857142857143
728,,,,,,,242.3767441860465,242.3767441860465,242.3767441860465
732,,,,,,,261.5296803652968,261.5296803652968,261.5296803652968
736,,,,,,,254.1187214611872,254.1187214611872,254.1187214611872
740,,,,,,,257.30555555555554,257.30555555555554,257.30555555555554
744,,,,,,,270.8703703703704,270.8703703703704,270.8703703703704
748,,,,,,,256.15909090909093,256.15909090909093,256.15909090909093
752,,,,,,,256.4035874439462,256.4035874439462,256.4035874439462
756,,,,,,,260.4770642201835,260.4770642201835,260.4770642201835
760,,,,,,,269.1294642857143,269.1294642857143,269.1294642857143
764,,,,,,,261.8533333333333,261.8533333333333,261.8533333333333
768,,,,,,,266.75925925925924,266.75925925925924,266.75925925925924
772,,,,,,,262.2511210762332,262.2511210762332,262.2511210762332
776,,,,,,,270.0964912280702,270.0964912280702,270.0964912280702
780,,,,,,,264.5863636363636,264.5863636363636,264.5863636363636
784,,,,,,,257.9429824561403,257.9429824561403,257.9429824561403
788,,,,,,,255.15384615384616,255.15384615384616,255.15384615384616
792,,,,,,,258.92792792792795,258.92792792792795,258.92792792792795
796,,,,,,,263.215859030837,263.215859030837,263.215859030837
800,,,,,,,257.36,257.36,257.36
804,,,,,,,261.9475982532751,261.9475982532751,261.9475982532751
808,,,,,,,261.50666666666666,261.50666666666666,261.50666666666666
812,,,,,,,261.69957081545067,261.69957081545067,261.69957081545067
816,,,,,,,260.14864864864865,260.14864864864865,260.14864864864865
820,,,,,,,257.6188340807175,257.6188340807175,257.6188340807175
824,,,,,,,265.3448275862069,265.3448275862069,265.3448275862069
828,,,,,,,280.375,280.375,280.375
832,,,,,,,268.0267857142857,268.0267857142857,268.0267857142857
836,,,,,,,260.84375,260.84375,260.84375
840,,,,,,,250.5286343612335,250.5286343612335,250.5286343612335
844,,,,,,,265.0264317180617,265.0264317180617,265.0264317180617
848,,,,,,,266.72645739910314,266.72645739910314,266.72645739910314
852,,,,,,,261.26126126126127,261.26126126126127,261.26126126126127
856,,,,,,,254.1497797356828,254.1497797356828,254.1497797356828
860,,,,,,,254.94642857142856,254.94642857142856,254.94642857142856
864,,,,,,,264.0801886792453,264.0801886792453,264.0801886792453
868,,,,,,,259.03097345132744,259.03097345132744,259.03097345132744
872,,,,,,,256.65065502183404,256.65065502183404,256.65065502183404
876,,,,,,,249.30516431924883,249.30516431924883,249.30516431924883
