"Step","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/MATH500__MAX"
"80","0.332","0.332","0.332","0.288","0.288","0.288","0.372","0.372","0.372","0.292","0.292","0.292"
"84","0.33","0.33","0.33","0.292","0.292","0.292","0.388","0.388","0.388","0.306","0.306","0.306"
"88","0.364","0.364","0.364","0.334","0.334","0.334","0.376","0.376","0.376","0.332","0.332","0.332"
"92","0.362","0.362","0.362","0.34","0.34","0.34","0.374","0.374","0.374","0.352","0.352","0.352"
"96","0.362","0.362","0.362","0.358","0.358","0.358","0.382","0.382","0.382","0.358","0.358","0.358"
"100","0.37","0.37","0.37","0.36","0.36","0.36","0.398","0.398","0.398","0.368","0.368","0.368"
"104","0.376","0.376","0.376","0.366","0.366","0.366","0.412","0.412","0.412","0.382","0.382","0.382"
"108","0.36","0.36","0.36","0.354","0.354","0.354","0.408","0.408","0.408","0.394","0.394","0.394"
"112","0.354","0.354","0.354","0.366","0.366","0.366","0.406","0.406","0.406","0.372","0.372","0.372"
"116","0.366","0.366","0.366","0.364","0.364","0.364","0.398","0.398","0.398","0.404","0.404","0.404"
"120","0.376","0.376","0.376","0.394","0.394","0.394","0.412","0.412","0.412","0.4","0.4","0.4"
"124","0.37","0.37","0.37","0.392","0.392","0.392","0.378","0.378","0.378","0.408","0.408","0.408"
"128","0.376","0.376","0.376","0.384","0.384","0.384","0.416","0.416","0.416","0.402","0.402","0.402"
"132","0.358","0.358","0.358","0.378","0.378","0.378","0.396","0.396","0.396","0.422","0.422","0.422"
"136","0.374","0.374","0.374","0.378","0.378","0.378","0.402","0.402","0.402","0.408","0.408","0.408"
"140","0.388","0.388","0.388","0.416","0.416","0.416","0.406","0.406","0.406","0.396","0.396","0.396"
"144","0.396","0.396","0.396","0.4","0.4","0.4","0.432","0.432","0.432","0.396","0.396","0.396"
"148","0.394","0.394","0.394","0.38","0.38","0.38","0.42","0.42","0.42","0.388","0.388","0.388"
"152","0.378","0.378","0.378","0.388","0.388","0.388","0.416","0.416","0.416","0.408","0.408","0.408"
"156","0.382","0.382","0.382","0.406","0.406","0.406","0.394","0.394","0.394","0.406","0.406","0.406"
"160","0.37","0.37","0.37","0.388","0.388","0.388","0.406","0.406","0.406","0.42","0.42","0.42"
"164","0.37","0.37","0.37","0.386","0.386","0.386","0.418","0.418","0.418","0.392","0.392","0.392"
"168","0.388","0.388","0.388","0.404","0.404","0.404","0.408","0.408","0.408","0.416","0.416","0.416"
"172","0.39","0.39","0.39","0.388","0.388","0.388","0.418","0.418","0.418","0.436","0.436","0.436"
"176","0.378","0.378","0.378","0.396","0.396","0.396","0.422","0.422","0.422","0.414","0.414","0.414"
"180","0.386","0.386","0.386","0.394","0.394","0.394","0.428","0.428","0.428","0.398","0.398","0.398"
"184","0.392","0.392","0.392","0.39","0.39","0.39","0.412","0.412","0.412","0.414","0.414","0.414"
"188","0.394","0.394","0.394","0.402","0.402","0.402","0.426","0.426","0.426","0.41","0.41","0.41"
"192","0.406","0.406","0.406","0.396","0.396","0.396","0.394","0.394","0.394","0.39","0.39","0.39"
"196","0.392","0.392","0.392","0.382","0.382","0.382","0.402","0.402","0.402","0.416","0.416","0.416"
"200","0.384","0.384","0.384","0.388","0.388","0.388","0.406","0.406","0.406","0.41","0.41","0.41"
"204","0.368","0.368","0.368","0.408","0.408","0.408","0.402","0.402","0.402","0.394","0.394","0.394"
"208","0.386","0.386","0.386","0.41","0.41","0.41","0.414","0.414","0.414","0.42","0.42","0.42"
"212","0.396","0.396","0.396","0.412","0.412","0.412","0.422","0.422","0.422","0.412","0.412","0.412"
"216","0.376","0.376","0.376","0.424","0.424","0.424","0.396","0.396","0.396","0.41","0.41","0.41"
"220","0.402","0.402","0.402","0.416","0.416","0.416","0.394","0.394","0.394","0.424","0.424","0.424"
"224","0.39","0.39","0.39","0.394","0.394","0.394","0.404","0.404","0.404","0.404","0.404","0.404"
"228","0.392","0.392","0.392","0.412","0.412","0.412","0.412","0.412","0.412","","",""
"232","0.366","0.366","0.366","0.414","0.414","0.414","0.404","0.404","0.404","","",""
"236","0.386","0.386","0.386","0.406","0.406","0.406","0.412","0.412","0.412","","",""
"240","0.386","0.386","0.386","0.41","0.41","0.41","","","","","",""
"244","0.408","0.408","0.408","0.388","0.388","0.388","","","","","",""
"248","0.402","0.402","0.402","0.424","0.424","0.424","","","","","",""
"252","0.412","0.412","0.412","0.418","0.418","0.418","","","","","",""
"256","0.4","0.4","0.4","0.436","0.436","0.436","","","","","",""
"260","0.382","0.382","0.382","0.41","0.41","0.41","","","","","",""
"264","0.38","0.38","0.38","0.424","0.424","0.424","","","","","",""
"268","0.384","0.384","0.384","0.432","0.432","0.432","","","","","",""
"272","0.376","0.376","0.376","0.43","0.43","0.43","","","","","",""
"276","0.382","0.382","0.382","0.44","0.44","0.44","","","","","",""
"280","0.382","0.382","0.382","0.404","0.404","0.404","","","","","",""
"284","0.376","0.376","0.376","0.416","0.416","0.416","","","","","",""
"288","0.374","0.374","0.374","0.394","0.394","0.394","","","","","",""
"292","0.394","0.394","0.394","0.408","0.408","0.408","","","","","",""
"296","0.406","0.406","0.406","","","","","","","","",""
