"Step","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/OlympiadBench__MAX"
"120","0.12184249628528974","0.12184249628528974","0.12184249628528974","0.10846953937592868","0.10846953937592868","0.10846953937592868","0.12481426448736999","0.12481426448736999","0.12481426448736999","0.12481426448736999","0.12481426448736999","0.12481426448736999"
"124","0.11738484398216939","0.11738484398216939","0.11738484398216939","0.0950965824665676","0.0950965824665676","0.0950965824665676","0.1337295690936107","0.1337295690936107","0.1337295690936107","0.13818722139673106","0.13818722139673106","0.13818722139673106"
"128","0.0950965824665676","0.0950965824665676","0.0950965824665676","0.11738484398216939","0.11738484398216939","0.11738484398216939","0.1277860326894502","0.1277860326894502","0.1277860326894502","0.1337295690936107","0.1337295690936107","0.1337295690936107"
"132","0.11144130757800892","0.11144130757800892","0.11144130757800892","0.1263001485884101","0.1263001485884101","0.1263001485884101","0.13670133729569092","0.13670133729569092","0.13670133729569092","0.13224368499257058","0.13224368499257058","0.13224368499257058"
"136","0.1099554234769688","0.1099554234769688","0.1099554234769688","0.10549777117384844","0.10549777117384844","0.10549777117384844","0.12332838038632987","0.12332838038632987","0.12332838038632987","0.13224368499257058","0.13224368499257058","0.13224368499257058"
"140","0.1263001485884101","0.1263001485884101","0.1263001485884101","0.11292719167904904","0.11292719167904904","0.11292719167904904","0.14413075780089152","0.14413075780089152","0.14413075780089152","0.1337295690936107","0.1337295690936107","0.1337295690936107"
"144","0.12927191679049035","0.12927191679049035","0.12927191679049035","0.12481426448736999","0.12481426448736999","0.12481426448736999","0.1337295690936107","0.1337295690936107","0.1337295690936107","0.14561664190193166","0.14561664190193166","0.14561664190193166"
"148","0.11738484398216939","0.11738484398216939","0.11738484398216939","0.12481426448736999","0.12481426448736999","0.12481426448736999","0.1263001485884101","0.1263001485884101","0.1263001485884101","0.1337295690936107","0.1337295690936107","0.1337295690936107"
"152","0.1188707280832095","0.1188707280832095","0.1188707280832095","0.11738484398216939","0.11738484398216939","0.11738484398216939","0.14561664190193166","0.14561664190193166","0.14561664190193166","0.1485884101040119","0.1485884101040119","0.1485884101040119"
"156","0.13967310549777118","0.13967310549777118","0.13967310549777118","0.11144130757800892","0.11144130757800892","0.11144130757800892","0.13818722139673106","0.13818722139673106","0.13818722139673106","0.14710252600297177","0.14710252600297177","0.14710252600297177"
"160","0.12927191679049035","0.12927191679049035","0.12927191679049035","0.11738484398216939","0.11738484398216939","0.11738484398216939","0.13967310549777118","0.13967310549777118","0.13967310549777118","0.13224368499257058","0.13224368499257058","0.13224368499257058"
"164","0.1277860326894502","0.1277860326894502","0.1277860326894502","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.1411589895988113","0.1411589895988113","0.1411589895988113","0.13224368499257058","0.13224368499257058","0.13224368499257058"
"168","0.13967310549777118","0.13967310549777118","0.13967310549777118","0.12184249628528974","0.12184249628528974","0.12184249628528974","0.16047548291233285","0.16047548291233285","0.16047548291233285","0.1485884101040119","0.1485884101040119","0.1485884101040119"
"172","0.12184249628528974","0.12184249628528974","0.12184249628528974","0.1352154531946508","0.1352154531946508","0.1352154531946508","0.1337295690936107","0.1337295690936107","0.1337295690936107","0.17087667161961367","0.17087667161961367","0.17087667161961367"
"176","0.1263001485884101","0.1263001485884101","0.1263001485884101","0.10846953937592868","0.10846953937592868","0.10846953937592868","0.1411589895988113","0.1411589895988113","0.1411589895988113","0.150074294205052","0.150074294205052","0.150074294205052"
"180","0.12481426448736999","0.12481426448736999","0.12481426448736999","0.11738484398216939","0.11738484398216939","0.11738484398216939","0.1485884101040119","0.1485884101040119","0.1485884101040119","0.1337295690936107","0.1337295690936107","0.1337295690936107"
"184","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.11589895988112928","0.11589895988112928","0.11589895988112928","0.12927191679049035","0.12927191679049035","0.12927191679049035","0.1352154531946508","0.1352154531946508","0.1352154531946508"
"188","0.12184249628528974","0.12184249628528974","0.12184249628528974","0.11144130757800892","0.11144130757800892","0.11144130757800892","0.13818722139673106","0.13818722139673106","0.13818722139673106","0.1485884101040119","0.1485884101040119","0.1485884101040119"
"192","0.11589895988112928","0.11589895988112928","0.11589895988112928","0.12927191679049035","0.12927191679049035","0.12927191679049035","0.1515601783060921","0.1515601783060921","0.1515601783060921","0.12927191679049035","0.12927191679049035","0.12927191679049035"
"196","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.11589895988112928","0.11589895988112928","0.11589895988112928","0.14561664190193166","0.14561664190193166","0.14561664190193166","0.12927191679049035","0.12927191679049035","0.12927191679049035"
"200","0.12927191679049035","0.12927191679049035","0.12927191679049035","0.13818722139673106","0.13818722139673106","0.13818722139673106","0.14561664190193166","0.14561664190193166","0.14561664190193166","0.13670133729569092","0.13670133729569092","0.13670133729569092"
"204","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.1188707280832095","0.1188707280832095","0.1188707280832095","0.1411589895988113","0.1411589895988113","0.1411589895988113","0.150074294205052","0.150074294205052","0.150074294205052"
"208","0.12927191679049035","0.12927191679049035","0.12927191679049035","0.1188707280832095","0.1188707280832095","0.1188707280832095","0.14710252600297177","0.14710252600297177","0.14710252600297177","0.13818722139673106","0.13818722139673106","0.13818722139673106"
"212","0.12035661218424963","0.12035661218424963","0.12035661218424963","0.11144130757800892","0.11144130757800892","0.11144130757800892","0.1515601783060921","0.1515601783060921","0.1515601783060921","0.12927191679049035","0.12927191679049035","0.12927191679049035"
"216","0.1188707280832095","0.1188707280832095","0.1188707280832095","0.1188707280832095","0.1188707280832095","0.1188707280832095","0.13224368499257058","0.13224368499257058","0.13224368499257058","0.11292719167904904","0.11292719167904904","0.11292719167904904"
"220","0.11589895988112928","0.11589895988112928","0.11589895988112928","0.11144130757800892","0.11144130757800892","0.11144130757800892","0.12927191679049035","0.12927191679049035","0.12927191679049035","0.12481426448736999","0.12481426448736999","0.12481426448736999"
"224","0.11738484398216939","0.11738484398216939","0.11738484398216939","0.1277860326894502","0.1277860326894502","0.1277860326894502","0.1352154531946508","0.1352154531946508","0.1352154531946508","0.13224368499257058","0.13224368499257058","0.13224368499257058"
"228","0.1277860326894502","0.1277860326894502","0.1277860326894502","0.1277860326894502","0.1277860326894502","0.1277860326894502","0.1352154531946508","0.1352154531946508","0.1352154531946508","","",""
"232","0.11144130757800892","0.11144130757800892","0.11144130757800892","0.13224368499257058","0.13224368499257058","0.13224368499257058","0.12481426448736999","0.12481426448736999","0.12481426448736999","","",""
"236","0.1263001485884101","0.1263001485884101","0.1263001485884101","0.1337295690936107","0.1337295690936107","0.1337295690936107","0.13075780089153047","0.13075780089153047","0.13075780089153047","","",""
"240","0.1277860326894502","0.1277860326894502","0.1277860326894502","0.12927191679049035","0.12927191679049035","0.12927191679049035","","","","","",""
"244","0.13224368499257058","0.13224368499257058","0.13224368499257058","0.1263001485884101","0.1263001485884101","0.1263001485884101","","","","","",""
"248","0.12481426448736999","0.12481426448736999","0.12481426448736999","0.1352154531946508","0.1352154531946508","0.1352154531946508","","","","","",""
"252","0.1352154531946508","0.1352154531946508","0.1352154531946508","0.12035661218424963","0.12035661218424963","0.12035661218424963","","","","","",""
"256","0.13224368499257058","0.13224368499257058","0.13224368499257058","0.1337295690936107","0.1337295690936107","0.1337295690936107","","","","","",""
"260","0.1277860326894502","0.1277860326894502","0.1277860326894502","0.1426448736998514","0.1426448736998514","0.1426448736998514","","","","","",""
"264","0.13967310549777118","0.13967310549777118","0.13967310549777118","0.13224368499257058","0.13224368499257058","0.13224368499257058","","","","","",""
"268","0.1337295690936107","0.1337295690936107","0.1337295690936107","0.13075780089153047","0.13075780089153047","0.13075780089153047","","","","","",""
"272","0.13818722139673106","0.13818722139673106","0.13818722139673106","0.13670133729569092","0.13670133729569092","0.13670133729569092","","","","","",""
"276","0.12184249628528974","0.12184249628528974","0.12184249628528974","0.1277860326894502","0.1277860326894502","0.1277860326894502","","","","","",""
"280","0.1263001485884101","0.1263001485884101","0.1263001485884101","0.12481426448736999","0.12481426448736999","0.12481426448736999","","","","","",""
"284","0.14413075780089152","0.14413075780089152","0.14413075780089152","0.1352154531946508","0.1352154531946508","0.1352154531946508","","","","","",""
"288","0.13670133729569092","0.13670133729569092","0.13670133729569092","0.10698365527488855","0.10698365527488855","0.10698365527488855","","","","","",""
"292","0.12035661218424963","0.12035661218424963","0.12035661218424963","0.1099554234769688","0.1099554234769688","0.1099554234769688","","","","","",""
"296","0.1426448736998514","0.1426448736998514","0.1426448736998514","","","","","","","","",""
