"Step","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/GSM8k","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/GSM8k","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/GSM8k","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/GSM8k","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/GSM8k__MAX"
"48","0.15466262319939347","0.15466262319939347","0.15466262319939347","0.13419257012888552","0.13419257012888552","0.13419257012888552","0.15314632297194844","0.15314632297194844","0.15314632297194844","0.009097801364670205","0.009097801364670205","0.009097801364670205"
"52","0.16224412433661864","0.16224412433661864","0.16224412433661864","0.1470811220621683","0.1470811220621683","0.1470811220621683","0.23199393479909022","0.23199393479909022","0.23199393479909022","0.014404852160727824","0.014404852160727824","0.014404852160727824"
"56","0.16982562547384383","0.16982562547384383","0.16982562547384383","0.1508718726307809","0.1508718726307809","0.1508718726307809","0.514783927217589","0.514783927217589","0.514783927217589","0.026535253980288095","0.026535253980288095","0.026535253980288095"
"60","0.18877937831690675","0.18877937831690675","0.18877937831690675","0.14329037149355572","0.14329037149355572","0.14329037149355572","0.6527672479150872","0.6527672479150872","0.6527672479150872","0.045489006823351025","0.045489006823351025","0.045489006823351025"
"64","0.19332827899924185","0.19332827899924185","0.19332827899924185","0.14935557240333586","0.14935557240333586","0.14935557240333586","0.6762699014404853","0.6762699014404853","0.6762699014404853","0.0667172100075815","0.0667172100075815","0.0667172100075815"
"68","0.24564063684609552","0.24564063684609552","0.24564063684609552","0.15390447308567096","0.15390447308567096","0.15390447308567096","0.6717210007581501","0.6717210007581501","0.6717210007581501","0.12736921910538287","0.12736921910538287","0.12736921910538287"
"72","0.36087945413191813","0.36087945413191813","0.36087945413191813","0.19636087945413191","0.19636087945413191","0.19636087945413191","0.6739954510993177","0.6739954510993177","0.6739954510993177","0.21910538286580744","0.21910538286580744","0.21910538286580744"
"76","0.4920394238059136","0.4920394238059136","0.4920394238059136","0.22365428354814254","0.22365428354814254","0.22365428354814254","0.6770280515542078","0.6770280515542078","0.6770280515542078","0.21228203184230476","0.21228203184230476","0.21228203184230476"
"80","0.574677786201668","0.574677786201668","0.574677786201668","0.310841546626232","0.310841546626232","0.310841546626232","0.6823351023502654","0.6823351023502654","0.6823351023502654","0.32297194844579225","0.32297194844579225","0.32297194844579225"
"84","0.6224412433661866","0.6224412433661866","0.6224412433661866","0.3934799090219864","0.3934799090219864","0.3934799090219864","0.6944655041698257","0.6944655041698257","0.6944655041698257","0.45564821834723274","0.45564821834723274","0.45564821834723274"
"88","0.6482183472327521","0.6482183472327521","0.6482183472327521","0.4852160727824109","0.4852160727824109","0.4852160727824109","0.689158453373768","0.689158453373768","0.689158453373768","0.5928733889310084","0.5928733889310084","0.5928733889310084"
"92","0.6489764973464746","0.6489764973464746","0.6489764973464746","0.5451099317664898","0.5451099317664898","0.5451099317664898","0.689158453373768","0.689158453373768","0.689158453373768","0.6459438968915845","0.6459438968915845","0.6459438968915845"
"96","0.66565579984837","0.66565579984837","0.66565579984837","0.5511751326762699","0.5511751326762699","0.5511751326762699","0.7005307050796058","0.7005307050796058","0.7005307050796058","0.6633813495072024","0.6633813495072024","0.6633813495072024"
"100","0.6626231993934799","0.6626231993934799","0.6626231993934799","0.604245640636846","0.604245640636846","0.604245640636846","0.7043214556482184","0.7043214556482184","0.7043214556482184","0.690674753601213","0.690674753601213","0.690674753601213"
"104","0.6755117513267627","0.6755117513267627","0.6755117513267627","0.6413949962092494","0.6413949962092494","0.6413949962092494","0.6952236542835482","0.6952236542835482","0.6952236542835482","0.7005307050796058","0.7005307050796058","0.7005307050796058"
"108","0.6702047005307051","0.6702047005307051","0.6702047005307051","0.6504927975739196","0.6504927975739196","0.6504927975739196","0.7005307050796058","0.7005307050796058","0.7005307050796058","0.6982562547384382","0.6982562547384382","0.6982562547384382"
"112","0.6702047005307051","0.6702047005307051","0.6702047005307051","0.6573161485974223","0.6573161485974223","0.6573161485974223","0.6982562547384382","0.6982562547384382","0.6982562547384382","0.7012888551933283","0.7012888551933283","0.7012888551933283"
"116","0.6717210007581501","0.6717210007581501","0.6717210007581501","0.6641394996209249","0.6641394996209249","0.6641394996209249","0.7043214556482184","0.7043214556482184","0.7043214556482184","0.7172100075815011","0.7172100075815011","0.7172100075815011"
"120","0.6793025018953753","0.6793025018953753","0.6793025018953753","0.6724791508718726","0.6724791508718726","0.6724791508718726","0.7020470053070508","0.7020470053070508","0.7020470053070508","0.7202426080363912","0.7202426080363912","0.7202426080363912"
"124","0.6937073540561031","0.6937073540561031","0.6937073540561031","0.6838514025777104","0.6838514025777104","0.6838514025777104","0.7179681576952237","0.7179681576952237","0.7179681576952237","0.7240333586050038","0.7240333586050038","0.7240333586050038"
"128","0.6884003032600455","0.6884003032600455","0.6884003032600455","0.6990144048521607","0.6990144048521607","0.6990144048521607","0.711144806671721","0.711144806671721","0.711144806671721","0.7179681576952237","0.7179681576952237","0.7179681576952237"
"132","0.6853677028051555","0.6853677028051555","0.6853677028051555","0.6967399545109931","0.6967399545109931","0.6967399545109931","0.7012888551933283","0.7012888551933283","0.7012888551933283","0.7179681576952237","0.7179681576952237","0.7179681576952237"
"136","0.6929492039423806","0.6929492039423806","0.6929492039423806","0.6990144048521607","0.6990144048521607","0.6990144048521607","0.7164518574677786","0.7164518574677786","0.7164518574677786","0.7255496588324488","0.7255496588324488","0.7255496588324488"
"140","0.6937073540561031","0.6937073540561031","0.6937073540561031","0.6952236542835482","0.6952236542835482","0.6952236542835482","0.7088703563305534","0.7088703563305534","0.7088703563305534","0.733131159969674","0.733131159969674","0.733131159969674"
"144","0.6974981046247157","0.6974981046247157","0.6974981046247157","0.6937073540561031","0.6937073540561031","0.6937073540561031","0.7073540561031084","0.7073540561031084","0.7073540561031084","0.733131159969674","0.733131159969674","0.733131159969674"
"148","0.6770280515542078","0.6770280515542078","0.6770280515542078","0.6823351023502654","0.6823351023502654","0.6823351023502654","0.7179681576952237","0.7179681576952237","0.7179681576952237","0.731614859742229","0.731614859742229","0.731614859742229"
"152","0.689158453373768","0.689158453373768","0.689158453373768","0.6937073540561031","0.6937073540561031","0.6937073540561031","0.7058377558756633","0.7058377558756633","0.7058377558756633","0.7278241091736164","0.7278241091736164","0.7278241091736164"
"156","0.6838514025777104","0.6838514025777104","0.6838514025777104","0.6815769522365428","0.6815769522365428","0.6815769522365428","0.7164518574677786","0.7164518574677786","0.7164518574677786","0.7156937073540561","0.7156937073540561","0.7156937073540561"
"160","0.6914329037149356","0.6914329037149356","0.6914329037149356","0.6952236542835482","0.6952236542835482","0.6952236542835482","0.7194844579226687","0.7194844579226687","0.7194844579226687","0.7240333586050038","0.7240333586050038","0.7240333586050038"
"164","0.6899166034874905","0.6899166034874905","0.6899166034874905","0.6952236542835482","0.6952236542835482","0.6952236542835482","0.7202426080363912","0.7202426080363912","0.7202426080363912","0.7149355572403336","0.7149355572403336","0.7149355572403336"
"168","0.690674753601213","0.690674753601213","0.690674753601213","0.7149355572403336","0.7149355572403336","0.7149355572403336","0.7247915087187263","0.7247915087187263","0.7247915087187263","0.7278241091736164","0.7278241091736164","0.7278241091736164"
"172","0.686125852918878","0.686125852918878","0.686125852918878","0.7058377558756633","0.7058377558756633","0.7058377558756633","0.7179681576952237","0.7179681576952237","0.7179681576952237","0.7293404094010614","0.7293404094010614","0.7293404094010614"
"176","0.6914329037149356","0.6914329037149356","0.6914329037149356","0.7081122062168309","0.7081122062168309","0.7081122062168309","0.7103866565579985","0.7103866565579985","0.7103866565579985","0.7217589082638363","0.7217589082638363","0.7217589082638363"
"180","0.6929492039423806","0.6929492039423806","0.6929492039423806","0.6997725549658832","0.6997725549658832","0.6997725549658832","0.7172100075815011","0.7172100075815011","0.7172100075815011","0.7217589082638363","0.7217589082638363","0.7217589082638363"
"184","0.7028051554207733","0.7028051554207733","0.7028051554207733","0.689158453373768","0.689158453373768","0.689158453373768","0.7210007581501138","0.7210007581501138","0.7210007581501138","0.7217589082638363","0.7217589082638363","0.7217589082638363"
"188","0.6967399545109931","0.6967399545109931","0.6967399545109931","0.7012888551933283","0.7012888551933283","0.7012888551933283","0.7225170583775588","0.7225170583775588","0.7225170583775588","0.7323730098559514","0.7323730098559514","0.7323730098559514"
"192","0.7164518574677786","0.7164518574677786","0.7164518574677786","0.6830932524639879","0.6830932524639879","0.6830932524639879","0.7134192570128886","0.7134192570128886","0.7134192570128886","0.7369219105382866","0.7369219105382866","0.7369219105382866"
"196","0.7020470053070508","0.7020470053070508","0.7020470053070508","0.6952236542835482","0.6952236542835482","0.6952236542835482","0.7293404094010614","0.7293404094010614","0.7293404094010614","0.733131159969674","0.733131159969674","0.733131159969674"
"200","0.6982562547384382","0.6982562547384382","0.6982562547384382","0.7050796057619408","0.7050796057619408","0.7050796057619408","0.7361637604245641","0.7361637604245641","0.7361637604245641","0.7194844579226687","0.7194844579226687","0.7194844579226687"
"204","0.7073540561031084","0.7073540561031084","0.7073540561031084","0.6967399545109931","0.6967399545109931","0.6967399545109931","0.731614859742229","0.731614859742229","0.731614859742229","0.7247915087187263","0.7247915087187263","0.7247915087187263"
"208","0.7028051554207733","0.7028051554207733","0.7028051554207733","0.6944655041698257","0.6944655041698257","0.6944655041698257","0.7308567096285065","0.7308567096285065","0.7308567096285065","0.7210007581501138","0.7210007581501138","0.7210007581501138"
"212","0.7073540561031084","0.7073540561031084","0.7073540561031084","0.7050796057619408","0.7050796057619408","0.7050796057619408","0.7308567096285065","0.7308567096285065","0.7308567096285065","0.7194844579226687","0.7194844579226687","0.7194844579226687"
"216","0.7119029567854435","0.7119029567854435","0.7119029567854435","0.6997725549658832","0.6997725549658832","0.6997725549658832","0.7194844579226687","0.7194844579226687","0.7194844579226687","0.7338893100833965","0.7338893100833965","0.7338893100833965"
"220","0.6868840030326004","0.6868840030326004","0.6868840030326004","0.7081122062168309","0.7081122062168309","0.7081122062168309","0.7240333586050038","0.7240333586050038","0.7240333586050038","0.7399545109931767","0.7399545109931767","0.7399545109931767"
"224","0.7028051554207733","0.7028051554207733","0.7028051554207733","0.7020470053070508","0.7020470053070508","0.7020470053070508","0.7293404094010614","0.7293404094010614","0.7293404094010614","0.7217589082638363","0.7217589082638363","0.7217589082638363"
"228","0.7050796057619408","0.7050796057619408","0.7050796057619408","0.7134192570128886","0.7134192570128886","0.7134192570128886","0.7323730098559514","0.7323730098559514","0.7323730098559514","","",""
"232","0.7134192570128886","0.7134192570128886","0.7134192570128886","0.7172100075815011","0.7172100075815011","0.7172100075815011","0.7338893100833965","0.7338893100833965","0.7338893100833965","","",""
"236","0.7058377558756633","0.7058377558756633","0.7058377558756633","0.7240333586050038","0.7240333586050038","0.7240333586050038","0.7210007581501138","0.7210007581501138","0.7210007581501138","","",""
"240","0.7103866565579985","0.7103866565579985","0.7103866565579985","0.7285822592873389","0.7285822592873389","0.7285822592873389","","","","","",""
"244","0.6959818043972706","0.6959818043972706","0.6959818043972706","0.7255496588324488","0.7255496588324488","0.7255496588324488","","","","","",""
"248","0.7088703563305534","0.7088703563305534","0.7088703563305534","0.7293404094010614","0.7293404094010614","0.7293404094010614","","","","","",""
"252","0.7088703563305534","0.7088703563305534","0.7088703563305534","0.7202426080363912","0.7202426080363912","0.7202426080363912","","","","","",""
"256","0.711144806671721","0.711144806671721","0.711144806671721","0.7202426080363912","0.7202426080363912","0.7202426080363912","","","","","",""
"260","0.7073540561031084","0.7073540561031084","0.7073540561031084","0.7293404094010614","0.7293404094010614","0.7293404094010614","","","","","",""
"264","0.714177407126611","0.714177407126611","0.714177407126611","0.7187263078089462","0.7187263078089462","0.7187263078089462","","","","","",""
"268","0.6990144048521607","0.6990144048521607","0.6990144048521607","0.7126611068991661","0.7126611068991661","0.7126611068991661","","","","","",""
"272","0.7012888551933283","0.7012888551933283","0.7012888551933283","0.7149355572403336","0.7149355572403336","0.7149355572403336","","","","","",""
"276","0.7050796057619408","0.7050796057619408","0.7050796057619408","0.7240333586050038","0.7240333586050038","0.7240333586050038","","","","","",""
"280","0.709628506444276","0.709628506444276","0.709628506444276","0.7187263078089462","0.7187263078089462","0.7187263078089462","","","","","",""
"284","0.6952236542835482","0.6952236542835482","0.6952236542835482","0.7119029567854435","0.7119029567854435","0.7119029567854435","","","","","",""
"288","0.7073540561031084","0.7073540561031084","0.7073540561031084","0.7058377558756633","0.7058377558756633","0.7058377558756633","","","","","",""
"292","0.7050796057619408","0.7050796057619408","0.7050796057619408","0.7285822592873389","0.7285822592873389","0.7285822592873389","","","","","",""
"296","0.6944655041698257","0.6944655041698257","0.6944655041698257","","","","","","","","",""
