"Step","rl.grpo_llama.3b_math.8k_0411_2024 - val/test_score/OlympiadBench","rl.grpo_llama.3b_math.8k_0411_2024 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_math.8k_0411_2024 - val/test_score/OlympiadBench__MAX","rl.grpo_qwen.3b_math.8k_0411_1954 - val/test_score/OlympiadBench","rl.grpo_qwen.3b_math.8k_0411_1954 - val/test_score/OlympiadBench__MIN","rl.grpo_qwen.3b_math.8k_0411_1954 - val/test_score/OlympiadBench__MAX"
"232","","","","0.29271916790490343","0.29271916790490343","0.29271916790490343"
"236","","","","0.2912332838038633","0.2912332838038633","0.2912332838038633"
"240","","","","0.28083209509658247","0.28083209509658247","0.28083209509658247"
"244","","","","0.2763744427934621","0.2763744427934621","0.2763744427934621"
"248","","","","0.2852897473997028","0.2852897473997028","0.2852897473997028"
"252","","","","0.2912332838038633","0.2912332838038633","0.2912332838038633"
"256","","","","0.27934621099554235","0.27934621099554235","0.27934621099554235"
"260","","","","0.27786032689450224","0.27786032689450224","0.27786032689450224"
"264","","","","0.28083209509658247","0.28083209509658247","0.28083209509658247"
"268","","","","0.27786032689450224","0.27786032689450224","0.27786032689450224"
"272","","","","0.2659732540861813","0.2659732540861813","0.2659732540861813"
"276","","","","0.28083209509658247","0.28083209509658247","0.28083209509658247"
"280","","","","0.2867756315007429","0.2867756315007429","0.2867756315007429"
"284","","","","0.28826151560178304","0.28826151560178304","0.28826151560178304"
"288","","","","0.2852897473997028","0.2852897473997028","0.2852897473997028"
"292","","","","0.2867756315007429","0.2867756315007429","0.2867756315007429"
"296","","","","0.2971768202080238","0.2971768202080238","0.2971768202080238"
"300","","","","0.2912332838038633","0.2912332838038633","0.2912332838038633"
