"Step","rl.grpo_llama.3b_math.8k_0411_2024 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_math.8k_0411_2024 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_math.8k_0411_2024 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_qwen.3b_math.8k_0411_1954 - val_response_length/test_length_correct/GSM8k","rl.grpo_qwen.3b_math.8k_0411_1954 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_qwen.3b_math.8k_0411_1954 - val_response_length/test_length_correct/GSM8k__MAX"
"228","","","","297.6857394366197","297.6857394366197","297.6857394366197"
"232","","","","297.42480211081795","297.42480211081795","297.42480211081795"
"236","","","","298.87156775907886","298.87156775907886","298.87156775907886"
"240","","","","298.7195767195767","298.7195767195767","298.7195767195767"
"244","","","","299.10132158590307","299.10132158590307","299.10132158590307"
"248","","","","300.0671378091873","300.0671378091873","300.0671378091873"
"252","","","","302.4125441696113","302.4125441696113","302.4125441696113"
"256","","","","303.9366754617414","303.9366754617414","303.9366754617414"
"260","","","","303.6339522546419","303.6339522546419","303.6339522546419"
"264","","","","302.8956140350877","302.8956140350877","302.8956140350877"
"268","","","","302.154593639576","302.154593639576","302.154593639576"
"272","","","","301.75744308231174","301.75744308231174","301.75744308231174"
"276","","","","302.0646017699115","302.0646017699115","302.0646017699115"
"280","","","","302.01940035273367","302.01940035273367","302.01940035273367"
"284","","","","305.85309734513277","305.85309734513277","305.85309734513277"
"288","","","","306.0248226950355","306.0248226950355","306.0248226950355"
"292","","","","308.50308914386585","308.50308914386585","308.50308914386585"
"296","","","","307.69592198581563","307.69592198581563","307.69592198581563"
"300","","","","307.6465899025686","307.6465899025686","307.6465899025686"
