"Step","rl.grpo_llama.3b_math.8k_0411_2024 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_math.8k_0411_2024 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_math.8k_0411_2024 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_qwen.3b_math.8k_0411_1954 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_qwen.3b_math.8k_0411_1954 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_qwen.3b_math.8k_0411_1954 - val_response_length/test_length_correct/OlympiadBench__MAX"
"200","3888.1794871794873","3888.1794871794873","3888.1794871794873","678.9947916666666","678.9947916666666","678.9947916666666"
"204","3994.725","3994.725","3994.725","660.3439153439153","660.3439153439153","660.3439153439153"
"208","3903.1190476190477","3903.1190476190477","3903.1190476190477","676.8378378378378","676.8378378378378","676.8378378378378"
"212","4000.953488372093","4000.953488372093","4000.953488372093","734.4777777777778","734.4777777777778","734.4777777777778"
"216","4005.309523809524","4005.309523809524","4005.309523809524","682.6910112359551","682.6910112359551","682.6910112359551"
"220","3804.829268292683","3804.829268292683","3804.829268292683","664.8547486033519","664.8547486033519","664.8547486033519"
"224","3999.609756097561","3999.609756097561","3999.609756097561","708.2352941176471","708.2352941176471","708.2352941176471"
"228","","","","641.6368715083798","641.6368715083798","641.6368715083798"
"232","","","","669.5685279187817","669.5685279187817","669.5685279187817"
"236","","","","661.8622448979592","661.8622448979592","661.8622448979592"
"240","","","","659.2328042328043","659.2328042328043","659.2328042328043"
"244","","","","654.7311827956989","654.7311827956989","654.7311827956989"
"248","","","","667.9947916666666","667.9947916666666","667.9947916666666"
"252","","","","694.4387755102041","694.4387755102041","694.4387755102041"
"256","","","","671.5372340425532","671.5372340425532","671.5372340425532"
"260","","","","657.8930481283422","657.8930481283422","657.8930481283422"
"264","","","","668.957671957672","668.957671957672","668.957671957672"
"268","","","","639.6417112299465","639.6417112299465","639.6417112299465"
"272","","","","682.0446927374302","682.0446927374302","682.0446927374302"
"276","","","","691.6560846560847","691.6560846560847","691.6560846560847"
"280","","","","696.6683937823834","696.6683937823834","696.6683937823834"
"284","","","","688.8350515463917","688.8350515463917","688.8350515463917"
"288","","","","680.3541666666666","680.3541666666666","680.3541666666666"
"292","","","","713.5025906735751","713.5025906735751","713.5025906735751"
"296","","","","694.91","694.91","694.91"
"300","","","","673.219387755102","673.219387755102","673.219387755102"
