"Step","rl.grpo_llama.3b_math.8k_0411_2024 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_math.8k_0411_2024 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_math.8k_0411_2024 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_qwen.3b_math.8k_0411_1954 - val_response_length/test_length_correct/MATH500","rl.grpo_qwen.3b_math.8k_0411_1954 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_qwen.3b_math.8k_0411_1954 - val_response_length/test_length_correct/MATH500__MAX"
"80","969.7948717948718","969.7948717948718","969.7948717948718","462.53846153846155","462.53846153846155","462.53846153846155"
"84","1174.75","1174.75","1174.75","468.33118971061094","468.33118971061094","468.33118971061094"
"88","1208.6904761904761","1208.6904761904761","1208.6904761904761","474.97791798107255","474.97791798107255","474.97791798107255"
"92","2144.3023255813955","2144.3023255813955","2144.3023255813955","477.0496894409938","477.0496894409938","477.0496894409938"
"96","2868.8809523809523","2868.8809523809523","2868.8809523809523","487.35714285714283","487.35714285714283","487.35714285714283"
"100","2898.5813953488373","2898.5813953488373","2898.5813953488373","476.14953271028037","476.14953271028037","476.14953271028037"
"104","3096.3636363636365","3096.3636363636365","3096.3636363636365","486.896875","486.896875","486.896875"
"108","3025.878048780488","3025.878048780488","3025.878048780488","472.241935483871","472.241935483871","472.241935483871"
"112","3063.953488372093","3063.953488372093","3063.953488372093","493.12302839116717","493.12302839116717","493.12302839116717"
"116","3362.068181818182","3362.068181818182","3362.068181818182","484.19135802469134","484.19135802469134","484.19135802469134"
"120","3488.1","3488.1","3488.1","492.93457943925233","492.93457943925233","492.93457943925233"
"124","3273.4615384615386","3273.4615384615386","3273.4615384615386","474.76848874598073","474.76848874598073","474.76848874598073"
"128","3310.3658536585367","3310.3658536585367","3310.3658536585367","473.5968253968254","473.5968253968254","473.5968253968254"
"132","3502.5365853658536","3502.5365853658536","3502.5365853658536","465.37942122186496","465.37942122186496","465.37942122186496"
"136","3103.222222222222","3103.222222222222","3103.222222222222","485.67391304347825","485.67391304347825","485.67391304347825"
"140","3778.1627906976746","3778.1627906976746","3778.1627906976746","471.031746031746","471.031746031746","471.031746031746"
"144","3827.9555555555557","3827.9555555555557","3827.9555555555557","470.68387096774194","470.68387096774194","470.68387096774194"
"148","3667.3617021276596","3667.3617021276596","3667.3617021276596","471.52258064516127","471.52258064516127","471.52258064516127"
"152","3817.3541666666665","3817.3541666666665","3817.3541666666665","484.4908536585366","484.4908536585366","484.4908536585366"
"156","3851.9583333333335","3851.9583333333335","3851.9583333333335","479.7704402515723","479.7704402515723","479.7704402515723"
"160","3927.875","3927.875","3927.875","478.31067961165047","478.31067961165047","478.31067961165047"
"164","4096","4096","4096","463.7255520504732","463.7255520504732","463.7255520504732"
"168","4096","4096","4096","481.3217665615142","481.3217665615142","481.3217665615142"
"172","4096","4096","4096","480.325","480.325","480.325"
"176","4010.531914893617","4010.531914893617","4010.531914893617","463.71844660194176","463.71844660194176","463.71844660194176"
"180","4005.688888888889","4005.688888888889","4005.688888888889","477.59935897435895","477.59935897435895","477.59935897435895"
"184","4096","4096","4096","476.94249201277955","476.94249201277955","476.94249201277955"
"188","4096","4096","4096","472.98397435897436","472.98397435897436","472.98397435897436"
"192","3922.133333333333","3922.133333333333","3922.133333333333","473.1460317460317","473.1460317460317","473.1460317460317"
"196","3673.6666666666665","3673.6666666666665","3673.6666666666665","469.13880126182966","469.13880126182966","469.13880126182966"
"200","3704.3","3704.3","3704.3","474.63578274760386","474.63578274760386","474.63578274760386"
"204","3690.76","3690.76","3690.76","486.69113149847095","486.69113149847095","486.69113149847095"
"208","3422.375","3422.375","3422.375","470.2070063694268","470.2070063694268","470.2070063694268"
"212","3757.75","3757.75","3757.75","466.90822784810126","466.90822784810126","466.90822784810126"
"216","3598.0408163265306","3598.0408163265306","3598.0408163265306","474.38216560509557","474.38216560509557","474.38216560509557"
"220","3616.9411764705883","3616.9411764705883","3616.9411764705883","471.7805642633229","471.7805642633229","471.7805642633229"
"224","3757.3333333333335","3757.3333333333335","3757.3333333333335","474.1894409937888","474.1894409937888","474.1894409937888"
"228","","","","481.97297297297297","481.97297297297297","481.97297297297297"
"232","","","","476","476","476"
"236","","","","461.03374233128835","461.03374233128835","461.03374233128835"
"240","","","","475.3677811550152","475.3677811550152","475.3677811550152"
"244","","","","468.7239263803681","468.7239263803681","468.7239263803681"
"248","","","","479.1246200607903","479.1246200607903","479.1246200607903"
"252","","","","489.25981873111783","489.25981873111783","489.25981873111783"
"256","","","","479.45871559633025","479.45871559633025","479.45871559633025"
"260","","","","490.81155015197567","490.81155015197567","490.81155015197567"
"264","","","","469.20543806646526","469.20543806646526","469.20543806646526"
"268","","","","482.6646706586826","482.6646706586826","482.6646706586826"
"272","","","","489.3916913946588","489.3916913946588","489.3916913946588"
"276","","","","481.69349845201236","481.69349845201236","481.69349845201236"
"280","","","","490.3734939759036","490.3734939759036","490.3734939759036"
"284","","","","482.39817629179333","482.39817629179333","482.39817629179333"
"288","","","","484.73765432098764","484.73765432098764","484.73765432098764"
"292","","","","496.6222910216718","496.6222910216718","496.6222910216718"
"296","","","","490.3614457831325","490.3614457831325","490.3614457831325"
"300","","","","500.2656716417911","500.2656716417911","500.2656716417911"
