"Step","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/OlympiadBench","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val/test_score/OlympiadBench","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val/test_score/OlympiadBench","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val/test_score/OlympiadBench__MAX"
"88","0.09955423476968796","0.09955423476968796","0.09955423476968796","0.08915304606240713","0.08915304606240713","0.08915304606240713","0.06686478454680535","0.06686478454680535","0.06686478454680535"
"92","0.09955423476968796","0.09955423476968796","0.09955423476968796","0.10401188707280833","0.10401188707280833","0.10401188707280833","0.06835066864784546","0.06835066864784546","0.06835066864784546"
"96","0.0950965824665676","0.0950965824665676","0.0950965824665676","0.09063893016344725","0.09063893016344725","0.09063893016344725","0.06983655274888559","0.06983655274888559","0.06983655274888559"
"100","0.09658246656760773","0.09658246656760773","0.09658246656760773","0.07578008915304606","0.07578008915304606","0.07578008915304606","0.06835066864784546","0.06835066864784546","0.06835066864784546"
"104","0.11144130757800892","0.11144130757800892","0.11144130757800892","0.10401188707280833","0.10401188707280833","0.10401188707280833","0.06240713224368499","0.06240713224368499","0.06240713224368499"
"108","0.10104011887072809","0.10104011887072809","0.10104011887072809","0.10698365527488855","0.10698365527488855","0.10698365527488855","0.06537890044576523","0.06537890044576523","0.06537890044576523"
"112","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.1025260029717682","0.1025260029717682","0.1025260029717682","0.06240713224368499","0.06240713224368499","0.06240713224368499"
"116","0.11144130757800892","0.11144130757800892","0.11144130757800892","0.10846953937592868","0.10846953937592868","0.10846953937592868","0.06835066864784546","0.06835066864784546","0.06835066864784546"
"120","0.11292719167904904","0.11292719167904904","0.11292719167904904","0.09806835066864784","0.09806835066864784","0.09806835066864784","0.06537890044576523","0.06537890044576523","0.06537890044576523"
"124","0.11589895988112928","0.11589895988112928","0.11589895988112928","0.1263001485884101","0.1263001485884101","0.1263001485884101","0.06537890044576523","0.06537890044576523","0.06537890044576523"
"128","0.10846953937592868","0.10846953937592868","0.10846953937592868","0.11738484398216939","0.11738484398216939","0.11738484398216939","0.06240713224368499","0.06240713224368499","0.06240713224368499"
"132","0.10401188707280833","0.10401188707280833","0.10401188707280833","0.11144130757800892","0.11144130757800892","0.11144130757800892","0.06092124814264487","0.06092124814264487","0.06092124814264487"
"136","0.10401188707280833","0.10401188707280833","0.10401188707280833","0.1099554234769688","0.1099554234769688","0.1099554234769688","0.05943536404160475","0.05943536404160475","0.05943536404160475"
"140","0.10401188707280833","0.10401188707280833","0.10401188707280833","0.11738484398216939","0.11738484398216939","0.11738484398216939","0.05349182763744428","0.05349182763744428","0.05349182763744428"
"144","0.09212481426448738","0.09212481426448738","0.09212481426448738","0.1263001485884101","0.1263001485884101","0.1263001485884101","0.06092124814264487","0.06092124814264487","0.06092124814264487"
"148","0.1099554234769688","0.1099554234769688","0.1099554234769688","0.12184249628528974","0.12184249628528974","0.12184249628528974","0.06537890044576523","0.06537890044576523","0.06537890044576523"
"152","0.09212481426448738","0.09212481426448738","0.09212481426448738","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.0638930163447251","0.0638930163447251","0.0638930163447251"
"156","0.10698365527488855","0.10698365527488855","0.10698365527488855","0.1025260029717682","0.1025260029717682","0.1025260029717682","0.06983655274888559","0.06983655274888559","0.06983655274888559"
"160","0.09658246656760773","0.09658246656760773","0.09658246656760773","0.11292719167904904","0.11292719167904904","0.11292719167904904","0.06537890044576523","0.06537890044576523","0.06537890044576523"
"164","0.10104011887072809","0.10104011887072809","0.10104011887072809","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.05794947994056464","0.05794947994056464","0.05794947994056464"
"168","0.12035661218424963","0.12035661218424963","0.12035661218424963","0.10401188707280833","0.10401188707280833","0.10401188707280833","0.06240713224368499","0.06240713224368499","0.06240713224368499"
"172","0.1099554234769688","0.1099554234769688","0.1099554234769688","0.10401188707280833","0.10401188707280833","0.10401188707280833","0.0638930163447251","0.0638930163447251","0.0638930163447251"
"176","0.12184249628528974","0.12184249628528974","0.12184249628528974","0.1099554234769688","0.1099554234769688","0.1099554234769688","0.06092124814264487","0.06092124814264487","0.06092124814264487"
"180","0.11292719167904904","0.11292719167904904","0.11292719167904904","0.09955423476968796","0.09955423476968796","0.09955423476968796","0.05646359583952452","0.05646359583952452","0.05646359583952452"
"184","0.12332838038632987","0.12332838038632987","0.12332838038632987","0.10846953937592868","0.10846953937592868","0.10846953937592868","0.04457652303120357","0.04457652303120357","0.04457652303120357"
"188","0.10401188707280833","0.10401188707280833","0.10401188707280833","0.10698365527488855","0.10698365527488855","0.10698365527488855","0.04606240713224369","0.04606240713224369","0.04606240713224369"
"192","0.11738484398216939","0.11738484398216939","0.11738484398216939","0.10549777117384844","0.10549777117384844","0.10549777117384844","0.04903417533432392","0.04903417533432392","0.04903417533432392"
"196","0.1277860326894502","0.1277860326894502","0.1277860326894502","0.10401188707280833","0.10401188707280833","0.10401188707280833","0.05349182763744428","0.05349182763744428","0.05349182763744428"
"200","0.12184249628528974","0.12184249628528974","0.12184249628528974","0.1099554234769688","0.1099554234769688","0.1099554234769688","0.05943536404160475","0.05943536404160475","0.05943536404160475"
"204","0.12332838038632987","0.12332838038632987","0.12332838038632987","0.09955423476968796","0.09955423476968796","0.09955423476968796","0.05943536404160475","0.05943536404160475","0.05943536404160475"
"208","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.10698365527488855","0.10698365527488855","0.10698365527488855","0.05943536404160475","0.05943536404160475","0.05943536404160475"
"212","0.1099554234769688","0.1099554234769688","0.1099554234769688","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.05794947994056464","0.05794947994056464","0.05794947994056464"
"216","0.1188707280832095","0.1188707280832095","0.1188707280832095","0.10698365527488855","0.10698365527488855","0.10698365527488855","0.05646359583952452","0.05646359583952452","0.05646359583952452"
"220","0.11738484398216939","0.11738484398216939","0.11738484398216939","0.1099554234769688","0.1099554234769688","0.1099554234769688","0.05646359583952452","0.05646359583952452","0.05646359583952452"
"224","0.11292719167904904","0.11292719167904904","0.11292719167904904","0.11292719167904904","0.11292719167904904","0.11292719167904904","","",""
"228","0.1188707280832095","0.1188707280832095","0.1188707280832095","0.1025260029717682","0.1025260029717682","0.1025260029717682","","",""
"232","0.11292719167904904","0.11292719167904904","0.11292719167904904","0.1025260029717682","0.1025260029717682","0.1025260029717682","","",""
"236","","","","0.1099554234769688","0.1099554234769688","0.1099554234769688","","",""
"240","","","","0.11144130757800892","0.11144130757800892","0.11144130757800892","","",""
"244","","","","0.10698365527488855","0.10698365527488855","0.10698365527488855","","",""
"248","","","","0.09955423476968796","0.09955423476968796","0.09955423476968796","","",""
"252","","","","0.1025260029717682","0.1025260029717682","0.1025260029717682","","",""
"256","","","","0.11292719167904904","0.11292719167904904","0.11292719167904904","","",""
"260","","","","0.11292719167904904","0.11292719167904904","0.11292719167904904","","",""
