"Step","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val_response_length/test_length_correct/MATH500__MAX"
"120","510.485549132948","510.485549132948","510.485549132948","485.84567901234567","485.84567901234567","485.84567901234567","4041.608108108108","4041.608108108108","4041.608108108108"
"124","470.69767441860466","470.69767441860466","470.69767441860466","529.4375","529.4375","529.4375","4096","4096","4096"
"128","505.73809523809524","505.73809523809524","505.73809523809524","521.6711409395973","521.6711409395973","521.6711409395973","4096","4096","4096"
"132","612.7514450867052","612.7514450867052","612.7514450867052","514.503355704698","514.503355704698","514.503355704698","3984.718309859155","3984.718309859155","3984.718309859155"
"136","523.361963190184","523.361963190184","523.361963190184","540.4753086419753","540.4753086419753","540.4753086419753","4042.4210526315787","4042.4210526315787","4042.4210526315787"
"140","499.1528662420382","499.1528662420382","499.1528662420382","577.5964912280701","577.5964912280701","577.5964912280701","3985.945945945946","3985.945945945946","3985.945945945946"
"144","630.1411764705882","630.1411764705882","630.1411764705882","560.7041420118343","560.7041420118343","560.7041420118343","4036.985507246377","4036.985507246377","4036.985507246377"
"148","566.1479289940828","566.1479289940828","566.1479289940828","582.5325443786983","582.5325443786983","582.5325443786983","4039.4444444444443","4039.4444444444443","4039.4444444444443"
"152","590.1453488372093","590.1453488372093","590.1453488372093","582.7643312101911","582.7643312101911","582.7643312101911","4096","4096","4096"
"156","653.8304093567251","653.8304093567251","653.8304093567251","558.4846625766871","558.4846625766871","558.4846625766871","4096","4096","4096"
"160","593.5232558139535","593.5232558139535","593.5232558139535","510.111801242236","510.111801242236","510.111801242236","4096","4096","4096"
"164","628.7277777777778","628.7277777777778","628.7277777777778","512.339393939394","512.339393939394","512.339393939394","4096","4096","4096"
"168","563.8258426966293","563.8258426966293","563.8258426966293","524.3170731707318","524.3170731707318","524.3170731707318","4096","4096","4096"
"172","691.2178770949721","691.2178770949721","691.2178770949721","558.0930232558139","558.0930232558139","558.0930232558139","4096","4096","4096"
"176","700.3428571428572","700.3428571428572","700.3428571428572","616.3090909090909","616.3090909090909","616.3090909090909","4096","4096","4096"
"180","572.723163841808","572.723163841808","572.723163841808","605.7080745341615","605.7080745341615","605.7080745341615","4096","4096","4096"
"184","540.7058823529412","540.7058823529412","540.7058823529412","517.54375","517.54375","517.54375","4096","4096","4096"
"188","618.6864864864865","618.6864864864865","618.6864864864865","556.5163398692811","556.5163398692811","556.5163398692811","4096","4096","4096"
"192","614.0451977401129","614.0451977401129","614.0451977401129","585.5695364238411","585.5695364238411","585.5695364238411","4096","4096","4096"
"196","609.1284916201117","609.1284916201117","609.1284916201117","589.968152866242","589.968152866242","589.968152866242","4096","4096","4096"
"200","666.9613259668508","666.9613259668508","666.9613259668508","565.174193548387","565.174193548387","565.174193548387","4096","4096","4096"
"204","601.5","601.5","601.5","595.6770186335403","595.6770186335403","595.6770186335403","4096","4096","4096"
"208","618.5280898876405","618.5280898876405","618.5280898876405","556.2830188679245","556.2830188679245","556.2830188679245","4096","4096","4096"
"212","634.9385474860335","634.9385474860335","634.9385474860335","569.5089820359282","569.5089820359282","569.5089820359282","4096","4096","4096"
"216","673.1684782608696","673.1684782608696","673.1684782608696","571.006329113924","571.006329113924","571.006329113924","4096","4096","4096"
"220","659.2241379310345","659.2241379310345","659.2241379310345","531.1801242236024","531.1801242236024","531.1801242236024","4096","4096","4096"
"224","691.4342857142857","691.4342857142857","691.4342857142857","616.6342857142857","616.6342857142857","616.6342857142857","","",""
"228","640.1676300578034","640.1676300578034","640.1676300578034","584.9243243243243","584.9243243243243","584.9243243243243","","",""
"232","671.8251366120219","671.8251366120219","671.8251366120219","524.0121951219512","524.0121951219512","524.0121951219512","","",""
"236","","","","572.9512195121952","572.9512195121952","572.9512195121952","","",""
"240","","","","597.1183431952662","597.1183431952662","597.1183431952662","","",""
"244","","","","606.2857142857143","606.2857142857143","606.2857142857143","","",""
"248","","","","590.320987654321","590.320987654321","590.320987654321","","",""
"252","","","","590.5403726708074","590.5403726708074","590.5403726708074","","",""
"256","","","","590.1609195402299","590.1609195402299","590.1609195402299","","",""
"260","","","","611.4716981132076","611.4716981132076","611.4716981132076","","",""
