"Step","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val_response_length/test_length_correct/GSM8k__MAX"
"172","271.25730337078653","271.25730337078653","271.25730337078653","349.096511627907","349.096511627907","349.096511627907","4096","4096","4096"
"176","278.24724061810156","278.24724061810156","278.24724061810156","357.68312284730195","357.68312284730195","357.68312284730195","4096","4096","4096"
"180","270.49721293199553","270.49721293199553","270.49721293199553","372.94514285714286","372.94514285714286","372.94514285714286","4096","4096","4096"
"184","281.9863325740319","281.9863325740319","281.9863325740319","373.2417707150965","373.2417707150965","373.2417707150965","4096","4096","4096"
"188","268.1465909090909","268.1465909090909","268.1465909090909","386.82466063348414","386.82466063348414","386.82466063348414","4096","4096","4096"
"192","287.76168757126567","287.76168757126567","287.76168757126567","406.8314732142857","406.8314732142857","406.8314732142857","4096","4096","4096"
"196","284.2312072892939","284.2312072892939","284.2312072892939","412.7155756207675","412.7155756207675","412.7155756207675","4096","4096","4096"
"200","266.35600907029476","266.35600907029476","266.35600907029476","404.9429530201342","404.9429530201342","404.9429530201342","4096","4096","4096"
"204","293.76801801801804","293.76801801801804","293.76801801801804","394.87902330743617","394.87902330743617","394.87902330743617","4096","4096","4096"
"208","289.93333333333334","289.93333333333334","289.93333333333334","405.87705817782654","405.87705817782654","405.87705817782654","4096","4096","4096"
"212","301.24888392857144","301.24888392857144","301.24888392857144","409.95364238410593","409.95364238410593","409.95364238410593","4096","4096","4096"
"216","291.52457142857145","291.52457142857145","291.52457142857145","406.9352360043908","406.9352360043908","406.9352360043908","4096","4096","4096"
"220","278.75654152445964","278.75654152445964","278.75654152445964","392.8798665183537","392.8798665183537","392.8798665183537","4096","4096","4096"
"224","295.7646408839779","295.7646408839779","295.7646408839779","392.10099889012207","392.10099889012207","392.10099889012207","","",""
"228","300.88035126234905","300.88035126234905","300.88035126234905","384.14945054945053","384.14945054945053","384.14945054945053","","",""
"232","314.1742006615215","314.1742006615215","314.1742006615215","389.06637649619154","389.06637649619154","389.06637649619154","","",""
"236","","","","392.10151187904967","392.10151187904967","392.10151187904967","","",""
"240","","","","393.5496183206107","393.5496183206107","393.5496183206107","","",""
"244","","","","401.83938393839384","401.83938393839384","401.83938393839384","","",""
"248","","","","398.7953795379538","398.7953795379538","398.7953795379538","","",""
"252","","","","393.31991294885745","393.31991294885745","393.31991294885745","","",""
"256","","","","390.2591397849462","390.2591397849462","390.2591397849462","","",""
"260","","","","383.4812030075188","383.4812030075188","383.4812030075188","","",""
