"Step","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val/test_score/GSM8k__MAX"
"156","0.6724791508718726","0.6724791508718726","0.6724791508718726","0.6550416982562547","0.6550416982562547","0.6550416982562547","0.12509476876421532","0.12509476876421532","0.12509476876421532"
"160","0.6808188021228203","0.6808188021228203","0.6808188021228203","0.6702047005307051","0.6702047005307051","0.6702047005307051","0.13115996967399546","0.13115996967399546","0.13115996967399546"
"164","0.6648976497346475","0.6648976497346475","0.6648976497346475","0.6709628506444276","0.6709628506444276","0.6709628506444276","0.11372251705837756","0.11372251705837756","0.11372251705837756"
"168","0.6770280515542078","0.6770280515542078","0.6770280515542078","0.6702047005307051","0.6702047005307051","0.6702047005307051","0.1197877179681577","0.1197877179681577","0.1197877179681577"
"172","0.6747536012130402","0.6747536012130402","0.6747536012130402","0.6520090978013646","0.6520090978013646","0.6520090978013646","0.11448066717210008","0.11448066717210008","0.11448066717210008"
"176","0.6868840030326004","0.6868840030326004","0.6868840030326004","0.6603487490523123","0.6603487490523123","0.6603487490523123","0.11220621683093253","0.11220621683093253","0.11220621683093253"
"180","0.6800606520090978","0.6800606520090978","0.6800606520090978","0.6633813495072024","0.6633813495072024","0.6633813495072024","0.10386656557998483","0.10386656557998483","0.10386656557998483"
"184","0.66565579984837","0.66565579984837","0.66565579984837","0.6679302501895376","0.6679302501895376","0.6679302501895376","0.1023502653525398","0.1023502653525398","0.1023502653525398"
"188","0.6671721000758151","0.6671721000758151","0.6671721000758151","0.6702047005307051","0.6702047005307051","0.6702047005307051","0.10386656557998483","0.10386656557998483","0.10386656557998483"
"192","0.6648976497346475","0.6648976497346475","0.6648976497346475","0.6793025018953753","0.6793025018953753","0.6793025018953753","0.10007581501137225","0.10007581501137225","0.10007581501137225"
"196","0.66565579984837","0.66565579984837","0.66565579984837","0.6717210007581501","0.6717210007581501","0.6717210007581501","0.10083396512509477","0.10083396512509477","0.10083396512509477"
"200","0.66868840030326","0.66868840030326","0.66868840030326","0.6777862016679302","0.6777862016679302","0.6777862016679302","0.10386656557998483","0.10386656557998483","0.10386656557998483"
"204","0.6732373009855952","0.6732373009855952","0.6732373009855952","0.6830932524639879","0.6830932524639879","0.6830932524639879","0.10159211523881728","0.10159211523881728","0.10159211523881728"
"208","0.6709628506444276","0.6709628506444276","0.6709628506444276","0.690674753601213","0.690674753601213","0.690674753601213","0.10538286580742987","0.10538286580742987","0.10538286580742987"
"212","0.6793025018953753","0.6793025018953753","0.6793025018953753","0.6868840030326004","0.6868840030326004","0.6868840030326004","0.10007581501137225","0.10007581501137225","0.10007581501137225"
"216","0.6633813495072024","0.6633813495072024","0.6633813495072024","0.690674753601213","0.690674753601213","0.690674753601213","0.10310841546626232","0.10310841546626232","0.10310841546626232"
"220","0.6664139499620925","0.6664139499620925","0.6664139499620925","0.6815769522365428","0.6815769522365428","0.6815769522365428","0.1023502653525398","0.1023502653525398","0.1023502653525398"
"224","0.686125852918878","0.686125852918878","0.686125852918878","0.6830932524639879","0.6830932524639879","0.6830932524639879","","",""
"228","0.690674753601213","0.690674753601213","0.690674753601213","0.6899166034874905","0.6899166034874905","0.6899166034874905","","",""
"232","0.6876421531463229","0.6876421531463229","0.6876421531463229","0.6967399545109931","0.6967399545109931","0.6967399545109931","","",""
"236","","","","0.7020470053070508","0.7020470053070508","0.7020470053070508","","",""
"240","","","","0.6952236542835482","0.6952236542835482","0.6952236542835482","","",""
"244","","","","0.689158453373768","0.689158453373768","0.689158453373768","","",""
"248","","","","0.689158453373768","0.689158453373768","0.689158453373768","","",""
"252","","","","0.6967399545109931","0.6967399545109931","0.6967399545109931","","",""
"256","","","","0.7050796057619408","0.7050796057619408","0.7050796057619408","","",""
"260","","","","0.7058377558756633","0.7058377558756633","0.7058377558756633","","",""
