"Step","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val/test_score/OlympiadBench","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val/test_score/OlympiadBench","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val/test_score/OlympiadBench","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val/test_score/OlympiadBench__MAX"
"56","0.06835066864784546","0.06835066864784546","0.06835066864784546","0.11738484398216939","0.11738484398216939","0.11738484398216939","0.0861812778603269","0.0861812778603269","0.0861812778603269"
"60","0.06835066864784546","0.06835066864784546","0.06835066864784546","0.12481426448736999","0.12481426448736999","0.12481426448736999","0.10846953937592868","0.10846953937592868","0.10846953937592868"
"64","0.06686478454680535","0.06686478454680535","0.06686478454680535","0.1188707280832095","0.1188707280832095","0.1188707280832095","0.0950965824665676","0.0950965824665676","0.0950965824665676"
"68","0.0787518573551263","0.0787518573551263","0.0787518573551263","0.10698365527488855","0.10698365527488855","0.10698365527488855","0.11292719167904904","0.11292719167904904","0.11292719167904904"
"72","0.08469539375928678","0.08469539375928678","0.08469539375928678","0.12184249628528974","0.12184249628528974","0.12184249628528974","0.11144130757800892","0.11144130757800892","0.11144130757800892"
"76","0.07726597325408618","0.07726597325408618","0.07726597325408618","0.13224368499257058","0.13224368499257058","0.13224368499257058","0.1188707280832095","0.1188707280832095","0.1188707280832095"
"80","0.09361069836552749","0.09361069836552749","0.09361069836552749","0.12184249628528974","0.12184249628528974","0.12184249628528974","0.1277860326894502","0.1277860326894502","0.1277860326894502"
"84","0.08766716196136701","0.08766716196136701","0.08766716196136701","0.12481426448736999","0.12481426448736999","0.12481426448736999","0.11441307578008915","0.11441307578008915","0.11441307578008915"
"88","0.08469539375928678","0.08469539375928678","0.08469539375928678","0.1411589895988113","0.1411589895988113","0.1411589895988113","0.1337295690936107","0.1337295690936107","0.1337295690936107"
"92","0.08172362555720654","0.08172362555720654","0.08172362555720654","0.13967310549777118","0.13967310549777118","0.13967310549777118","0.11589895988112928","0.11589895988112928","0.11589895988112928"
"96","0.08469539375928678","0.08469539375928678","0.08469539375928678","0.13075780089153047","0.13075780089153047","0.13075780089153047","0.12332838038632987","0.12332838038632987","0.12332838038632987"
"100","0.09806835066864784","0.09806835066864784","0.09806835066864784","0.1352154531946508","0.1352154531946508","0.1352154531946508","0.1263001485884101","0.1263001485884101","0.1263001485884101"
"104","0.0950965824665676","0.0950965824665676","0.0950965824665676","0.1263001485884101","0.1263001485884101","0.1263001485884101","0.11738484398216939","0.11738484398216939","0.11738484398216939"
"108","0.08915304606240713","0.08915304606240713","0.08915304606240713","0.1515601783060921","0.1515601783060921","0.1515601783060921","0.1188707280832095","0.1188707280832095","0.1188707280832095"
"112","0.09212481426448738","0.09212481426448738","0.09212481426448738","0.12332838038632987","0.12332838038632987","0.12332838038632987","0.12927191679049035","0.12927191679049035","0.12927191679049035"
"116","0.10549777117384844","0.10549777117384844","0.10549777117384844","0.12927191679049035","0.12927191679049035","0.12927191679049035","0.12927191679049035","0.12927191679049035","0.12927191679049035"
"120","0.10401188707280833","0.10401188707280833","0.10401188707280833","0.12927191679049035","0.12927191679049035","0.12927191679049035","0.1188707280832095","0.1188707280832095","0.1188707280832095"
"124","0.0950965824665676","0.0950965824665676","0.0950965824665676","0.12332838038632987","0.12332838038632987","0.12332838038632987","0.1277860326894502","0.1277860326894502","0.1277860326894502"
"128","0.09361069836552749","0.09361069836552749","0.09361069836552749","0.1352154531946508","0.1352154531946508","0.1352154531946508","0.150074294205052","0.150074294205052","0.150074294205052"
"132","0.10104011887072809","0.10104011887072809","0.10104011887072809","0.11589895988112928","0.11589895988112928","0.11589895988112928","0.13670133729569092","0.13670133729569092","0.13670133729569092"
"136","0.08469539375928678","0.08469539375928678","0.08469539375928678","0.12184249628528974","0.12184249628528974","0.12184249628528974","0.12927191679049035","0.12927191679049035","0.12927191679049035"
"140","0.10104011887072809","0.10104011887072809","0.10104011887072809","0.1277860326894502","0.1277860326894502","0.1277860326894502","0.1277860326894502","0.1277860326894502","0.1277860326894502"
"144","0.10104011887072809","0.10104011887072809","0.10104011887072809","0.1263001485884101","0.1263001485884101","0.1263001485884101","0.1263001485884101","0.1263001485884101","0.1263001485884101"
"148","0.1025260029717682","0.1025260029717682","0.1025260029717682","0.13075780089153047","0.13075780089153047","0.13075780089153047","0.14710252600297177","0.14710252600297177","0.14710252600297177"
"152","0.10698365527488855","0.10698365527488855","0.10698365527488855","0.14561664190193166","0.14561664190193166","0.14561664190193166","0.11589895988112928","0.11589895988112928","0.11589895988112928"
"156","0.1099554234769688","0.1099554234769688","0.1099554234769688","0.1411589895988113","0.1411589895988113","0.1411589895988113","0.12927191679049035","0.12927191679049035","0.12927191679049035"
"160","0.1099554234769688","0.1099554234769688","0.1099554234769688","0.13075780089153047","0.13075780089153047","0.13075780089153047","0.1352154531946508","0.1352154531946508","0.1352154531946508"
"164","0.10846953937592868","0.10846953937592868","0.10846953937592868","0.150074294205052","0.150074294205052","0.150074294205052","0.1277860326894502","0.1277860326894502","0.1277860326894502"
"168","0.11292719167904904","0.11292719167904904","0.11292719167904904","0.13818722139673106","0.13818722139673106","0.13818722139673106","0.13224368499257058","0.13224368499257058","0.13224368499257058"
"172","0.1099554234769688","0.1099554234769688","0.1099554234769688","0.13818722139673106","0.13818722139673106","0.13818722139673106","0.1263001485884101","0.1263001485884101","0.1263001485884101"
"176","0.10549777117384844","0.10549777117384844","0.10549777117384844","0.13670133729569092","0.13670133729569092","0.13670133729569092","0.1263001485884101","0.1263001485884101","0.1263001485884101"
"180","0.11144130757800892","0.11144130757800892","0.11144130757800892","0.14413075780089152","0.14413075780089152","0.14413075780089152","0.11292719167904904","0.11292719167904904","0.11292719167904904"
"184","0.10846953937592868","0.10846953937592868","0.10846953937592868","0.1649331352154532","0.1649331352154532","0.1649331352154532","0.1426448736998514","0.1426448736998514","0.1426448736998514"
"188","0.11738484398216939","0.11738484398216939","0.11738484398216939","0.13075780089153047","0.13075780089153047","0.13075780089153047","0.12184249628528974","0.12184249628528974","0.12184249628528974"
"192","0.10698365527488855","0.10698365527488855","0.10698365527488855","0.15453194650817237","0.15453194650817237","0.15453194650817237","0.12332838038632987","0.12332838038632987","0.12332838038632987"
"196","0.1099554234769688","0.1099554234769688","0.1099554234769688","0.150074294205052","0.150074294205052","0.150074294205052","0.1337295690936107","0.1337295690936107","0.1337295690936107"
"200","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.14710252600297177","0.14710252600297177","0.14710252600297177","0.13075780089153047","0.13075780089153047","0.13075780089153047"
"204","0.09806835066864784","0.09806835066864784","0.09806835066864784","0.15601783060921248","0.15601783060921248","0.15601783060921248","0.12927191679049035","0.12927191679049035","0.12927191679049035"
"208","0.1188707280832095","0.1188707280832095","0.1188707280832095","0.14561664190193166","0.14561664190193166","0.14561664190193166","0.13818722139673106","0.13818722139673106","0.13818722139673106"
"212","0.1188707280832095","0.1188707280832095","0.1188707280832095","","","","0.12184249628528974","0.12184249628528974","0.12184249628528974"
"216","0.11441307578008915","0.11441307578008915","0.11441307578008915","","","","0.11589895988112928","0.11589895988112928","0.11589895988112928"
"220","0.10549777117384844","0.10549777117384844","0.10549777117384844","","","","0.1188707280832095","0.1188707280832095","0.1188707280832095"
"224","0.10549777117384844","0.10549777117384844","0.10549777117384844","","","","0.11144130757800892","0.11144130757800892","0.11144130757800892"
"228","0.10549777117384844","0.10549777117384844","0.10549777117384844","","","","0.1188707280832095","0.1188707280832095","0.1188707280832095"
"232","0.11589895988112928","0.11589895988112928","0.11589895988112928","","","","","",""
"236","0.11441307578008915","0.11441307578008915","0.11441307578008915","","","","","",""
"240","0.10698365527488855","0.10698365527488855","0.10698365527488855","","","","","",""
"244","0.11292719167904904","0.11292719167904904","0.11292719167904904","","","","","",""
"248","0.1099554234769688","0.1099554234769688","0.1099554234769688","","","","","",""
"252","0.12927191679049035","0.12927191679049035","0.12927191679049035","","","","","",""
"256","0.10549777117384844","0.10549777117384844","0.10549777117384844","","","","","",""
"260","0.11441307578008915","0.11441307578008915","0.11441307578008915","","","","","",""
"264","0.12332838038632987","0.12332838038632987","0.12332838038632987","","","","","",""
"268","0.11292719167904904","0.11292719167904904","0.11292719167904904","","","","","",""
"272","0.11589895988112928","0.11589895988112928","0.11589895988112928","","","","","",""
"276","0.1099554234769688","0.1099554234769688","0.1099554234769688","","","","","",""
