"Step","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val/test_score/GSM8k__MAX"
"148","0.6467020470053071","0.6467020470053071","0.6467020470053071","0.7073540561031084","0.7073540561031084","0.7073540561031084","0.6937073540561031","0.6937073540561031","0.6937073540561031"
"152","0.6353297952994693","0.6353297952994693","0.6353297952994693","0.7035633055344959","0.7035633055344959","0.7035633055344959","0.689158453373768","0.689158453373768","0.689158453373768"
"156","0.6467020470053071","0.6467020470053071","0.6467020470053071","0.6974981046247157","0.6974981046247157","0.6974981046247157","0.690674753601213","0.690674753601213","0.690674753601213"
"160","0.6520090978013646","0.6520090978013646","0.6520090978013646","0.7043214556482184","0.7043214556482184","0.7043214556482184","0.6732373009855952","0.6732373009855952","0.6732373009855952"
"164","0.6474601971190296","0.6474601971190296","0.6474601971190296","0.6982562547384382","0.6982562547384382","0.6982562547384382","0.6808188021228203","0.6808188021228203","0.6808188021228203"
"168","0.6497346474601972","0.6497346474601972","0.6497346474601972","0.6914329037149356","0.6914329037149356","0.6914329037149356","0.6770280515542078","0.6770280515542078","0.6770280515542078"
"172","0.6482183472327521","0.6482183472327521","0.6482183472327521","0.6959818043972706","0.6959818043972706","0.6959818043972706","0.6808188021228203","0.6808188021228203","0.6808188021228203"
"176","0.6535253980288097","0.6535253980288097","0.6535253980288097","0.6944655041698257","0.6944655041698257","0.6944655041698257","0.6815769522365428","0.6815769522365428","0.6815769522365428"
"180","0.6580742987111448","0.6580742987111448","0.6580742987111448","0.7134192570128886","0.7134192570128886","0.7134192570128886","0.6914329037149356","0.6914329037149356","0.6914329037149356"
"184","0.6611068991660348","0.6611068991660348","0.6611068991660348","0.7020470053070508","0.7020470053070508","0.7020470053070508","0.6800606520090978","0.6800606520090978","0.6800606520090978"
"188","0.6588324488248674","0.6588324488248674","0.6588324488248674","0.7043214556482184","0.7043214556482184","0.7043214556482184","0.6793025018953753","0.6793025018953753","0.6793025018953753"
"192","0.6664139499620925","0.6664139499620925","0.6664139499620925","0.6929492039423806","0.6929492039423806","0.6929492039423806","0.6717210007581501","0.6717210007581501","0.6717210007581501"
"196","0.6595905989385898","0.6595905989385898","0.6595905989385898","0.7217589082638363","0.7217589082638363","0.7217589082638363","0.6815769522365428","0.6815769522365428","0.6815769522365428"
"200","0.6580742987111448","0.6580742987111448","0.6580742987111448","0.7012888551933283","0.7012888551933283","0.7012888551933283","0.6702047005307051","0.6702047005307051","0.6702047005307051"
"204","0.6489764973464746","0.6489764973464746","0.6489764973464746","0.7058377558756633","0.7058377558756633","0.7058377558756633","0.6755117513267627","0.6755117513267627","0.6755117513267627"
"208","0.6504927975739196","0.6504927975739196","0.6504927975739196","0.6982562547384382","0.6982562547384382","0.6982562547384382","0.6709628506444276","0.6709628506444276","0.6709628506444276"
"212","0.6595905989385898","0.6595905989385898","0.6595905989385898","","","","0.6777862016679302","0.6777862016679302","0.6777862016679302"
"216","0.6641394996209249","0.6641394996209249","0.6641394996209249","","","","0.6808188021228203","0.6808188021228203","0.6808188021228203"
"220","0.6679302501895376","0.6679302501895376","0.6679302501895376","","","","0.6952236542835482","0.6952236542835482","0.6952236542835482"
"224","0.6679302501895376","0.6679302501895376","0.6679302501895376","","","","0.6884003032600455","0.6884003032600455","0.6884003032600455"
"228","0.6679302501895376","0.6679302501895376","0.6679302501895376","","","","0.689158453373768","0.689158453373768","0.689158453373768"
"232","0.6641394996209249","0.6641394996209249","0.6641394996209249","","","","","",""
"236","0.6694465504169825","0.6694465504169825","0.6694465504169825","","","","","",""
"240","0.6648976497346475","0.6648976497346475","0.6648976497346475","","","","","",""
"244","0.6595905989385898","0.6595905989385898","0.6595905989385898","","","","","",""
"248","0.6664139499620925","0.6664139499620925","0.6664139499620925","","","","","",""
"252","0.6793025018953753","0.6793025018953753","0.6793025018953753","","","","","",""
"256","0.6739954510993177","0.6739954510993177","0.6739954510993177","","","","","",""
"260","0.6671721000758151","0.6671721000758151","0.6671721000758151","","","","","",""
"264","0.66868840030326","0.66868840030326","0.66868840030326","","","","","",""
"268","0.6694465504169825","0.6694465504169825","0.6694465504169825","","","","","",""
"272","0.6641394996209249","0.6641394996209249","0.6641394996209249","","","","","",""
"276","0.66868840030326","0.66868840030326","0.66868840030326","","","","","",""
