"Step","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/MATH500__MAX"
"72","0.542","0.542","0.542","0.502","0.502","0.502","0.48","0.48","0.48","0.514","0.514","0.514"
"76","0.526","0.526","0.526","0.502","0.502","0.502","0.5","0.5","0.5","0.524","0.524","0.524"
"80","0.552","0.552","0.552","0.5","0.5","0.5","0.506","0.506","0.506","0.534","0.534","0.534"
"84","0.542","0.542","0.542","0.504","0.504","0.504","0.494","0.494","0.494","0.512","0.512","0.512"
"88","0.544","0.544","0.544","0.514","0.514","0.514","0.492","0.492","0.492","0.534","0.534","0.534"
"92","0.53","0.53","0.53","0.514","0.514","0.514","0.464","0.464","0.464","0.524","0.524","0.524"
"96","0.55","0.55","0.55","0.526","0.526","0.526","0.484","0.484","0.484","0.5","0.5","0.5"
"100","0.55","0.55","0.55","0.532","0.532","0.532","0.498","0.498","0.498","0.51","0.51","0.51"
"104","0.536","0.536","0.536","0.52","0.52","0.52","0.488","0.488","0.488","0.494","0.494","0.494"
"108","0.544","0.544","0.544","0.526","0.526","0.526","0.494","0.494","0.494","0.516","0.516","0.516"
"112","0.53","0.53","0.53","0.512","0.512","0.512","0.488","0.488","0.488","0.532","0.532","0.532"
"116","0.552","0.552","0.552","0.524","0.524","0.524","0.51","0.51","0.51","0.522","0.522","0.522"
"120","0.542","0.542","0.542","0.564","0.564","0.564","0.488","0.488","0.488","0.524","0.524","0.524"
"124","0.54","0.54","0.54","0.546","0.546","0.546","0.492","0.492","0.492","0.526","0.526","0.526"
"128","0.544","0.544","0.544","0.552","0.552","0.552","0.47","0.47","0.47","0.496","0.496","0.496"
"132","0.546","0.546","0.546","0.538","0.538","0.538","0.476","0.476","0.476","0.508","0.508","0.508"
"136","0.556","0.556","0.556","0.544","0.544","0.544","0.476","0.476","0.476","0.51","0.51","0.51"
"140","0.552","0.552","0.552","0.556","0.556","0.556","0.472","0.472","0.472","0.494","0.494","0.494"
"144","0.548","0.548","0.548","0.516","0.516","0.516","0.502","0.502","0.502","0.508","0.508","0.508"
"148","0.552","0.552","0.552","0.534","0.534","0.534","0.452","0.452","0.452","0.514","0.514","0.514"
"152","0.564","0.564","0.564","0.546","0.546","0.546","0.472","0.472","0.472","0.514","0.514","0.514"
"156","0.552","0.552","0.552","0.554","0.554","0.554","0.476","0.476","0.476","0.536","0.536","0.536"
"160","0.546","0.546","0.546","0.552","0.552","0.552","0.488","0.488","0.488","0.526","0.526","0.526"
"164","0.572","0.572","0.572","0.522","0.522","0.522","0.496","0.496","0.496","0.52","0.52","0.52"
"168","0.558","0.558","0.558","0.524","0.524","0.524","0.492","0.492","0.492","0.534","0.534","0.534"
"172","0.56","0.56","0.56","0.534","0.534","0.534","0.508","0.508","0.508","0.524","0.524","0.524"
"176","0.546","0.546","0.546","0.54","0.54","0.54","0.49","0.49","0.49","0.536","0.536","0.536"
"180","0.564","0.564","0.564","0.536","0.536","0.536","0.488","0.488","0.488","0.528","0.528","0.528"
"184","0.548","0.548","0.548","0.542","0.542","0.542","0.498","0.498","0.498","0.506","0.506","0.506"
"188","0.54","0.54","0.54","0.546","0.546","0.546","0.48","0.48","0.48","0.516","0.516","0.516"
"192","0.568","0.568","0.568","0.522","0.522","0.522","0.496","0.496","0.496","0.526","0.526","0.526"
"196","0.552","0.552","0.552","0.536","0.536","0.536","0.466","0.466","0.466","0.508","0.508","0.508"
"200","0.536","0.536","0.536","0.548","0.548","0.548","0.5","0.5","0.5","0.514","0.514","0.514"
"204","0.558","0.558","0.558","0.544","0.544","0.544","0.502","0.502","0.502","0.542","0.542","0.542"
"208","0.57","0.57","0.57","0.548","0.548","0.548","0.492","0.492","0.492","0.528","0.528","0.528"
"212","0.54","0.54","0.54","0.538","0.538","0.538","0.506","0.506","0.506","0.52","0.52","0.52"
"216","0.566","0.566","0.566","0.548","0.548","0.548","0.486","0.486","0.486","0.518","0.518","0.518"
"220","0.564","0.564","0.564","0.552","0.552","0.552","0.506","0.506","0.506","0.518","0.518","0.518"
"224","0.552","0.552","0.552","0.522","0.522","0.522","0.51","0.51","0.51","0.516","0.516","0.516"
"228","0.56","0.56","0.56","0.546","0.546","0.546","0.48","0.48","0.48","0.532","0.532","0.532"
"232","0.554","0.554","0.554","0.544","0.544","0.544","0.506","0.506","0.506","0.532","0.532","0.532"
"236","0.57","0.57","0.57","0.548","0.548","0.548","0.502","0.502","0.502","0.538","0.538","0.538"
"240","0.54","0.54","0.54","0.554","0.554","0.554","0.49","0.49","0.49","0.52","0.52","0.52"
"244","0.536","0.536","0.536","0.556","0.556","0.556","0.49","0.49","0.49","0.532","0.532","0.532"
"248","0.534","0.534","0.534","0.562","0.562","0.562","0.518","0.518","0.518","0.542","0.542","0.542"
"252","0.532","0.532","0.532","0.556","0.556","0.556","0.5","0.5","0.5","0.532","0.532","0.532"
"256","0.52","0.52","0.52","0.55","0.55","0.55","0.506","0.506","0.506","0.536","0.536","0.536"
"260","0.532","0.532","0.532","0.55","0.55","0.55","0.504","0.504","0.504","0.546","0.546","0.546"
"264","0.534","0.534","0.534","0.55","0.55","0.55","0.506","0.506","0.506","0.514","0.514","0.514"
"268","0.536","0.536","0.536","0.566","0.566","0.566","0.496","0.496","0.496","0.516","0.516","0.516"
"272","0.552","0.552","0.552","0.546","0.546","0.546","0.498","0.498","0.498","0.53","0.53","0.53"
"276","0.53","0.53","0.53","0.542","0.542","0.542","0.514","0.514","0.514","0.514","0.514","0.514"
"280","0.56","0.56","0.56","0.544","0.544","0.544","0.508","0.508","0.508","0.508","0.508","0.508"
"284","0.544","0.544","0.544","0.544","0.544","0.544","0.484","0.484","0.484","0.536","0.536","0.536"
"288","0.556","0.556","0.556","0.546","0.546","0.546","0.48","0.48","0.48","0.526","0.526","0.526"
"292","0.554","0.554","0.554","0.542","0.542","0.542","0.49","0.49","0.49","0.51","0.51","0.51"
"296","0.556","0.556","0.556","0.524","0.524","0.524","0.496","0.496","0.496","0.52","0.52","0.52"
"300","0.558","0.558","0.558","0.548","0.548","0.548","0.5","0.5","0.5","0.542","0.542","0.542"
"304","0.562","0.562","0.562","0.54","0.54","0.54","0.514","0.514","0.514","0.52","0.52","0.52"
"308","0.568","0.568","0.568","0.542","0.542","0.542","0.51","0.51","0.51","0.52","0.52","0.52"
"312","0.55","0.55","0.55","0.554","0.554","0.554","0.486","0.486","0.486","0.532","0.532","0.532"
"316","0.552","0.552","0.552","0.566","0.566","0.566","0.478","0.478","0.478","0.516","0.516","0.516"
"320","0.57","0.57","0.57","0.544","0.544","0.544","0.492","0.492","0.492","0.534","0.534","0.534"
"324","0.576","0.576","0.576","0.554","0.554","0.554","0.496","0.496","0.496","0.512","0.512","0.512"
"328","0.564","0.564","0.564","0.548","0.548","0.548","0.476","0.476","0.476","0.518","0.518","0.518"
"332","0.578","0.578","0.578","0.556","0.556","0.556","0.474","0.474","0.474","0.512","0.512","0.512"
"336","0.56","0.56","0.56","0.546","0.546","0.546","0.488","0.488","0.488","0.484","0.484","0.484"
"340","0.566","0.566","0.566","0.556","0.556","0.556","0.5","0.5","0.5","0.512","0.512","0.512"
"344","0.542","0.542","0.542","0.538","0.538","0.538","0.48","0.48","0.48","0.514","0.514","0.514"
"348","0.546","0.546","0.546","0.542","0.542","0.542","0.514","0.514","0.514","0.532","0.532","0.532"
"352","0.56","0.56","0.56","0.552","0.552","0.552","0.512","0.512","0.512","0.51","0.51","0.51"
"356","0.562","0.562","0.562","0.53","0.53","0.53","0.5","0.5","0.5","0.506","0.506","0.506"
"360","0.542","0.542","0.542","0.566","0.566","0.566","0.51","0.51","0.51","0.508","0.508","0.508"
"364","0.55","0.55","0.55","0.56","0.56","0.56","0.508","0.508","0.508","0.514","0.514","0.514"
"368","0.54","0.54","0.54","0.554","0.554","0.554","0.51","0.51","0.51","0.508","0.508","0.508"
"372","0.558","0.558","0.558","0.532","0.532","0.532","0.506","0.506","0.506","0.512","0.512","0.512"
"376","0.562","0.562","0.562","0.554","0.554","0.554","0.498","0.498","0.498","0.516","0.516","0.516"
"380","0.578","0.578","0.578","0.548","0.548","0.548","0.508","0.508","0.508","0.52","0.52","0.52"
"384","0.556","0.556","0.556","0.55","0.55","0.55","0.464","0.464","0.464","0.5","0.5","0.5"
"388","0.544","0.544","0.544","0.55","0.55","0.55","0.498","0.498","0.498","0.508","0.508","0.508"
"392","0.53","0.53","0.53","0.534","0.534","0.534","0.492","0.492","0.492","0.502","0.502","0.502"
"396","0.52","0.52","0.52","0.53","0.53","0.53","0.502","0.502","0.502","0.508","0.508","0.508"
"400","0.546","0.546","0.546","0.546","0.546","0.546","0.49","0.49","0.49","0.49","0.49","0.49"
"404","0.546","0.546","0.546","0.538","0.538","0.538","0.514","0.514","0.514","0.51","0.51","0.51"
"408","0.548","0.548","0.548","0.538","0.538","0.538","0.504","0.504","0.504","0.516","0.516","0.516"
"412","0.538","0.538","0.538","0.532","0.532","0.532","0.486","0.486","0.486","0.488","0.488","0.488"
"416","0.542","0.542","0.542","0.536","0.536","0.536","0.466","0.466","0.466","0.5","0.5","0.5"
"420","0.556","0.556","0.556","0.526","0.526","0.526","0.482","0.482","0.482","0.518","0.518","0.518"
"424","0.556","0.556","0.556","0.534","0.534","0.534","0.5","0.5","0.5","0.502","0.502","0.502"
"428","0.55","0.55","0.55","0.516","0.516","0.516","0.492","0.492","0.492","0.508","0.508","0.508"
"432","0.554","0.554","0.554","0.53","0.53","0.53","0.488","0.488","0.488","0.49","0.49","0.49"
"436","0.542","0.542","0.542","0.544","0.544","0.544","0.492","0.492","0.492","0.498","0.498","0.498"
"440","0.552","0.552","0.552","0.54","0.54","0.54","0.51","0.51","0.51","0.496","0.496","0.496"
"444","0.552","0.552","0.552","0.526","0.526","0.526","0.484","0.484","0.484","0.51","0.51","0.51"
"448","0.558","0.558","0.558","0.534","0.534","0.534","0.5","0.5","0.5","0.51","0.51","0.51"
"452","0.548","0.548","0.548","0.56","0.56","0.56","0.506","0.506","0.506","0.504","0.504","0.504"
"456","0.532","0.532","0.532","0.52","0.52","0.52","0.51","0.51","0.51","0.502","0.502","0.502"
"460","0.54","0.54","0.54","0.512","0.512","0.512","0.482","0.482","0.482","0.516","0.516","0.516"
"464","0.538","0.538","0.538","0.522","0.522","0.522","0.486","0.486","0.486","0.486","0.486","0.486"
"468","0.542","0.542","0.542","0.528","0.528","0.528","0.474","0.474","0.474","0.524","0.524","0.524"
"472","0.552","0.552","0.552","0.53","0.53","0.53","0.48","0.48","0.48","0.514","0.514","0.514"
"476","0.552","0.552","0.552","0.53","0.53","0.53","0.492","0.492","0.492","0.506","0.506","0.506"
"480","0.538","0.538","0.538","0.524","0.524","0.524","0.48","0.48","0.48","0.522","0.522","0.522"
"484","0.536","0.536","0.536","0.522","0.522","0.522","","","","0.502","0.502","0.502"
"488","0.542","0.542","0.542","0.514","0.514","0.514","","","","0.506","0.506","0.506"
"492","0.552","0.552","0.552","0.534","0.534","0.534","","","","0.492","0.492","0.492"
"496","0.544","0.544","0.544","0.518","0.518","0.518","","","","","",""
"500","0.554","0.554","0.554","0.52","0.52","0.52","","","","","",""
"504","0.538","0.538","0.538","0.552","0.552","0.552","","","","","",""
"508","0.542","0.542","0.542","0.536","0.536","0.536","","","","","",""
"512","0.538","0.538","0.538","0.548","0.548","0.548","","","","","",""
"516","0.532","0.532","0.532","0.57","0.57","0.57","","","","","",""
"520","0.528","0.528","0.528","0.53","0.53","0.53","","","","","",""
"524","0.544","0.544","0.544","0.538","0.538","0.538","","","","","",""
"528","0.538","0.538","0.538","0.54","0.54","0.54","","","","","",""
"532","0.53","0.53","0.53","0.55","0.55","0.55","","","","","",""
"536","0.548","0.548","0.548","0.542","0.542","0.542","","","","","",""
"540","0.544","0.544","0.544","0.528","0.528","0.528","","","","","",""
"544","0.534","0.534","0.534","0.532","0.532","0.532","","","","","",""
"548","0.538","0.538","0.538","0.526","0.526","0.526","","","","","",""
"552","0.53","0.53","0.53","0.524","0.524","0.524","","","","","",""
"556","0.554","0.554","0.554","0.542","0.542","0.542","","","","","",""
"560","0.56","0.56","0.56","0.546","0.546","0.546","","","","","",""
"564","0.528","0.528","0.528","0.554","0.554","0.554","","","","","",""
"568","0.532","0.532","0.532","0.538","0.538","0.538","","","","","",""
"572","0.54","0.54","0.54","0.548","0.548","0.548","","","","","",""
"576","0.542","0.542","0.542","0.536","0.536","0.536","","","","","",""
"580","0.546","0.546","0.546","0.542","0.542","0.542","","","","","",""
"584","0.546","0.546","0.546","0.542","0.542","0.542","","","","","",""
"588","0.526","0.526","0.526","0.542","0.542","0.542","","","","","",""
"592","0.552","0.552","0.552","0.562","0.562","0.562","","","","","",""
"596","0.554","0.554","0.554","0.54","0.54","0.54","","","","","",""
"600","0.548","0.548","0.548","0.548","0.548","0.548","","","","","",""
"604","0.548","0.548","0.548","0.556","0.556","0.556","","","","","",""
"608","0.542","0.542","0.542","0.544","0.544","0.544","","","","","",""
"612","0.538","0.538","0.538","0.55","0.55","0.55","","","","","",""
"616","0.524","0.524","0.524","0.528","0.528","0.528","","","","","",""
"620","0.532","0.532","0.532","0.548","0.548","0.548","","","","","",""
"624","0.532","0.532","0.532","0.556","0.556","0.556","","","","","",""
"628","0.52","0.52","0.52","0.544","0.544","0.544","","","","","",""
"632","0.536","0.536","0.536","0.53","0.53","0.53","","","","","",""
"636","0.546","0.546","0.546","0.546","0.546","0.546","","","","","",""
"640","0.532","0.532","0.532","0.534","0.534","0.534","","","","","",""
"644","0.534","0.534","0.534","0.53","0.53","0.53","","","","","",""
"648","0.542","0.542","0.542","0.52","0.52","0.52","","","","","",""
"652","0.55","0.55","0.55","0.546","0.546","0.546","","","","","",""
"656","0.534","0.534","0.534","0.534","0.534","0.534","","","","","",""
"660","0.518","0.518","0.518","0.546","0.546","0.546","","","","","",""
"664","0.546","0.546","0.546","0.548","0.548","0.548","","","","","",""
"668","0.542","0.542","0.542","0.53","0.53","0.53","","","","","",""
"672","0.544","0.544","0.544","0.542","0.542","0.542","","","","","",""
"676","0.548","0.548","0.548","0.526","0.526","0.526","","","","","",""
"680","0.55","0.55","0.55","0.542","0.542","0.542","","","","","",""
"684","0.558","0.558","0.558","0.548","0.548","0.548","","","","","",""
"688","0.54","0.54","0.54","0.532","0.532","0.532","","","","","",""
"692","0.544","0.544","0.544","0.512","0.512","0.512","","","","","",""
"696","0.546","0.546","0.546","0.518","0.518","0.518","","","","","",""
"700","0.518","0.518","0.518","0.538","0.538","0.538","","","","","",""
"704","0.538","0.538","0.538","0.544","0.544","0.544","","","","","",""
"708","0.522","0.522","0.522","0.536","0.536","0.536","","","","","",""
"712","0.528","0.528","0.528","0.54","0.54","0.54","","","","","",""
"716","0.544","0.544","0.544","0.546","0.546","0.546","","","","","",""
"720","0.55","0.55","0.55","0.542","0.542","0.542","","","","","",""
"724","0.534","0.534","0.534","0.55","0.55","0.55","","","","","",""
"728","0.536","0.536","0.536","0.536","0.536","0.536","","","","","",""
"732","0.52","0.52","0.52","0.556","0.556","0.556","","","","","",""
"736","0.54","0.54","0.54","0.56","0.56","0.56","","","","","",""
"740","0.514","0.514","0.514","0.544","0.544","0.544","","","","","",""
"744","0.522","0.522","0.522","0.536","0.536","0.536","","","","","",""
"748","0.506","0.506","0.506","0.542","0.542","0.542","","","","","",""
"752","0.532","0.532","0.532","0.55","0.55","0.55","","","","","",""
"756","0.532","0.532","0.532","0.54","0.54","0.54","","","","","",""
"760","0.524","0.524","0.524","0.554","0.554","0.554","","","","","",""
"764","0.538","0.538","0.538","0.528","0.528","0.528","","","","","",""
"768","0.52","0.52","0.52","0.534","0.534","0.534","","","","","",""
"772","0.514","0.514","0.514","0.534","0.534","0.534","","","","","",""
"776","0.532","0.532","0.532","0.516","0.516","0.516","","","","","",""
"780","0.536","0.536","0.536","0.546","0.546","0.546","","","","","",""
"784","0.528","0.528","0.528","0.538","0.538","0.538","","","","","",""
"788","0.548","0.548","0.548","0.54","0.54","0.54","","","","","",""
"792","0.536","0.536","0.536","0.53","0.53","0.53","","","","","",""
"796","0.536","0.536","0.536","0.54","0.54","0.54","","","","","",""
"800","0.534","0.534","0.534","0.532","0.532","0.532","","","","","",""
"804","0.552","0.552","0.552","0.538","0.538","0.538","","","","","",""
"808","0.522","0.522","0.522","0.516","0.516","0.516","","","","","",""
"812","0.536","0.536","0.536","0.538","0.538","0.538","","","","","",""
"816","0.534","0.534","0.534","0.51","0.51","0.51","","","","","",""
"820","0.532","0.532","0.532","0.524","0.524","0.524","","","","","",""
"824","0.544","0.544","0.544","0.51","0.51","0.51","","","","","",""
"828","0.538","0.538","0.538","0.518","0.518","0.518","","","","","",""
"832","0.528","0.528","0.528","0.508","0.508","0.508","","","","","",""
"836","0.544","0.544","0.544","","","","","","","","",""
"840","0.526","0.526","0.526","","","","","","","","",""
"844","0.548","0.548","0.548","","","","","","","","",""
"848","0.514","0.514","0.514","","","","","","","","",""
"852","0.514","0.514","0.514","","","","","","","","",""
