Step,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/OlympiadBench,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/OlympiadBench__MAX,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val_response_length/test_length_correct/OlympiadBench__MIN,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/OlympiadBench,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/OlympiadBench__MAX,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val_response_length/test_length_correct/OlympiadBench__MIN,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/OlympiadBench,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/OlympiadBench__MAX,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val_response_length/test_length_correct/OlympiadBench__MIN
168,2225.6582461786,2363.2545454545457,2088.0619469026547,517.3142857142857,517.3142857142857,517.3142857142857,511.38461538461536,511.38461538461536,511.38461538461536
172,2117.091743119266,2117.091743119266,2117.091743119266,562.2680412371134,562.2680412371134,562.2680412371134,488.725,488.725,488.725
176,2234.8867924528304,2234.8867924528304,2234.8867924528304,533.3163265306123,533.3163265306123,533.3163265306123,449.0659340659341,449.0659340659341,449.0659340659341
180,1921.5688073394492,1921.5688073394492,1921.5688073394492,546.44,546.44,546.44,425.6021505376344,425.6021505376344,425.6021505376344
184,2099.4690265486724,2099.4690265486724,2099.4690265486724,578.90625,578.90625,578.90625,461.24444444444447,461.24444444444447,461.24444444444447
188,1997.282258064516,1997.282258064516,1997.282258064516,472.959595959596,472.959595959596,472.959595959596,447.8152173913044,447.8152173913044,447.8152173913044
192,2126.51,2126.51,2126.51,468.5490196078432,468.5490196078432,468.5490196078432,492.3695652173913,492.3695652173913,492.3695652173913
196,2180.2169811320755,2180.2169811320755,2180.2169811320755,521.2688172043011,521.2688172043011,521.2688172043011,497.2323232323232,497.2323232323232,497.2323232323232
200,,,,532.0909090909091,532.0909090909091,532.0909090909091,462.15,462.15,462.15
204,,,,473.040404040404,473.040404040404,473.040404040404,416.5813953488372,416.5813953488372,416.5813953488372
208,,,,472.7040816326531,472.7040816326531,472.7040816326531,440.6559139784946,440.6559139784946,440.6559139784946
212,,,,500.35353535353534,500.35353535353534,500.35353535353534,458.5,458.5,458.5
216,,,,489.03125,489.03125,489.03125,440.0952380952381,440.0952380952381,440.0952380952381
220,,,,477.8556701030928,477.8556701030928,477.8556701030928,510.5505617977528,510.5505617977528,510.5505617977528
224,,,,532.1530612244898,532.1530612244898,532.1530612244898,459.0,459.0,459.0
228,,,,466.4255319148936,466.4255319148936,466.4255319148936,475.43617021276594,475.43617021276594,475.43617021276594
232,,,,448.5212765957447,448.5212765957447,448.5212765957447,425.3932584269663,425.3932584269663,425.3932584269663
236,,,,521.2989690721649,521.2989690721649,521.2989690721649,473.4044943820225,473.4044943820225,473.4044943820225
240,,,,442.09090909090907,442.09090909090907,442.09090909090907,476.0125,476.0125,476.0125
244,,,,431.32941176470587,431.32941176470587,431.32941176470587,580.2674418604652,580.2674418604652,580.2674418604652
248,,,,459.4782608695652,459.4782608695652,459.4782608695652,516.8023255813954,516.8023255813954,516.8023255813954
252,,,,503.7113402061856,503.7113402061856,503.7113402061856,439.7906976744186,439.7906976744186,439.7906976744186
256,,,,453.9247311827957,453.9247311827957,453.9247311827957,467.5287356321839,467.5287356321839,467.5287356321839
260,,,,464.22680412371136,464.22680412371136,464.22680412371136,478.3263157894737,478.3263157894737,478.3263157894737
264,,,,465.0,465.0,465.0,507.9247311827957,507.9247311827957,507.9247311827957
268,,,,451.4,451.4,451.4,473.7977528089888,473.7977528089888,473.7977528089888
272,,,,492.7473684210526,492.7473684210526,492.7473684210526,496.5977011494253,496.5977011494253,496.5977011494253
276,,,,466.1428571428572,466.1428571428572,466.1428571428572,447.75531914893617,447.75531914893617,447.75531914893617
280,,,,555.5384615384615,555.5384615384615,555.5384615384615,459.62105263157895,459.62105263157895,459.62105263157895
284,,,,513.3414634146342,513.3414634146342,513.3414634146342,523.5686274509804,523.5686274509804,523.5686274509804
288,,,,524.969387755102,524.969387755102,524.969387755102,507.8041237113402,507.8041237113402,507.8041237113402
292,,,,483.24,483.24,483.24,507.6043956043956,507.6043956043956,507.6043956043956
296,,,,506.5505617977528,506.5505617977528,506.5505617977528,498.5116279069768,498.5116279069768,498.5116279069768
300,,,,531.5050505050505,531.5050505050505,531.5050505050505,517.2659574468086,517.2659574468086,517.2659574468086
304,,,,583.6477272727273,583.6477272727273,583.6477272727273,484.62105263157895,484.62105263157895,484.62105263157895
308,,,,516.3535353535353,516.3535353535353,516.3535353535353,462.32978723404256,462.32978723404256,462.32978723404256
312,,,,503.6380952380952,503.6380952380952,503.6380952380952,502.11,502.11,502.11
316,,,,449.18367346938777,449.18367346938777,449.18367346938777,476.2474226804124,476.2474226804124,476.2474226804124
320,,,,493.1904761904762,493.1904761904762,493.1904761904762,549.0957446808511,549.0957446808511,549.0957446808511
324,,,,523.2685185185185,523.2685185185185,523.2685185185185,464.6593406593407,464.6593406593407,464.6593406593407
328,,,,455.9633027522936,455.9633027522936,455.9633027522936,494.2903225806452,494.2903225806452,494.2903225806452
332,,,,456.97297297297297,456.97297297297297,456.97297297297297,445.9347826086956,445.9347826086956,445.9347826086956
336,,,,490.5462962962963,490.5462962962963,490.5462962962963,490.5288461538461,490.5288461538461,490.5288461538461
340,,,,460.34615384615387,460.34615384615387,460.34615384615387,497.7524752475247,497.7524752475247,497.7524752475247
344,,,,489.55855855855856,489.55855855855856,489.55855855855856,484.752380952381,484.752380952381,484.752380952381
348,,,,481.4757281553398,481.4757281553398,481.4757281553398,503.66336633663366,503.66336633663366,503.66336633663366
352,,,,526.927927927928,526.927927927928,526.927927927928,466.5607476635514,466.5607476635514,466.5607476635514
356,,,,481.4257425742574,481.4257425742574,481.4257425742574,493.7169811320755,493.7169811320755,493.7169811320755
360,,,,447.6448598130841,447.6448598130841,447.6448598130841,501.8387096774193,501.8387096774193,501.8387096774193
364,,,,538.4166666666666,538.4166666666666,538.4166666666666,521.1789473684211,521.1789473684211,521.1789473684211
368,,,,535.324074074074,535.324074074074,535.324074074074,546.5473684210526,546.5473684210526,546.5473684210526
372,,,,515.0825688073395,515.0825688073395,515.0825688073395,553.2474226804123,553.2474226804123,553.2474226804123
376,,,,604.6666666666666,604.6666666666666,604.6666666666666,534.2745098039215,534.2745098039215,534.2745098039215
380,,,,542.1351351351351,542.1351351351351,542.1351351351351,578.9655172413793,578.9655172413793,578.9655172413793
384,,,,480.3269230769231,480.3269230769231,480.3269230769231,634.1122448979592,634.1122448979592,634.1122448979592
388,,,,496.27,496.27,496.27,510.0,510.0,510.0
392,,,,519.6990291262136,519.6990291262136,519.6990291262136,498.032967032967,498.032967032967,498.032967032967
396,,,,538.5294117647059,538.5294117647059,538.5294117647059,478.438202247191,478.438202247191,478.438202247191
400,,,,564.4,564.4,564.4,446.6629213483146,446.6629213483146,446.6629213483146
404,,,,500.7227722772277,500.7227722772277,500.7227722772277,448.94565217391306,448.94565217391306,448.94565217391306
408,,,,477.7735849056604,477.7735849056604,477.7735849056604,470.6627906976744,470.6627906976744,470.6627906976744
412,,,,533.6,533.6,533.6,479.27777777777777,479.27777777777777,479.27777777777777
416,,,,505.8817204301075,505.8817204301075,505.8817204301075,487.530612244898,487.530612244898,487.530612244898
420,,,,527.5510204081633,527.5510204081633,527.5510204081633,459.5463917525773,459.5463917525773,459.5463917525773
424,,,,482.1149425287357,482.1149425287357,482.1149425287357,503.5824175824176,503.5824175824176,503.5824175824176
428,,,,523.8857142857142,523.8857142857142,523.8857142857142,460.7142857142857,460.7142857142857,460.7142857142857
432,,,,475.6344086021505,475.6344086021505,475.6344086021505,476.27272727272725,476.27272727272725,476.27272727272725
436,,,,557.3263157894737,557.3263157894737,557.3263157894737,485.940594059406,485.940594059406,485.940594059406
440,,,,439.4725274725275,439.4725274725275,439.4725274725275,506.6530612244898,506.6530612244898,506.6530612244898
444,,,,500.1428571428572,500.1428571428572,500.1428571428572,542.438202247191,542.438202247191,542.438202247191
448,,,,491.0686274509804,491.0686274509804,491.0686274509804,453.1195652173913,453.1195652173913,453.1195652173913
452,,,,509.65625,509.65625,509.65625,536.1368421052632,536.1368421052632,536.1368421052632
456,,,,494.1,494.1,494.1,469.020202020202,469.020202020202,469.020202020202
460,,,,485.5,485.5,485.5,477.9569892473118,477.9569892473118,477.9569892473118
464,,,,500.27472527472526,500.27472527472526,500.27472527472526,460.2857142857143,460.2857142857143,460.2857142857143
468,,,,513.629213483146,513.629213483146,513.629213483146,414.7835051546392,414.7835051546392,414.7835051546392
472,,,,585.3052631578947,585.3052631578947,585.3052631578947,456.8269230769231,456.8269230769231,456.8269230769231
476,,,,545.7979797979798,545.7979797979798,545.7979797979798,413.5959595959596,413.5959595959596,413.5959595959596
480,,,,474.63,474.63,474.63,486.4021739130435,486.4021739130435,486.4021739130435
484,,,,554.76,554.76,554.76,422.42045454545456,422.42045454545456,422.42045454545456
488,,,,503.233644859813,503.233644859813,503.233644859813,515.8504672897196,515.8504672897196,515.8504672897196
492,,,,481.8989898989899,481.8989898989899,481.8989898989899,481.51,481.51,481.51
496,,,,540.6304347826087,540.6304347826087,540.6304347826087,492.78125,492.78125,492.78125
500,,,,468.3510638297872,468.3510638297872,468.3510638297872,445.2173913043478,445.2173913043478,445.2173913043478
504,,,,450.8631578947368,450.8631578947368,450.8631578947368,448.15625,448.15625,448.15625
508,,,,461.76344086021504,461.76344086021504,461.76344086021504,464.1136363636364,464.1136363636364,464.1136363636364
512,,,,492.3,492.3,492.3,439.9782608695652,439.9782608695652,439.9782608695652
516,,,,471.8988764044944,471.8988764044944,471.8988764044944,462.1666666666667,462.1666666666667,462.1666666666667
520,,,,465.4526315789474,465.4526315789474,465.4526315789474,397.7901234567901,397.7901234567901,397.7901234567901
524,,,,495.6534653465346,495.6534653465346,495.6534653465346,440.9318181818182,440.9318181818182,440.9318181818182
528,,,,518.5922330097087,518.5922330097087,518.5922330097087,438.7142857142857,438.7142857142857,438.7142857142857
532,,,,498.5849056603773,498.5849056603773,498.5849056603773,464.04545454545456,464.04545454545456,464.04545454545456
536,,,,468.7920792079208,468.7920792079208,468.7920792079208,489.5263157894737,489.5263157894737,489.5263157894737
540,,,,518.63,518.63,518.63,422.2151898734177,422.2151898734177,422.2151898734177
544,,,,490.3689320388349,490.3689320388349,490.3689320388349,384.80232558139534,384.80232558139534,384.80232558139534
548,,,,496.7227722772277,496.7227722772277,496.7227722772277,516.2022471910112,516.2022471910112,516.2022471910112
552,,,,490.2164948453608,490.2164948453608,490.2164948453608,426.031914893617,426.031914893617,426.031914893617
556,,,,495.7,495.7,495.7,380.3086419753087,380.3086419753087,380.3086419753087
560,,,,530.2043010752689,530.2043010752689,530.2043010752689,471.3908045977012,471.3908045977012,471.3908045977012
564,,,,557.7169811320755,557.7169811320755,557.7169811320755,431.95,431.95,431.95
568,,,,566.021052631579,566.021052631579,566.021052631579,421.8351648351649,421.8351648351649,421.8351648351649
572,,,,623.6990291262136,623.6990291262136,623.6990291262136,489.3478260869565,489.3478260869565,489.3478260869565
576,,,,512.1717171717172,512.1717171717172,512.1717171717172,499.8681318681319,499.8681318681319,499.8681318681319
580,,,,469.7701149425287,469.7701149425287,469.7701149425287,489.9888888888889,489.9888888888889,489.9888888888889
584,,,,526.8695652173913,526.8695652173913,526.8695652173913,447.82978723404256,447.82978723404256,447.82978723404256
588,,,,530.0612244897959,530.0612244897959,530.0612244897959,450.09375,450.09375,450.09375
592,,,,531.8543689320388,531.8543689320388,531.8543689320388,425.25,425.25,425.25
596,,,,508.68224299065423,508.68224299065423,508.68224299065423,452.27,452.27,452.27
600,,,,481.8415841584159,481.8415841584159,481.8415841584159,498.0,498.0,498.0
604,,,,472.9807692307692,472.9807692307692,472.9807692307692,430.0561797752809,430.0561797752809,430.0561797752809
608,,,,507.9387755102041,507.9387755102041,507.9387755102041,448.9139784946237,448.9139784946237,448.9139784946237
612,,,,553.3571428571429,553.3571428571429,553.3571428571429,419.4731182795699,419.4731182795699,419.4731182795699
616,,,,486.0471698113208,486.0471698113208,486.0471698113208,451.2164948453608,451.2164948453608,451.2164948453608
620,,,,497.5773195876289,497.5773195876289,497.5773195876289,446.6914893617021,446.6914893617021,446.6914893617021
624,,,,539.0098039215686,539.0098039215686,539.0098039215686,435.6344086021505,435.6344086021505,435.6344086021505
628,,,,506.8256880733945,506.8256880733945,506.8256880733945,465.6666666666667,465.6666666666667,465.6666666666667
632,,,,494.2380952380952,494.2380952380952,494.2380952380952,416.8901098901099,416.8901098901099,416.8901098901099
636,,,,478.5,478.5,478.5,443.52,443.52,443.52
640,,,,653.11,653.11,653.11,452.36633663366337,452.36633663366337,452.36633663366337
644,,,,523.5981308411215,523.5981308411215,523.5981308411215,472.8571428571428,472.8571428571428,472.8571428571428
648,,,,553.0792079207921,553.0792079207921,553.0792079207921,455.0344827586207,455.0344827586207,455.0344827586207
652,,,,568.6129032258065,568.6129032258065,568.6129032258065,425.5111111111111,425.5111111111111,425.5111111111111
656,,,,458.9150943396226,458.9150943396226,458.9150943396226,478.74468085106383,478.74468085106383,478.74468085106383
660,,,,473.7878787878788,473.7878787878788,473.7878787878788,452.5212765957447,452.5212765957447,452.5212765957447
664,,,,483.375,483.375,483.375,411.8817204301075,411.8817204301075,411.8817204301075
668,,,,546.2252252252252,546.2252252252252,546.2252252252252,435.747572815534,435.747572815534,435.747572815534
672,,,,508.0280373831776,508.0280373831776,508.0280373831776,423.53684210526313,423.53684210526313,423.53684210526313
676,,,,548.6020408163265,548.6020408163265,548.6020408163265,457.7938144329897,457.7938144329897,457.7938144329897
680,,,,583.447619047619,583.447619047619,583.447619047619,430.28155339805824,430.28155339805824,430.28155339805824
684,,,,545.5871559633027,545.5871559633027,545.5871559633027,481.340206185567,481.340206185567,481.340206185567
688,,,,589.6574074074074,589.6574074074074,589.6574074074074,444.0219780219781,444.0219780219781,444.0219780219781
692,,,,515.5754716981132,515.5754716981132,515.5754716981132,442.9130434782609,442.9130434782609,442.9130434782609
696,,,,,,,443.6122448979592,443.6122448979592,443.6122448979592
700,,,,,,,434.2105263157895,434.2105263157895,434.2105263157895
704,,,,,,,448.8181818181818,448.8181818181818,448.8181818181818
708,,,,,,,424.4,424.4,424.4
712,,,,,,,451.6907216494845,451.6907216494845,451.6907216494845
716,,,,,,,386.6930693069307,386.6930693069307,386.6930693069307
720,,,,,,,400.8210526315789,400.8210526315789,400.8210526315789
724,,,,,,,396.2197802197802,396.2197802197802,396.2197802197802
728,,,,,,,390.2626262626263,390.2626262626263,390.2626262626263
732,,,,,,,446.34736842105264,446.34736842105264,446.34736842105264
736,,,,,,,435.11,435.11,435.11
740,,,,,,,460.3684210526316,460.3684210526316,460.3684210526316
744,,,,,,,414.9878048780488,414.9878048780488,414.9878048780488
748,,,,,,,416.9404761904762,416.9404761904762,416.9404761904762
752,,,,,,,427.010752688172,427.010752688172,427.010752688172
756,,,,,,,422.8942307692308,422.8942307692308,422.8942307692308
760,,,,,,,434.1041666666667,434.1041666666667,434.1041666666667
764,,,,,,,427.578947368421,427.578947368421,427.578947368421
768,,,,,,,423.3529411764706,423.3529411764706,423.3529411764706
772,,,,,,,423.7669902912621,423.7669902912621,423.7669902912621
776,,,,,,,404.9166666666667,404.9166666666667,404.9166666666667
780,,,,,,,411.08,411.08,411.08
784,,,,,,,387.1287128712871,387.1287128712871,387.1287128712871
788,,,,,,,382.8279569892473,382.8279569892473,382.8279569892473
792,,,,,,,428.6629213483146,428.6629213483146,428.6629213483146
796,,,,,,,400.5977011494253,400.5977011494253,400.5977011494253
800,,,,,,,436.76344086021504,436.76344086021504,436.76344086021504
804,,,,,,,469.2970297029703,469.2970297029703,469.2970297029703
808,,,,,,,464.122641509434,464.122641509434,464.122641509434
812,,,,,,,407.97,407.97,407.97
816,,,,,,,423.9090909090909,423.9090909090909,423.9090909090909
820,,,,,,,422.0761904761905,422.0761904761905,422.0761904761905
824,,,,,,,394.38,394.38,394.38
828,,,,,,,407.3619047619048,407.3619047619048,407.3619047619048
832,,,,,,,439.00961538461536,439.00961538461536,439.00961538461536
836,,,,,,,406.62105263157895,406.62105263157895,406.62105263157895
840,,,,,,,433.6,433.6,433.6
844,,,,,,,420.5052631578947,420.5052631578947,420.5052631578947
848,,,,,,,402.7291666666667,402.7291666666667,402.7291666666667
852,,,,,,,412.9134615384616,412.9134615384616,412.9134615384616
856,,,,,,,437.2156862745098,437.2156862745098,437.2156862745098
860,,,,,,,412.8333333333333,412.8333333333333,412.8333333333333
864,,,,,,,402.4516129032258,402.4516129032258,402.4516129032258
868,,,,,,,398.5730337078652,398.5730337078652,398.5730337078652
872,,,,,,,457.7692307692308,457.7692307692308,457.7692307692308
876,,,,,,,405.6741573033708,405.6741573033708,405.6741573033708
