Step,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/MATH500,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/MATH500__MAX,rl.grpo_llama.1b_decay_long.20B_math.8k_0421_1805 - val/test_score/MATH500__MIN,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/MATH500,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/MATH500__MAX,rl.grpo_llama.1b_decay_long.short.mix.20B_math.8k_0421_1311 - val/test_score/MATH500__MIN,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/MATH500,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/MATH500__MAX,rl.grpo_llama.1b_decay_short.20B_math.8k_0422_1125 - val/test_score/MATH500__MIN
312,,,,0.45,0.45,0.45,0.448,0.448,0.448
316,,,,0.452,0.452,0.452,0.434,0.434,0.434
320,,,,0.432,0.432,0.432,0.448,0.448,0.448
324,,,,0.448,0.448,0.448,0.452,0.452,0.452
328,,,,0.438,0.438,0.438,0.46,0.46,0.46
332,,,,0.434,0.434,0.434,0.448,0.448,0.448
336,,,,0.434,0.434,0.434,0.426,0.426,0.426
340,,,,0.456,0.456,0.456,0.438,0.438,0.438
344,,,,0.424,0.424,0.424,0.45,0.45,0.45
348,,,,0.45,0.45,0.45,0.44,0.44,0.44
352,,,,0.426,0.426,0.426,0.43,0.43,0.43
356,,,,0.436,0.436,0.436,0.448,0.448,0.448
360,,,,0.432,0.432,0.432,0.442,0.442,0.442
364,,,,0.432,0.432,0.432,0.456,0.456,0.456
368,,,,0.446,0.446,0.446,0.456,0.456,0.456
372,,,,0.446,0.446,0.446,0.44,0.44,0.44
376,,,,0.45,0.45,0.45,0.444,0.444,0.444
380,,,,0.452,0.452,0.452,0.456,0.456,0.456
384,,,,0.45,0.45,0.45,0.462,0.462,0.462
388,,,,0.442,0.442,0.442,0.468,0.468,0.468
392,,,,0.46,0.46,0.46,0.446,0.446,0.446
396,,,,0.468,0.468,0.468,0.444,0.444,0.444
400,,,,0.448,0.448,0.448,0.456,0.456,0.456
404,,,,0.438,0.438,0.438,0.446,0.446,0.446
408,,,,0.46,0.46,0.46,0.466,0.466,0.466
412,,,,0.452,0.452,0.452,0.45,0.45,0.45
416,,,,0.432,0.432,0.432,0.476,0.476,0.476
420,,,,0.46,0.46,0.46,0.452,0.452,0.452
424,,,,0.446,0.446,0.446,0.454,0.454,0.454
428,,,,0.456,0.456,0.456,0.442,0.442,0.442
432,,,,0.438,0.438,0.438,0.454,0.454,0.454
436,,,,0.462,0.462,0.462,0.436,0.436,0.436
440,,,,0.464,0.464,0.464,0.454,0.454,0.454
444,,,,0.44,0.44,0.44,0.446,0.446,0.446
448,,,,0.446,0.446,0.446,0.438,0.438,0.438
452,,,,0.45,0.45,0.45,0.422,0.422,0.422
456,,,,0.434,0.434,0.434,0.442,0.442,0.442
460,,,,0.448,0.448,0.448,0.454,0.454,0.454
464,,,,0.458,0.458,0.458,0.45,0.45,0.45
468,,,,0.462,0.462,0.462,0.436,0.436,0.436
472,,,,0.434,0.434,0.434,0.436,0.436,0.436
476,,,,0.448,0.448,0.448,0.442,0.442,0.442
480,,,,0.424,0.424,0.424,0.448,0.448,0.448
484,,,,0.444,0.444,0.444,0.44,0.44,0.44
488,,,,0.45,0.45,0.45,0.432,0.432,0.432
492,,,,0.454,0.454,0.454,0.438,0.438,0.438
496,,,,0.444,0.444,0.444,0.43,0.43,0.43
500,,,,0.444,0.444,0.444,0.434,0.434,0.434
504,,,,0.45,0.45,0.45,0.456,0.456,0.456
508,,,,0.45,0.45,0.45,0.426,0.426,0.426
512,,,,0.464,0.464,0.464,0.442,0.442,0.442
516,,,,0.45,0.45,0.45,0.458,0.458,0.458
520,,,,0.478,0.478,0.478,0.448,0.448,0.448
524,,,,0.468,0.468,0.468,0.452,0.452,0.452
528,,,,0.458,0.458,0.458,0.432,0.432,0.432
532,,,,0.458,0.458,0.458,0.43,0.43,0.43
536,,,,0.494,0.494,0.494,0.432,0.432,0.432
540,,,,0.458,0.458,0.458,0.456,0.456,0.456
544,,,,0.47,0.47,0.47,0.472,0.472,0.472
548,,,,0.462,0.462,0.462,0.444,0.444,0.444
552,,,,0.454,0.454,0.454,0.454,0.454,0.454
556,,,,0.456,0.456,0.456,0.438,0.438,0.438
560,,,,0.47,0.47,0.47,0.444,0.444,0.444
564,,,,0.478,0.478,0.478,0.448,0.448,0.448
568,,,,0.468,0.468,0.468,0.432,0.432,0.432
572,,,,0.48,0.48,0.48,0.45,0.45,0.45
576,,,,0.466,0.466,0.466,0.444,0.444,0.444
580,,,,0.456,0.456,0.456,0.432,0.432,0.432
584,,,,0.45,0.45,0.45,0.45,0.45,0.45
588,,,,0.464,0.464,0.464,0.43,0.43,0.43
592,,,,0.444,0.444,0.444,0.44,0.44,0.44
596,,,,0.458,0.458,0.458,0.458,0.458,0.458
600,,,,0.454,0.454,0.454,0.44,0.44,0.44
604,,,,0.46,0.46,0.46,0.456,0.456,0.456
608,,,,0.452,0.452,0.452,0.468,0.468,0.468
612,,,,0.446,0.446,0.446,0.468,0.468,0.468
616,,,,0.466,0.466,0.466,0.452,0.452,0.452
620,,,,0.45,0.45,0.45,0.458,0.458,0.458
624,,,,0.46,0.46,0.46,0.442,0.442,0.442
628,,,,0.466,0.466,0.466,0.456,0.456,0.456
632,,,,0.458,0.458,0.458,0.458,0.458,0.458
636,,,,0.486,0.486,0.486,0.448,0.448,0.448
640,,,,0.456,0.456,0.456,0.438,0.438,0.438
644,,,,0.46,0.46,0.46,0.442,0.442,0.442
648,,,,0.464,0.464,0.464,0.448,0.448,0.448
652,,,,0.468,0.468,0.468,0.428,0.428,0.428
656,,,,0.482,0.482,0.482,0.424,0.424,0.424
660,,,,0.464,0.464,0.464,0.434,0.434,0.434
664,,,,0.466,0.466,0.466,0.438,0.438,0.438
668,,,,0.462,0.462,0.462,0.436,0.436,0.436
672,,,,0.468,0.468,0.468,0.442,0.442,0.442
676,,,,0.456,0.456,0.456,0.44,0.44,0.44
680,,,,0.47,0.47,0.47,0.446,0.446,0.446
684,,,,0.472,0.472,0.472,0.45,0.45,0.45
688,,,,0.472,0.472,0.472,0.426,0.426,0.426
692,,,,0.45,0.45,0.45,0.43,0.43,0.43
696,,,,,,,0.436,0.436,0.436
700,,,,,,,0.44,0.44,0.44
704,,,,,,,0.434,0.434,0.434
708,,,,,,,0.432,0.432,0.432
712,,,,,,,0.444,0.444,0.444
716,,,,,,,0.43,0.43,0.43
720,,,,,,,0.436,0.436,0.436
724,,,,,,,0.448,0.448,0.448
728,,,,,,,0.43,0.43,0.43
732,,,,,,,0.438,0.438,0.438
736,,,,,,,0.438,0.438,0.438
740,,,,,,,0.432,0.432,0.432
744,,,,,,,0.432,0.432,0.432
748,,,,,,,0.44,0.44,0.44
752,,,,,,,0.446,0.446,0.446
756,,,,,,,0.436,0.436,0.436
760,,,,,,,0.448,0.448,0.448
764,,,,,,,0.45,0.45,0.45
768,,,,,,,0.432,0.432,0.432
772,,,,,,,0.446,0.446,0.446
776,,,,,,,0.456,0.456,0.456
780,,,,,,,0.44,0.44,0.44
784,,,,,,,0.456,0.456,0.456
788,,,,,,,0.442,0.442,0.442
792,,,,,,,0.444,0.444,0.444
796,,,,,,,0.454,0.454,0.454
800,,,,,,,0.45,0.45,0.45
804,,,,,,,0.458,0.458,0.458
808,,,,,,,0.45,0.45,0.45
812,,,,,,,0.466,0.466,0.466
816,,,,,,,0.444,0.444,0.444
820,,,,,,,0.446,0.446,0.446
824,,,,,,,0.464,0.464,0.464
828,,,,,,,0.448,0.448,0.448
832,,,,,,,0.448,0.448,0.448
836,,,,,,,0.448,0.448,0.448
840,,,,,,,0.454,0.454,0.454
844,,,,,,,0.454,0.454,0.454
848,,,,,,,0.446,0.446,0.446
852,,,,,,,0.444,0.444,0.444
856,,,,,,,0.454,0.454,0.454
860,,,,,,,0.448,0.448,0.448
864,,,,,,,0.424,0.424,0.424
868,,,,,,,0.452,0.452,0.452
872,,,,,,,0.458,0.458,0.458
876,,,,,,,0.426,0.426,0.426
