"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/GSM8k","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val/test_score/GSM8k","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val/test_score/GSM8k__MAX"
"120","0.643669446550417","0.643669446550417","0.643669446550417","0.6732373009855952","0.6732373009855952","0.6732373009855952"
"124","0.6360879454131918","0.6360879454131918","0.6360879454131918","0.6921910538286581","0.6921910538286581","0.6921910538286581"
"128","0.6307808946171342","0.6307808946171342","0.6307808946171342","0.7020470053070508","0.7020470053070508","0.7020470053070508"
"132","0.6482183472327521","0.6482183472327521","0.6482183472327521","0.6929492039423806","0.6929492039423806","0.6929492039423806"
"136","0.6391205458680819","0.6391205458680819","0.6391205458680819","0.6899166034874905","0.6899166034874905","0.6899166034874905"
"140","0.640636846095527","0.640636846095527","0.640636846095527","0.6762699014404853","0.6762699014404853","0.6762699014404853"
"144","0.6512509476876421","0.6512509476876421","0.6512509476876421","0.6808188021228203","0.6808188021228203","0.6808188021228203"
"148","0.6618650492797574","0.6618650492797574","0.6618650492797574","0.6815769522365428","0.6815769522365428","0.6815769522365428"
"152","0.6626231993934799","0.6626231993934799","0.6626231993934799","0.6982562547384382","0.6982562547384382","0.6982562547384382"
"156","0.6611068991660348","0.6611068991660348","0.6611068991660348","0.6944655041698257","0.6944655041698257","0.6944655041698257"
"160","0.6702047005307051","0.6702047005307051","0.6702047005307051","0.6876421531463229","0.6876421531463229","0.6876421531463229"
"164","0.6770280515542078","0.6770280515542078","0.6770280515542078","0.6944655041698257","0.6944655041698257","0.6944655041698257"
"168","0.6664139499620925","0.6664139499620925","0.6664139499620925","0.6990144048521607","0.6990144048521607","0.6990144048521607"
"172","0.6679302501895376","0.6679302501895376","0.6679302501895376","0.6921910538286581","0.6921910538286581","0.6921910538286581"
"176","0.6603487490523123","0.6603487490523123","0.6603487490523123","0.6982562547384382","0.6982562547384382","0.6982562547384382"
"180","0.6497346474601972","0.6497346474601972","0.6497346474601972","0.6982562547384382","0.6982562547384382","0.6982562547384382"
"184","0.6482183472327521","0.6482183472327521","0.6482183472327521","0.7081122062168309","0.7081122062168309","0.7081122062168309"
"188","0.6664139499620925","0.6664139499620925","0.6664139499620925","0.6997725549658832","0.6997725549658832","0.6997725549658832"
"192","0.6580742987111448","0.6580742987111448","0.6580742987111448","0.7058377558756633","0.7058377558756633","0.7058377558756633"
"196","0.6633813495072024","0.6633813495072024","0.6633813495072024","0.7081122062168309","0.7081122062168309","0.7081122062168309"
"200","0.66565579984837","0.66565579984837","0.66565579984837","0.7126611068991661","0.7126611068991661","0.7126611068991661"
"204","0.6777862016679302","0.6777862016679302","0.6777862016679302","0.7119029567854435","0.7119029567854435","0.7119029567854435"
"208","0.66565579984837","0.66565579984837","0.66565579984837","0.7043214556482184","0.7043214556482184","0.7043214556482184"
"212","0.6747536012130402","0.6747536012130402","0.6747536012130402","0.714177407126611","0.714177407126611","0.714177407126611"
"216","0.6793025018953753","0.6793025018953753","0.6793025018953753","0.7149355572403336","0.7149355572403336","0.7149355572403336"
"220","0.6618650492797574","0.6618650492797574","0.6618650492797574","0.7376800606520091","0.7376800606520091","0.7376800606520091"
"224","0.66565579984837","0.66565579984837","0.66565579984837","0.7217589082638363","0.7217589082638363","0.7217589082638363"
"228","0.6679302501895376","0.6679302501895376","0.6679302501895376","0.7126611068991661","0.7126611068991661","0.7126611068991661"
"232","0.6694465504169825","0.6694465504169825","0.6694465504169825","0.7187263078089462","0.7187263078089462","0.7187263078089462"
"236","0.6709628506444276","0.6709628506444276","0.6709628506444276","0.7308567096285065","0.7308567096285065","0.7308567096285065"
"240","0.6702047005307051","0.6702047005307051","0.6702047005307051","0.711144806671721","0.711144806671721","0.711144806671721"
"244","0.6853677028051555","0.6853677028051555","0.6853677028051555","0.7088703563305534","0.7088703563305534","0.7088703563305534"
"248","0.6853677028051555","0.6853677028051555","0.6853677028051555","0.7058377558756633","0.7058377558756633","0.7058377558756633"
"252","0.6739954510993177","0.6739954510993177","0.6739954510993177","0.7179681576952237","0.7179681576952237","0.7179681576952237"
"256","0.6603487490523123","0.6603487490523123","0.6603487490523123","0.7217589082638363","0.7217589082638363","0.7217589082638363"
"260","","","","0.7217589082638363","0.7217589082638363","0.7217589082638363"
"264","","","","0.7050796057619408","0.7050796057619408","0.7050796057619408"
"268","","","","0.7308567096285065","0.7308567096285065","0.7308567096285065"
"272","","","","0.714177407126611","0.714177407126611","0.714177407126611"
"276","","","","0.7255496588324488","0.7255496588324488","0.7255496588324488"
"280","","","","0.7232752084912812","0.7232752084912812","0.7232752084912812"
"284","","","","0.7179681576952237","0.7179681576952237","0.7179681576952237"
"288","","","","0.7187263078089462","0.7187263078089462","0.7187263078089462"
"292","","","","0.7187263078089462","0.7187263078089462","0.7187263078089462"
"296","","","","0.7202426080363912","0.7202426080363912","0.7202426080363912"
"300","","","","0.7217589082638363","0.7217589082638363","0.7217589082638363"
"304","","","","0.7088703563305534","0.7088703563305534","0.7088703563305534"
"308","","","","0.7149355572403336","0.7149355572403336","0.7149355572403336"
"312","","","","0.714177407126611","0.714177407126611","0.714177407126611"
"316","","","","0.7149355572403336","0.7149355572403336","0.7149355572403336"
"320","","","","0.7134192570128886","0.7134192570128886","0.7134192570128886"
"324","","","","0.7149355572403336","0.7149355572403336","0.7149355572403336"
"328","","","","0.7020470053070508","0.7020470053070508","0.7020470053070508"
"332","","","","0.7073540561031084","0.7073540561031084","0.7073540561031084"
"336","","","","0.7065959059893859","0.7065959059893859","0.7065959059893859"
"340","","","","0.7073540561031084","0.7073540561031084","0.7073540561031084"
"344","","","","0.7065959059893859","0.7065959059893859","0.7065959059893859"
"348","","","","0.7164518574677786","0.7164518574677786","0.7164518574677786"
"352","","","","0.7164518574677786","0.7164518574677786","0.7164518574677786"
"356","","","","0.7081122062168309","0.7081122062168309","0.7081122062168309"
"360","","","","0.7065959059893859","0.7065959059893859","0.7065959059893859"
"364","","","","0.7119029567854435","0.7119029567854435","0.7119029567854435"
"368","","","","0.7119029567854435","0.7119029567854435","0.7119029567854435"
