"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val_response_length/test_length_correct/MATH500__MAX"
"76","455.9861111111111","455.9861111111111","455.9861111111111","211.89285714285714","211.89285714285714","211.89285714285714"
"80","371","371","371","248.6694214876033","248.6694214876033","248.6694214876033"
"84","248.02272727272728","248.02272727272728","248.02272727272728","241.904","241.904","241.904"
"88","279.041095890411","279.041095890411","279.041095890411","244.8943661971831","244.8943661971831","244.8943661971831"
"92","299.7866666666667","299.7866666666667","299.7866666666667","280.73856209150324","280.73856209150324","280.73856209150324"
"96","230.98692810457516","230.98692810457516","230.98692810457516","323.7597402597403","323.7597402597403","323.7597402597403"
"100","232.56953642384107","232.56953642384107","232.56953642384107","281.4294117647059","281.4294117647059","281.4294117647059"
"104","292.9934640522876","292.9934640522876","292.9934640522876","253.4764705882353","253.4764705882353","253.4764705882353"
"108","230.7565789473684","230.7565789473684","230.7565789473684","282.65895953757223","282.65895953757223","282.65895953757223"
"112","282.9937106918239","282.9937106918239","282.9937106918239","274.73372781065086","274.73372781065086","274.73372781065086"
"116","223.71153846153845","223.71153846153845","223.71153846153845","288.2994350282486","288.2994350282486","288.2994350282486"
"120","230.7361963190184","230.7361963190184","230.7361963190184","277.9306358381503","277.9306358381503","277.9306358381503"
"124","272.4971098265896","272.4971098265896","272.4971098265896","303.4945054945055","303.4945054945055","303.4945054945055"
"128","245.46341463414635","245.46341463414635","245.46341463414635","250.02777777777777","250.02777777777777","250.02777777777777"
"132","227.4251497005988","227.4251497005988","227.4251497005988","265.7912087912088","265.7912087912088","265.7912087912088"
"136","284.13953488372096","284.13953488372096","284.13953488372096","289.06111111111113","289.06111111111113","289.06111111111113"
"140","257.9875776397516","257.9875776397516","257.9875776397516","282.6313131313131","282.6313131313131","282.6313131313131"
"144","279.20512820512823","279.20512820512823","279.20512820512823","268.4554973821989","268.4554973821989","268.4554973821989"
"148","248.30864197530863","248.30864197530863","248.30864197530863","258.35869565217394","258.35869565217394","258.35869565217394"
"152","242.5174418604651","242.5174418604651","242.5174418604651","293.35675675675674","293.35675675675674","293.35675675675674"
"156","255.36516853932585","255.36516853932585","255.36516853932585","307.7552083333333","307.7552083333333","307.7552083333333"
"160","214.06179775280899","214.06179775280899","214.06179775280899","287.5967741935484","287.5967741935484","287.5967741935484"
"164","222.8448275862069","222.8448275862069","222.8448275862069","288.1436464088398","288.1436464088398","288.1436464088398"
"168","242.34682080924856","242.34682080924856","242.34682080924856","319.8324324324324","319.8324324324324","319.8324324324324"
"172","226.96951219512195","226.96951219512195","226.96951219512195","308.3532608695652","308.3532608695652","308.3532608695652"
"176","259.7559523809524","259.7559523809524","259.7559523809524","322.64550264550263","322.64550264550263","322.64550264550263"
"180","254.10714285714286","254.10714285714286","254.10714285714286","299.3510638297872","299.3510638297872","299.3510638297872"
"184","239.31976744186048","239.31976744186048","239.31976744186048","319.6544502617801","319.6544502617801","319.6544502617801"
"188","332.4375","332.4375","332.4375","327.91623036649213","327.91623036649213","327.91623036649213"
"192","252.33333333333334","252.33333333333334","252.33333333333334","353.1837837837838","353.1837837837838","353.1837837837838"
"196","231.47904191616766","231.47904191616766","231.47904191616766","369.17894736842106","369.17894736842106","369.17894736842106"
"200","243.9774011299435","243.9774011299435","243.9774011299435","424.44","424.44","424.44"
"204","253.84393063583815","253.84393063583815","253.84393063583815","461.6373056994819","461.6373056994819","461.6373056994819"
"208","276.73595505617976","276.73595505617976","276.73595505617976","421.5074626865672","421.5074626865672","421.5074626865672"
"212","212.7041420118343","212.7041420118343","212.7041420118343","421.6852791878173","421.6852791878173","421.6852791878173"
"216","228.26704545454547","228.26704545454547","228.26704545454547","424.14778325123154","424.14778325123154","424.14778325123154"
"220","261.64204545454544","261.64204545454544","261.64204545454544","451.6852791878173","451.6852791878173","451.6852791878173"
"224","280.16","280.16","280.16","581.39898989899","581.39898989899","581.39898989899"
"228","278.60115606936415","278.60115606936415","278.60115606936415","512.5163043478261","512.5163043478261","512.5163043478261"
"232","317.32530120481925","317.32530120481925","317.32530120481925","422.30054644808746","422.30054644808746","422.30054644808746"
"236","216.20833333333334","216.20833333333334","216.20833333333334","498.22872340425533","498.22872340425533","498.22872340425533"
"240","246.1878787878788","246.1878787878788","246.1878787878788","472.7142857142857","472.7142857142857","472.7142857142857"
"244","285.5674157303371","285.5674157303371","285.5674157303371","502.3404255319149","502.3404255319149","502.3404255319149"
"248","311.4888888888889","311.4888888888889","311.4888888888889","574.4702970297029","574.4702970297029","574.4702970297029"
"252","284.14814814814815","284.14814814814815","284.14814814814815","568.4070351758794","568.4070351758794","568.4070351758794"
"256","324.4393063583815","324.4393063583815","324.4393063583815","439.27363184079604","439.27363184079604","439.27363184079604"
"260","","","","620.8627450980392","620.8627450980392","620.8627450980392"
"264","","","","741.6492890995261","741.6492890995261","741.6492890995261"
"268","","","","551.6030150753769","551.6030150753769","551.6030150753769"
"272","","","","521.7254901960785","521.7254901960785","521.7254901960785"
"276","","","","593.6528497409327","593.6528497409327","593.6528497409327"
"280","","","","597.8495145631068","597.8495145631068","597.8495145631068"
"284","","","","612.2821782178218","612.2821782178218","612.2821782178218"
"288","","","","633.1917098445596","633.1917098445596","633.1917098445596"
"292","","","","472.9704433497537","472.9704433497537","472.9704433497537"
"296","","","","620.1515151515151","620.1515151515151","620.1515151515151"
"300","","","","688.3523809523809","688.3523809523809","688.3523809523809"
"304","","","","689.3816425120773","689.3816425120773","689.3816425120773"
"308","","","","731.0666666666667","731.0666666666667","731.0666666666667"
"312","","","","519.8324873096446","519.8324873096446","519.8324873096446"
"316","","","","764.7853403141361","764.7853403141361","764.7853403141361"
"320","","","","929.2985074626865","929.2985074626865","929.2985074626865"
"324","","","","900.7254901960785","900.7254901960785","900.7254901960785"
"328","","","","1116.8426395939086","1116.8426395939086","1116.8426395939086"
"332","","","","1344.8125","1344.8125","1344.8125"
"336","","","","1560.9455445544554","1560.9455445544554","1560.9455445544554"
"340","","","","1330.8926829268294","1330.8926829268294","1330.8926829268294"
"344","","","","1287.799043062201","1287.799043062201","1287.799043062201"
"348","","","","1295.273631840796","1295.273631840796","1295.273631840796"
"352","","","","1411.4405940594058","1411.4405940594058","1411.4405940594058"
"356","","","","1269.6568627450981","1269.6568627450981","1269.6568627450981"
"360","","","","1315.0656565656566","1315.0656565656566","1315.0656565656566"
"364","","","","872.1256281407035","872.1256281407035","872.1256281407035"
"368","","","","1212.328431372549","1212.328431372549","1212.328431372549"
