"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/OlympiadBench","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val/test_score/OlympiadBench","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val/test_score/OlympiadBench__MAX"
"60","0.0638930163447251","0.0638930163447251","0.0638930163447251","0.06537890044576523","0.06537890044576523","0.06537890044576523"
"64","0.06983655274888559","0.06983655274888559","0.06983655274888559","0.06686478454680535","0.06686478454680535","0.06686478454680535"
"68","0.06686478454680535","0.06686478454680535","0.06686478454680535","0.06983655274888559","0.06983655274888559","0.06983655274888559"
"72","0.07280832095096583","0.07280832095096583","0.07280832095096583","0.07578008915304606","0.07578008915304606","0.07578008915304606"
"76","0.07280832095096583","0.07280832095096583","0.07280832095096583","0.07280832095096583","0.07280832095096583","0.07280832095096583"
"80","0.0713224368499257","0.0713224368499257","0.0713224368499257","0.08172362555720654","0.08172362555720654","0.08172362555720654"
"84","0.0861812778603269","0.0861812778603269","0.0861812778603269","0.08023774145616643","0.08023774145616643","0.08023774145616643"
"88","0.09955423476968796","0.09955423476968796","0.09955423476968796","0.07280832095096583","0.07280832095096583","0.07280832095096583"
"92","0.08915304606240713","0.08915304606240713","0.08915304606240713","0.07578008915304606","0.07578008915304606","0.07578008915304606"
"96","0.0950965824665676","0.0950965824665676","0.0950965824665676","0.0950965824665676","0.0950965824665676","0.0950965824665676"
"100","0.08320950965824665","0.08320950965824665","0.08320950965824665","0.0861812778603269","0.0861812778603269","0.0861812778603269"
"104","0.09361069836552749","0.09361069836552749","0.09361069836552749","0.09361069836552749","0.09361069836552749","0.09361069836552749"
"108","0.07578008915304606","0.07578008915304606","0.07578008915304606","0.10549777117384844","0.10549777117384844","0.10549777117384844"
"112","0.09063893016344725","0.09063893016344725","0.09063893016344725","0.1188707280832095","0.1188707280832095","0.1188707280832095"
"116","0.09806835066864784","0.09806835066864784","0.09806835066864784","0.10401188707280833","0.10401188707280833","0.10401188707280833"
"120","0.08320950965824665","0.08320950965824665","0.08320950965824665","0.10698365527488855","0.10698365527488855","0.10698365527488855"
"124","0.09063893016344725","0.09063893016344725","0.09063893016344725","0.12035661218424963","0.12035661218424963","0.12035661218424963"
"128","0.0787518573551263","0.0787518573551263","0.0787518573551263","0.1277860326894502","0.1277860326894502","0.1277860326894502"
"132","0.07578008915304606","0.07578008915304606","0.07578008915304606","0.12927191679049035","0.12927191679049035","0.12927191679049035"
"136","0.08766716196136701","0.08766716196136701","0.08766716196136701","0.11589895988112928","0.11589895988112928","0.11589895988112928"
"140","0.08469539375928678","0.08469539375928678","0.08469539375928678","0.1188707280832095","0.1188707280832095","0.1188707280832095"
"144","0.09658246656760773","0.09658246656760773","0.09658246656760773","0.11589895988112928","0.11589895988112928","0.11589895988112928"
"148","0.0950965824665676","0.0950965824665676","0.0950965824665676","0.11292719167904904","0.11292719167904904","0.11292719167904904"
"152","0.09361069836552749","0.09361069836552749","0.09361069836552749","0.13075780089153047","0.13075780089153047","0.13075780089153047"
"156","0.09658246656760773","0.09658246656760773","0.09658246656760773","0.11144130757800892","0.11144130757800892","0.11144130757800892"
"160","0.10846953937592868","0.10846953937592868","0.10846953937592868","0.12332838038632987","0.12332838038632987","0.12332838038632987"
"164","0.1025260029717682","0.1025260029717682","0.1025260029717682","0.11738484398216939","0.11738484398216939","0.11738484398216939"
"168","0.10401188707280833","0.10401188707280833","0.10401188707280833","0.1025260029717682","0.1025260029717682","0.1025260029717682"
"172","0.10401188707280833","0.10401188707280833","0.10401188707280833","0.11292719167904904","0.11292719167904904","0.11292719167904904"
"176","0.10549777117384844","0.10549777117384844","0.10549777117384844","0.11589895988112928","0.11589895988112928","0.11589895988112928"
"180","0.1025260029717682","0.1025260029717682","0.1025260029717682","0.11441307578008915","0.11441307578008915","0.11441307578008915"
"184","0.10549777117384844","0.10549777117384844","0.10549777117384844","0.11441307578008915","0.11441307578008915","0.11441307578008915"
"188","0.10698365527488855","0.10698365527488855","0.10698365527488855","0.11589895988112928","0.11589895988112928","0.11589895988112928"
"192","0.10549777117384844","0.10549777117384844","0.10549777117384844","0.12035661218424963","0.12035661218424963","0.12035661218424963"
"196","0.09658246656760773","0.09658246656760773","0.09658246656760773","0.13075780089153047","0.13075780089153047","0.13075780089153047"
"200","0.1099554234769688","0.1099554234769688","0.1099554234769688","0.13818722139673106","0.13818722139673106","0.13818722139673106"
"204","0.11589895988112928","0.11589895988112928","0.11589895988112928","0.12332838038632987","0.12332838038632987","0.12332838038632987"
"208","0.10549777117384844","0.10549777117384844","0.10549777117384844","0.1277860326894502","0.1277860326894502","0.1277860326894502"
"212","0.09361069836552749","0.09361069836552749","0.09361069836552749","0.13818722139673106","0.13818722139673106","0.13818722139673106"
"216","0.09658246656760773","0.09658246656760773","0.09658246656760773","0.11292719167904904","0.11292719167904904","0.11292719167904904"
"220","0.0861812778603269","0.0861812778603269","0.0861812778603269","0.11441307578008915","0.11441307578008915","0.11441307578008915"
"224","0.09806835066864784","0.09806835066864784","0.09806835066864784","0.13075780089153047","0.13075780089153047","0.13075780089153047"
"228","0.09063893016344725","0.09063893016344725","0.09063893016344725","0.1352154531946508","0.1352154531946508","0.1352154531946508"
"232","0.10846953937592868","0.10846953937592868","0.10846953937592868","0.12927191679049035","0.12927191679049035","0.12927191679049035"
"236","0.11589895988112928","0.11589895988112928","0.11589895988112928","0.14561664190193166","0.14561664190193166","0.14561664190193166"
"240","0.11292719167904904","0.11292719167904904","0.11292719167904904","0.1352154531946508","0.1352154531946508","0.1352154531946508"
"244","0.1188707280832095","0.1188707280832095","0.1188707280832095","0.13967310549777118","0.13967310549777118","0.13967310549777118"
"248","0.1099554234769688","0.1099554234769688","0.1099554234769688","0.13075780089153047","0.13075780089153047","0.13075780089153047"
"252","0.10698365527488855","0.10698365527488855","0.10698365527488855","0.1337295690936107","0.1337295690936107","0.1337295690936107"
"256","0.10698365527488855","0.10698365527488855","0.10698365527488855","0.12332838038632987","0.12332838038632987","0.12332838038632987"
"260","","","","0.13670133729569092","0.13670133729569092","0.13670133729569092"
"264","","","","0.1263001485884101","0.1263001485884101","0.1263001485884101"
"268","","","","0.11144130757800892","0.11144130757800892","0.11144130757800892"
"272","","","","0.12481426448736999","0.12481426448736999","0.12481426448736999"
"276","","","","0.12332838038632987","0.12332838038632987","0.12332838038632987"
"280","","","","0.12481426448736999","0.12481426448736999","0.12481426448736999"
"284","","","","0.11292719167904904","0.11292719167904904","0.11292719167904904"
"288","","","","0.13818722139673106","0.13818722139673106","0.13818722139673106"
"292","","","","0.11292719167904904","0.11292719167904904","0.11292719167904904"
"296","","","","0.12332838038632987","0.12332838038632987","0.12332838038632987"
"300","","","","0.12184249628528974","0.12184249628528974","0.12184249628528974"
"304","","","","0.13224368499257058","0.13224368499257058","0.13224368499257058"
"308","","","","0.11738484398216939","0.11738484398216939","0.11738484398216939"
"312","","","","0.12332838038632987","0.12332838038632987","0.12332838038632987"
"316","","","","0.1277860326894502","0.1277860326894502","0.1277860326894502"
"320","","","","0.11738484398216939","0.11738484398216939","0.11738484398216939"
"324","","","","0.11738484398216939","0.11738484398216939","0.11738484398216939"
"328","","","","0.13224368499257058","0.13224368499257058","0.13224368499257058"
"332","","","","0.13224368499257058","0.13224368499257058","0.13224368499257058"
"336","","","","0.1352154531946508","0.1352154531946508","0.1352154531946508"
"340","","","","0.14710252600297177","0.14710252600297177","0.14710252600297177"
"344","","","","0.12332838038632987","0.12332838038632987","0.12332838038632987"
"348","","","","0.1426448736998514","0.1426448736998514","0.1426448736998514"
"352","","","","0.1352154531946508","0.1352154531946508","0.1352154531946508"
"356","","","","0.13224368499257058","0.13224368499257058","0.13224368499257058"
"360","","","","0.1411589895988113","0.1411589895988113","0.1411589895988113"
"364","","","","0.1337295690936107","0.1337295690936107","0.1337295690936107"
"368","","","","0.1485884101040119","0.1485884101040119","0.1485884101040119"
