"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val_response_length/test_length_correct/GSM8k__MAX"
"228","159.54370034052212","159.54370034052212","159.54370034052212","243.47978723404256","243.47978723404256","243.47978723404256"
"232","151.72480181200453","151.72480181200453","151.72480181200453","238.39978902953587","238.39978902953587","238.39978902953587"
"236","149.24067796610169","149.24067796610169","149.24067796610169","246.7780082987552","246.7780082987552","246.7780082987552"
"240","151.97058823529412","151.97058823529412","151.97058823529412","255.86140724946696","255.86140724946696","255.86140724946696"
"244","145.87721238938053","145.87721238938053","145.87721238938053","270.05026737967916","270.05026737967916","270.05026737967916"
"248","153.20575221238937","153.20575221238937","153.20575221238937","253.484425349087","253.484425349087","253.484425349087"
"252","155.74690663667042","155.74690663667042","155.74690663667042","249.76029567053854","249.76029567053854","249.76029567053854"
"256","149.28932261768082","149.28932261768082","149.28932261768082","255.1575630252101","255.1575630252101","255.1575630252101"
"260","","","","279.39600840336135","279.39600840336135","279.39600840336135"
"264","","","","269.2881720430108","269.2881720430108","269.2881720430108"
"268","","","","255.66701244813277","255.66701244813277","255.66701244813277"
"272","","","","258.2664543524416","258.2664543524416","258.2664543524416"
"276","","","","261.26645768025077","261.26645768025077","261.26645768025077"
"280","","","","258.1142557651992","258.1142557651992","258.1142557651992"
"284","","","","257.64625131995774","257.64625131995774","257.64625131995774"
"288","","","","251.2289029535865","251.2289029535865","251.2289029535865"
"292","","","","266.042194092827","266.042194092827","266.042194092827"
"296","","","","239.9978947368421","239.9978947368421","239.9978947368421"
"300","","","","238.1638655462185","238.1638655462185","238.1638655462185"
"304","","","","255.75508021390374","255.75508021390374","255.75508021390374"
"308","","","","281.1845174973489","281.1845174973489","281.1845174973489"
"312","","","","265.13057324840764","265.13057324840764","265.13057324840764"
"316","","","","277.2661717921527","277.2661717921527","277.2661717921527"
"320","","","","303.67056323060575","303.67056323060575","303.67056323060575"
"324","","","","306.609756097561","306.609756097561","306.609756097561"
"328","","","","371.36177105831536","371.36177105831536","371.36177105831536"
"332","","","","426.97213290460877","426.97213290460877","426.97213290460877"
"336","","","","419.2199570815451","419.2199570815451","419.2199570815451"
"340","","","","373.2486602357985","373.2486602357985","373.2486602357985"
"344","","","","346.9624463519313","346.9624463519313","346.9624463519313"
"348","","","","350.84021164021163","350.84021164021163","350.84021164021163"
"352","","","","390.53862433862435","390.53862433862435","390.53862433862435"
"356","","","","415.02462526766595","415.02462526766595","415.02462526766595"
"360","","","","347.81545064377684","347.81545064377684","347.81545064377684"
"364","","","","293.7838125665602","293.7838125665602","293.7838125665602"
"368","","","","322.3312034078807","322.3312034078807","322.3312034078807"
