"Step","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val/test_score/MATH500","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val/test_score/MATH500","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val/test_score/MATH500","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val/test_score/MATH500__MAX"
"228","0.554","0.554","0.554","0.582","0.582","0.582","0.65","0.65","0.65"
"232","0.568","0.568","0.568","0.56","0.56","0.56","0.658","0.658","0.658"
"236","0.578","0.578","0.578","0.588","0.588","0.588","0.664","0.664","0.664"
"240","0.58","0.58","0.58","0.576","0.576","0.576","0.64","0.64","0.64"
"244","0.58","0.58","0.58","0.598","0.598","0.598","0.64","0.64","0.64"
"248","0.576","0.576","0.576","0.578","0.578","0.578","0.676","0.676","0.676"
"252","0.582","0.582","0.582","0.562","0.562","0.562","0.636","0.636","0.636"
"256","0.584","0.584","0.584","0.586","0.586","0.586","0.634","0.634","0.634"
"260","0.558","0.558","0.558","0.59","0.59","0.59","0.62","0.62","0.62"
"264","0.588","0.588","0.588","0.582","0.582","0.582","0.662","0.662","0.662"
"268","0.586","0.586","0.586","0.584","0.584","0.584","0.658","0.658","0.658"
"272","0.568","0.568","0.568","0.572","0.572","0.572","0.658","0.658","0.658"
"276","0.56","0.56","0.56","0.592","0.592","0.592","0.674","0.674","0.674"
"280","0.554","0.554","0.554","0.578","0.578","0.578","0.66","0.66","0.66"
"284","0.572","0.572","0.572","0.588","0.588","0.588","0.666","0.666","0.666"
"288","0.566","0.566","0.566","0.602","0.602","0.602","0.634","0.634","0.634"
"292","0.56","0.56","0.56","0.6","0.6","0.6","0.644","0.644","0.644"
"296","0.578","0.578","0.578","0.586","0.586","0.586","0.658","0.658","0.658"
"300","0.556","0.556","0.556","0.604","0.604","0.604","0.652","0.652","0.652"
"304","0.558","0.558","0.558","0.588","0.588","0.588","","",""
"308","0.586","0.586","0.586","0.584","0.584","0.584","","",""
"312","0.562","0.562","0.562","0.594","0.594","0.594","","",""
"316","0.564","0.564","0.564","0.574","0.574","0.574","","",""
"320","0.552","0.552","0.552","0.594","0.594","0.594","","",""
"324","0.56","0.56","0.56","0.564","0.564","0.564","","",""
"328","0.562","0.562","0.562","0.574","0.574","0.574","","",""
"332","0.572","0.572","0.572","0.59","0.59","0.59","","",""
"336","0.576","0.576","0.576","0.586","0.586","0.586","","",""
"340","0.562","0.562","0.562","0.584","0.584","0.584","","",""
"344","0.546","0.546","0.546","0.572","0.572","0.572","","",""
"348","0.56","0.56","0.56","0.592","0.592","0.592","","",""
"352","0.58","0.58","0.58","0.582","0.582","0.582","","",""
"356","0.576","0.576","0.576","0.58","0.58","0.58","","",""
"360","0.554","0.554","0.554","0.582","0.582","0.582","","",""
"364","0.558","0.558","0.558","0.604","0.604","0.604","","",""
"368","0.566","0.566","0.566","0.598","0.598","0.598","","",""
"372","0.564","0.564","0.564","0.59","0.59","0.59","","",""
"376","0.566","0.566","0.566","0.586","0.586","0.586","","",""
"380","0.556","0.556","0.556","0.604","0.604","0.604","","",""
"384","0.56","0.56","0.56","0.61","0.61","0.61","","",""
"388","0.564","0.564","0.564","0.594","0.594","0.594","","",""
"392","0.562","0.562","0.562","0.578","0.578","0.578","","",""
"396","0.542","0.542","0.542","0.598","0.598","0.598","","",""
"400","0.558","0.558","0.558","0.584","0.584","0.584","","",""
"404","0.568","0.568","0.568","0.566","0.566","0.566","","",""
"408","0.584","0.584","0.584","0.58","0.58","0.58","","",""
"412","0.566","0.566","0.566","0.598","0.598","0.598","","",""
"416","0.572","0.572","0.572","0.59","0.59","0.59","","",""
"420","0.552","0.552","0.552","0.6","0.6","0.6","","",""
"424","0.564","0.564","0.564","0.586","0.586","0.586","","",""
"428","0.558","0.558","0.558","0.576","0.576","0.576","","",""
"432","0.568","0.568","0.568","0.586","0.586","0.586","","",""
"436","0.572","0.572","0.572","0.588","0.588","0.588","","",""
"440","0.546","0.546","0.546","0.582","0.582","0.582","","",""
"444","0.548","0.548","0.548","0.588","0.588","0.588","","",""
"448","0.544","0.544","0.544","0.6","0.6","0.6","","",""
"452","0.564","0.564","0.564","0.598","0.598","0.598","","",""
"456","0.546","0.546","0.546","0.584","0.584","0.584","","",""
"460","0.556","0.556","0.556","0.586","0.586","0.586","","",""
"464","0.55","0.55","0.55","0.586","0.586","0.586","","",""
"468","0.562","0.562","0.562","0.574","0.574","0.574","","",""
"472","0.556","0.556","0.556","0.588","0.588","0.588","","",""
"476","0.572","0.572","0.572","0.588","0.588","0.588","","",""
"480","0.538","0.538","0.538","0.584","0.584","0.584","","",""
"484","0.544","0.544","0.544","0.588","0.588","0.588","","",""
"488","0.55","0.55","0.55","0.6","0.6","0.6","","",""
"492","0.562","0.562","0.562","0.626","0.626","0.626","","",""
"496","0.562","0.562","0.562","0.612","0.612","0.612","","",""
"500","0.584","0.584","0.584","0.606","0.606","0.606","","",""
"504","0.576","0.576","0.576","0.58","0.58","0.58","","",""
"508","0.552","0.552","0.552","0.584","0.584","0.584","","",""
"512","0.564","0.564","0.564","0.586","0.586","0.586","","",""
"516","0.558","0.558","0.558","0.598","0.598","0.598","","",""
"520","0.546","0.546","0.546","0.604","0.604","0.604","","",""
"524","0.556","0.556","0.556","0.6","0.6","0.6","","",""
"528","0.552","0.552","0.552","0.598","0.598","0.598","","",""
"532","0.548","0.548","0.548","0.576","0.576","0.576","","",""
"536","0.544","0.544","0.544","0.602","0.602","0.602","","",""
"540","0.552","0.552","0.552","0.594","0.594","0.594","","",""
"544","0.536","0.536","0.536","0.578","0.578","0.578","","",""
"548","0.542","0.542","0.542","0.596","0.596","0.596","","",""
"552","0.548","0.548","0.548","0.59","0.59","0.59","","",""
"556","0.518","0.518","0.518","0.584","0.584","0.584","","",""
"560","0.546","0.546","0.546","0.576","0.576","0.576","","",""
"564","0.554","0.554","0.554","0.586","0.586","0.586","","",""
"568","0.548","0.548","0.548","0.582","0.582","0.582","","",""
"572","0.53","0.53","0.53","0.584","0.584","0.584","","",""
"576","0.532","0.532","0.532","0.586","0.586","0.586","","",""
"580","0.558","0.558","0.558","0.578","0.578","0.578","","",""
"584","0.55","0.55","0.55","0.588","0.588","0.588","","",""
"588","0.556","0.556","0.556","0.598","0.598","0.598","","",""
"592","0.518","0.518","0.518","0.592","0.592","0.592","","",""
"596","0.544","0.544","0.544","0.604","0.604","0.604","","",""
"600","0.538","0.538","0.538","0.608","0.608","0.608","","",""
"604","0.566","0.566","0.566","0.594","0.594","0.594","","",""
"608","","","","0.58","0.58","0.58","","",""
"612","","","","0.608","0.608","0.608","","",""
"616","","","","0.582","0.582","0.582","","",""
"620","","","","0.604","0.604","0.604","","",""
"624","","","","0.594","0.594","0.594","","",""
"628","","","","0.572","0.572","0.572","","",""
"632","","","","0.592","0.592","0.592","","",""
"636","","","","0.576","0.576","0.576","","",""
"640","","","","0.574","0.574","0.574","","",""
"644","","","","0.588","0.588","0.588","","",""
"648","","","","0.596","0.596","0.596","","",""
"652","","","","0.574","0.574","0.574","","",""
"656","","","","0.596","0.596","0.596","","",""
"660","","","","0.582","0.582","0.582","","",""
"664","","","","0.578","0.578","0.578","","",""
"668","","","","0.58","0.58","0.58","","",""
