"Step","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/GSM8k__MAX"
"40","197.9443396226415","197.9443396226415","197.9443396226415","210.01913875598086","210.01913875598086","210.01913875598086","392.5772511848341","392.5772511848341","392.5772511848341"
"44","194.55315145813734","194.55315145813734","194.55315145813734","207.24324324324326","207.24324324324326","207.24324324324326","437.7992530345472","437.7992530345472","437.7992530345472"
"48","195.83597390493944","195.83597390493944","195.83597390493944","205.626204238921","205.626204238921","205.626204238921","439.1933333333333","439.1933333333333","439.1933333333333"
"52","195.29591836734693","195.29591836734693","195.29591836734693","202.88666666666666","202.88666666666666","202.88666666666666","442.5830985915493","442.5830985915493","442.5830985915493"
"56","194.53034547152194","194.53034547152194","194.53034547152194","200.96682464454977","200.96682464454977","200.96682464454977","435.1877890841813","435.1877890841813","435.1877890841813"
"60","199.20880149812734","199.20880149812734","199.20880149812734","202.98690364826942","202.98690364826942","202.98690364826942","436.37095282146163","436.37095282146163","436.37095282146163"
"64","204.6","204.6","204.6","200.2996254681648","200.2996254681648","200.2996254681648","448.13678373382623","448.13678373382623","448.13678373382623"
"68","198.88328664799252","198.88328664799252","198.88328664799252","196.22535211267606","196.22535211267606","196.22535211267606","515.1555555555556","515.1555555555556","515.1555555555556"
"72","197.81478016838167","197.81478016838167","197.81478016838167","197.19248826291079","197.19248826291079","197.19248826291079","555.7287977632806","555.7287977632806","555.7287977632806"
"76","201.22263797942003","201.22263797942003","201.22263797942003","199.2922077922078","199.2922077922078","199.2922077922078","655.6939338235294","655.6939338235294","655.6939338235294"
"80","209.51899907321595","209.51899907321595","209.51899907321595","201.12962962962962","201.12962962962962","201.12962962962962","686.2092391304348","686.2092391304348","686.2092391304348"
"84","212.86155285313376","212.86155285313376","212.86155285313376","211.30252100840337","211.30252100840337","211.30252100840337","645.6730593607306","645.6730593607306","645.6730593607306"
"88","211.4568245125348","211.4568245125348","211.4568245125348","211.8449248120301","211.8449248120301","211.8449248120301","580.5922509225093","580.5922509225093","580.5922509225093"
"92","207.37825278810408","207.37825278810408","207.37825278810408","209.8336483931947","209.8336483931947","209.8336483931947","535.4196185286104","535.4196185286104","535.4196185286104"
"96","210.39332096474953","210.39332096474953","210.39332096474953","212.81006647673314","212.81006647673314","212.81006647673314","550.1278748850046","550.1278748850046","550.1278748850046"
"100","206.4679069767442","206.4679069767442","206.4679069767442","221.2067352666043","221.2067352666043","221.2067352666043","571.111812443643","571.111812443643","571.111812443643"
"104","202.2292817679558","202.2292817679558","202.2292817679558","220.35135135135135","220.35135135135135","220.35135135135135","584.2518050541516","584.2518050541516","584.2518050541516"
"108","203.92764378478665","203.92764378478665","203.92764378478665","220.05535055350555","220.05535055350555","220.05535055350555","581.132007233273","581.132007233273","581.132007233273"
"112","208.11666666666667","208.11666666666667","208.11666666666667","218.35492700729927","218.35492700729927","218.35492700729927","592.1407942238267","592.1407942238267","592.1407942238267"
"116","211.57670979667282","211.57670979667282","211.57670979667282","212.0310502283105","212.0310502283105","212.0310502283105","615.7785714285715","615.7785714285715","615.7785714285715"
"120","217.59310986964618","217.59310986964618","217.59310986964618","212.83241758241758","212.83241758241758","212.83241758241758","595.6910569105692","595.6910569105692","595.6910569105692"
"124","214.38737040527803","214.38737040527803","214.38737040527803","208.1849816849817","208.1849816849817","208.1849816849817","601.4521038495972","601.4521038495972","601.4521038495972"
"128","220.53162236480293","220.53162236480293","220.53162236480293","214.53253895508706","214.53253895508706","214.53253895508706","615.8618834080718","615.8618834080718","615.8618834080718"
"132","216.17034990791896","216.17034990791896","216.17034990791896","218.1416819012797","218.1416819012797","218.1416819012797","626.5330979699912","626.5330979699912","626.5330979699912"
"136","211.9551282051282","211.9551282051282","211.9551282051282","213.99724770642203","213.99724770642203","213.99724770642203","631.0704099821747","631.0704099821747","631.0704099821747"
"140","215.01939058171746","215.01939058171746","215.01939058171746","217.11111111111111","217.11111111111111","217.11111111111111","633.9326241134752","633.9326241134752","633.9326241134752"
"144","214.5864312267658","214.5864312267658","214.5864312267658","213.18995433789954","213.18995433789954","213.18995433789954","622.1161751563897","622.1161751563897","622.1161751563897"
"148","214.64995357474467","214.64995357474467","214.64995357474467","213.82086795937212","213.82086795937212","213.82086795937212","643.9532627865962","643.9532627865962","643.9532627865962"
"152","210.10335195530726","210.10335195530726","210.10335195530726","214.92490842490844","214.92490842490844","214.92490842490844","626.5977212971078","626.5977212971078","626.5977212971078"
"156","210.63805970149255","210.63805970149255","210.63805970149255","212.53803339517626","212.53803339517626","212.53803339517626","661.5447368421053","661.5447368421053","661.5447368421053"
"160","209.8560677328316","209.8560677328316","209.8560677328316","210.08394833948338","210.08394833948338","210.08394833948338","665.9086839749328","665.9086839749328","665.9086839749328"
"164","209.578007518797","209.578007518797","209.578007518797","216.91803278688525","216.91803278688525","216.91803278688525","682.806167400881","682.806167400881","682.806167400881"
"168","208.1641651031895","208.1641651031895","208.1641651031895","209.33454545454546","209.33454545454546","209.33454545454546","723.9390681003584","723.9390681003584","723.9390681003584"
"172","205.6089803554724","205.6089803554724","205.6089803554724","200.8875685557587","200.8875685557587","200.8875685557587","716.2526690391459","716.2526690391459","716.2526690391459"
"176","203.74169741697418","203.74169741697418","203.74169741697418","200.26051188299817","200.26051188299817","200.26051188299817","699.3065953654188","699.3065953654188","699.3065953654188"
"180","206.74250936329588","206.74250936329588","206.74250936329588","198.44647758462946","198.44647758462946","198.44647758462946","706.8577699736611","706.8577699736611","706.8577699736611"
"184","210.64022140221402","210.64022140221402","210.64022140221402","199.25114573785518","199.25114573785518","199.25114573785518","655.692787177204","655.692787177204","655.692787177204"
"188","217.08818011257037","217.08818011257037","217.08818011257037","201.74930875576038","201.74930875576038","201.74930875576038","635.2424778761062","635.2424778761062","635.2424778761062"
"192","215.4577981651376","215.4577981651376","215.4577981651376","200.7145471180238","200.7145471180238","200.7145471180238","634.5577439570277","634.5577439570277","634.5577439570277"
"196","215.5983455882353","215.5983455882353","215.5983455882353","203.03184713375796","203.03184713375796","203.03184713375796","654.4297224709042","654.4297224709042","654.4297224709042"
"200","214.48073394495412","214.48073394495412","214.48073394495412","198.13686131386862","198.13686131386862","198.13686131386862","680.341918294849","680.341918294849","680.341918294849"
"204","211.07155963302753","211.07155963302753","211.07155963302753","201.2027397260274","201.2027397260274","201.2027397260274","675.762118491921","675.762118491921","675.762118491921"
"208","210.22355105795768","210.22355105795768","210.22355105795768","198.2836230558097","198.2836230558097","198.2836230558097","665.7893333333334","665.7893333333334","665.7893333333334"
"212","215.49403122130394","215.49403122130394","215.49403122130394","193.85529953917052","193.85529953917052","193.85529953917052","688.0464285714286","688.0464285714286","688.0464285714286"
"216","211.12292051756006","211.12292051756006","211.12292051756006","189.099173553719","189.099173553719","189.099173553719","684.9138240574506","684.9138240574506","684.9138240574506"
"220","216.61166818596172","216.61166818596172","216.61166818596172","203.34249084249083","203.34249084249083","203.34249084249083","744.0913160250672","744.0913160250672","744.0913160250672"
"224","215.02762430939225","215.02762430939225","215.02762430939225","208.32996323529412","208.32996323529412","208.32996323529412","661.0556537102474","661.0556537102474","661.0556537102474"
"228","211.5560704355885","211.5560704355885","211.5560704355885","207.46569075937785","207.46569075937785","207.46569075937785","671.6439195100612","671.6439195100612","671.6439195100612"
"232","215.54445462878093","215.54445462878093","215.54445462878093","211.27388535031847","211.27388535031847","211.27388535031847","715.1460573476703","715.1460573476703","715.1460573476703"
"236","214.0637707948244","214.0637707948244","214.0637707948244","214.1938125568699","214.1938125568699","214.1938125568699","733.0607929515419","733.0607929515419","733.0607929515419"
"240","215.04730983302412","215.04730983302412","215.04730983302412","216.69028156221617","216.69028156221617","216.69028156221617","750.0284697508897","750.0284697508897","750.0284697508897"
"244","217.88468634686348","217.88468634686348","217.88468634686348","215.10183486238532","215.10183486238532","215.10183486238532","761.0408163265306","761.0408163265306","761.0408163265306"
"248","220.75510204081633","220.75510204081633","220.75510204081633","216.79779411764707","216.79779411764707","216.79779411764707","833.7555358724535","833.7555358724535","833.7555358724535"
"252","216.60420475319927","216.60420475319927","216.60420475319927","220.30627306273064","220.30627306273064","220.30627306273064","869.3784753363228","869.3784753363228","869.3784753363228"
"256","217.70680147058823","217.70680147058823","217.70680147058823","222.5889908256881","222.5889908256881","222.5889908256881","923.3994589720469","923.3994589720469","923.3994589720469"
"260","217.61111111111111","217.61111111111111","217.61111111111111","219.64483394833948","219.64483394833948","219.64483394833948","883.3282097649186","883.3282097649186","883.3282097649186"
"264","222.43599257884972","222.43599257884972","222.43599257884972","212.17442922374428","212.17442922374428","212.17442922374428","904.0519713261649","904.0519713261649","904.0519713261649"
"268","223.8056338028169","223.8056338028169","223.8056338028169","217.08532110091744","217.08532110091744","217.08532110091744","991.2477638640429","991.2477638640429","991.2477638640429"
"272","225.38339552238807","225.38339552238807","225.38339552238807","212.45521698984302","212.45521698984302","212.45521698984302","1014.6440677966102","1014.6440677966102","1014.6440677966102"
"276","218.62662942271882","218.62662942271882","218.62662942271882","209.28624192059095","209.28624192059095","209.28624192059095","1005.2591273374888","1005.2591273374888","1005.2591273374888"
"280","217","217","217","210.1403345724907","210.1403345724907","210.1403345724907","1007.9768683274021","1007.9768683274021","1007.9768683274021"
"284","217.65054744525548","217.65054744525548","217.65054744525548","208.60422405876952","208.60422405876952","208.60422405876952","945.5547640249332","945.5547640249332","945.5547640249332"
"288","214.2589861751152","214.2589861751152","214.2589861751152","210.00828729281767","210.00828729281767","210.00828729281767","943.3436944937833","943.3436944937833","943.3436944937833"
"292","215.98178506375228","215.98178506375228","215.98178506375228","214.98620055197793","214.98620055197793","214.98620055197793","891.2944896115628","891.2944896115628","891.2944896115628"
"296","217.82159194876488","217.82159194876488","217.82159194876488","212.27634011090572","212.27634011090572","212.27634011090572","941.445632798574","941.445632798574","941.445632798574"
"300","214.99539594843463","214.99539594843463","214.99539594843463","212.38369963369962","212.38369963369962","212.38369963369962","1081.0203180212013","1081.0203180212013","1081.0203180212013"
"304","219.9324817518248","219.9324817518248","219.9324817518248","209.04866850321395","209.04866850321395","209.04866850321395","","",""
"308","217.85171455050974","217.85171455050974","217.85171455050974","213.9981718464351","213.9981718464351","213.9981718464351","","",""
"312","222.3409926470588","222.3409926470588","222.3409926470588","211.82315405651778","211.82315405651778","211.82315405651778","","",""
"316","228.13774104683196","228.13774104683196","228.13774104683196","214.9917808219178","214.9917808219178","214.9917808219178","","",""
"320","226.09805735430157","226.09805735430157","226.09805735430157","215.41858325666973","215.41858325666973","215.41858325666973","","",""
"324","226.89743589743588","226.89743589743588","226.89743589743588","211.83594470046083","211.83594470046083","211.83594470046083","","",""
"328","220.59314179796107","220.59314179796107","220.59314179796107","218.69605142332415","218.69605142332415","218.69605142332415","","",""
"332","219.9814814814815","219.9814814814815","219.9814814814815","216.2349177330896","216.2349177330896","216.2349177330896","","",""
"336","221.69816513761467","221.69816513761467","221.69816513761467","216.15496809480402","216.15496809480402","216.15496809480402","","",""
"340","218.81515711645102","218.81515711645102","218.81515711645102","215.87351054078826","215.87351054078826","215.87351054078826","","",""
"344","227.91452205882354","227.91452205882354","227.91452205882354","213.14784205693297","213.14784205693297","213.14784205693297","","",""
"348","230.65925925925927","230.65925925925927","230.65925925925927","220.9267399267399","220.9267399267399","220.9267399267399","","",""
"352","232.44526901669758","232.44526901669758","232.44526901669758","221.78884826325412","221.78884826325412","221.78884826325412","","",""
"356","233.89084181313598","233.89084181313598","233.89084181313598","221.70642201834863","221.70642201834863","221.70642201834863","","",""
"360","236.92660550458714","236.92660550458714","236.92660550458714","218.9589416058394","218.9589416058394","218.9589416058394","","",""
"364","227.8527777777778","227.8527777777778","227.8527777777778","219.7","219.7","219.7","","",""
"368","231.6180811808118","231.6180811808118","231.6180811808118","223.76529680365297","223.76529680365297","223.76529680365297","","",""
"372","221.55731593662628","221.55731593662628","221.55731593662628","217.40471869328493","217.40471869328493","217.40471869328493","","",""
"376","220.19813953488372","220.19813953488372","220.19813953488372","228.33724075743913","228.33724075743913","228.33724075743913","","",""
"380","217.68484288354898","217.68484288354898","217.68484288354898","223.70856102003643","223.70856102003643","223.70856102003643","","",""
"384","219.98327137546468","219.98327137546468","219.98327137546468","214.36818181818182","214.36818181818182","214.36818181818182","","",""
"388","223.93992606284658","223.93992606284658","223.93992606284658","213.05272727272728","213.05272727272728","213.05272727272728","","",""
"392","224.92329020332718","224.92329020332718","224.92329020332718","215.3941605839416","215.3941605839416","215.3941605839416","","",""
"396","223.47479376718607","223.47479376718607","223.47479376718607","220.34830430797433","220.34830430797433","220.34830430797433","","",""
"400","220.81542699724517","220.81542699724517","220.81542699724517","222.65423111919927","222.65423111919927","222.65423111919927","","",""
"404","219.83701657458565","219.83701657458565","219.83701657458565","218.2060717571297","218.2060717571297","218.2060717571297","","",""
"408","220.28029602220167","220.28029602220167","220.28029602220167","219.05301645338207","219.05301645338207","219.05301645338207","","",""
"412","226.9935064935065","226.9935064935065","226.9935064935065","230.46049046321525","230.46049046321525","230.46049046321525","","",""
"416","223.2760223048327","223.2760223048327","223.2760223048327","225.61987237921605","225.61987237921605","225.61987237921605","","",""
"420","226.49861495844874","226.49861495844874","226.49861495844874","221.07588075880759","221.07588075880759","221.07588075880759","","",""
"424","231.41566820276498","231.41566820276498","231.41566820276498","223.73577981651377","223.73577981651377","223.73577981651377","","",""
"428","229.26777469990768","229.26777469990768","229.26777469990768","221.82214156079854","221.82214156079854","221.82214156079854","","",""
"432","227.6355226641998","227.6355226641998","227.6355226641998","214.8106884057971","214.8106884057971","214.8106884057971","","",""
"436","224.45173383317714","224.45173383317714","224.45173383317714","218.32811059907834","218.32811059907834","218.32811059907834","","",""
"440","223.82822655524606","223.82822655524606","223.82822655524606","226.55299539170508","226.55299539170508","226.55299539170508","","",""
"444","223.28838951310863","223.28838951310863","223.28838951310863","227.56766575840146","227.56766575840146","227.56766575840146","","",""
"448","229.09470752089138","229.09470752089138","229.09470752089138","228.3945205479452","228.3945205479452","228.3945205479452","","",""
"452","229.2445054945055","229.2445054945055","229.2445054945055","227.08644222020018","227.08644222020018","227.08644222020018","","",""
"456","227.73545454545456","227.73545454545456","227.73545454545456","226.24165915238953","226.24165915238953","226.24165915238953","","",""
"460","225.77155963302752","225.77155963302752","225.77155963302752","227.32658693652255","227.32658693652255","227.32658693652255","","",""
"464","223.14467697907187","223.14467697907187","223.14467697907187","229.85569852941177","229.85569852941177","229.85569852941177","","",""
"468","222.6256931608133","222.6256931608133","222.6256931608133","227.87901008249312","227.87901008249312","227.87901008249312","","",""
"472","226.1400921658986","226.1400921658986","226.1400921658986","222.61004566210045","222.61004566210045","222.61004566210045","","",""
"476","225.3886827458256","225.3886827458256","225.3886827458256","223.8615664845173","223.8615664845173","223.8615664845173","","",""
"480","229.57116279069768","229.57116279069768","229.57116279069768","223.536563071298","223.536563071298","223.536563071298","","",""
"484","232.39664804469274","232.39664804469274","232.39664804469274","234.64859981933154","234.64859981933154","234.64859981933154","","",""
"488","232.91658943466172","232.91658943466172","232.91658943466172","230.1082055906222","230.1082055906222","230.1082055906222","","",""
"492","232.9640221402214","232.9640221402214","232.9640221402214","229.02836230558097","229.02836230558097","229.02836230558097","","",""
"496","236.43067033976124","236.43067033976124","236.43067033976124","223.46880733944954","223.46880733944954","223.46880733944954","","",""
"500","236.26849315068492","236.26849315068492","236.26849315068492","223.61496350364965","223.61496350364965","223.61496350364965","","",""
"504","234.14949863263445","234.14949863263445","234.14949863263445","226.34903047091413","226.34903047091413","226.34903047091413","","",""
"508","231.70561177552898","231.70561177552898","231.70561177552898","217.98521256931608","217.98521256931608","217.98521256931608","","",""
"512","229.75346260387812","229.75346260387812","229.75346260387812","226.19184430027804","226.19184430027804","226.19184430027804","","",""
"516","230.83102493074793","230.83102493074793","230.83102493074793","229.69052044609666","229.69052044609666","229.69052044609666","","",""
"520","226.13940520446096","226.13940520446096","226.13940520446096","218.60901563937443","218.60901563937443","218.60901563937443","","",""
"524","237.06475485661426","237.06475485661426","237.06475485661426","222.15639374425024","222.15639374425024","222.15639374425024","","",""
"528","234.69444444444446","234.69444444444446","234.69444444444446","218.2589861751152","218.2589861751152","218.2589861751152","","",""
"532","233.8721251149954","233.8721251149954","233.8721251149954","227.39963336388635","227.39963336388635","227.39963336388635","","",""
"536","234.0286771507863","234.0286771507863","234.0286771507863","225.3627180899908","225.3627180899908","225.3627180899908","","",""
"540","229.8609576427256","229.8609576427256","229.8609576427256","223.0557077625571","223.0557077625571","223.0557077625571","","",""
"544","225.1066417212348","225.1066417212348","225.1066417212348","234.47392497712718","234.47392497712718","234.47392497712718","","",""
"548","225.26349496797803","225.26349496797803","225.26349496797803","230.49772520473158","230.49772520473158","230.49772520473158","","",""
"552","225.35229357798164","225.35229357798164","225.35229357798164","239.42633517495395","239.42633517495395","239.42633517495395","","",""
"556","221.46203703703705","221.46203703703705","221.46203703703705","241.04889298892988","241.04889298892988","241.04889298892988","","",""
"560","220.755985267035","220.755985267035","220.755985267035","233.2689844464776","233.2689844464776","233.2689844464776","","",""
"564","221.64608294930875","221.64608294930875","221.64608294930875","242.18874773139746","242.18874773139746","242.18874773139746","","",""
"568","222.23154981549814","222.23154981549814","222.23154981549814","245.926296633303","245.926296633303","245.926296633303","","",""
"572","212.81467889908257","212.81467889908257","212.81467889908257","235.86","235.86","235.86","","",""
"576","213.38243366880147","213.38243366880147","213.38243366880147","239.5265567765568","239.5265567765568","239.5265567765568","","",""
"580","217.08371665133396","217.08371665133396","217.08371665133396","237.453125","237.453125","237.453125","","",""
"584","217.0353488372093","217.0353488372093","217.0353488372093","228.6743119266055","228.6743119266055","228.6743119266055","","",""
"588","222.725","222.725","222.725","241.33119853613906","241.33119853613906","241.33119853613906","","",""
"592","222.76058931860038","222.76058931860038","222.76058931860038","227.14963503649636","227.14963503649636","227.14963503649636","","",""
"596","227.08831646734131","227.08831646734131","227.08831646734131","231.3369763205829","231.3369763205829","231.3369763205829","","",""
"600","222.65990783410138","222.65990783410138","222.65990783410138","231.9853613906679","231.9853613906679","231.9853613906679","","",""
"604","224.61917808219178","224.61917808219178","224.61917808219178","229.70791628753412","229.70791628753412","229.70791628753412","","",""
"608","","","","223.14012738853503","223.14012738853503","223.14012738853503","","",""
"612","","","","221.96829710144928","221.96829710144928","221.96829710144928","","",""
"616","","","","225.13669724770642","225.13669724770642","225.13669724770642","","",""
"620","","","","224.16516245487364","224.16516245487364","224.16516245487364","","",""
"624","","","","221.01833180568286","221.01833180568286","221.01833180568286","","",""
"628","","","","224.59111514052583","224.59111514052583","224.59111514052583","","",""
"632","","","","225.61379928315412","225.61379928315412","225.61379928315412","","",""
"636","","","","222.78507194244605","222.78507194244605","222.78507194244605","","",""
"640","","","","225.60655737704917","225.60655737704917","225.60655737704917","","",""
"644","","","","218.20216606498195","218.20216606498195","218.20216606498195","","",""
"648","","","","222.09132420091325","222.09132420091325","222.09132420091325","","",""
"652","","","","217.52626811594203","217.52626811594203","217.52626811594203","","",""
"656","","","","214.21228545618789","214.21228545618789","214.21228545618789","","",""
"660","","","","222.64058234758872","222.64058234758872","222.64058234758872","","",""
"664","","","","224.46886446886447","224.46886446886447","224.46886446886447","","",""
"668","","","","213.6135531135531","213.6135531135531","213.6135531135531","","",""
