"Step","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/OlympiadBench__MAX"
"240","796.8562091503268","796.8562091503268","796.8562091503268","684.4591194968554","684.4591194968554","684.4591194968554","1944.5255102040817","1944.5255102040817","1944.5255102040817"
"244","664.9038461538462","664.9038461538462","664.9038461538462","728.3154761904761","728.3154761904761","728.3154761904761","1944.358585858586","1944.358585858586","1944.358585858586"
"248","650.6666666666666","650.6666666666666","650.6666666666666","690.6144578313254","690.6144578313254","690.6144578313254","2051.549763033175","2051.549763033175","2051.549763033175"
"252","701.18125","701.18125","701.18125","645.6953642384105","645.6953642384105","645.6953642384105","2119.862068965517","2119.862068965517","2119.862068965517"
"256","714.0536912751678","714.0536912751678","714.0536912751678","654.1898734177215","654.1898734177215","654.1898734177215","2201.9859813084113","2201.9859813084113","2201.9859813084113"
"260","643.3181818181819","643.3181818181819","643.3181818181819","704.1077844311377","704.1077844311377","704.1077844311377","2076.013953488372","2076.013953488372","2076.013953488372"
"264","615.2535211267606","615.2535211267606","615.2535211267606","672.064705882353","672.064705882353","672.064705882353","2322.731343283582","2322.731343283582","2322.731343283582"
"268","730.6413793103449","730.6413793103449","730.6413793103449","687.547619047619","687.547619047619","687.547619047619","2229.025","2229.025","2229.025"
"272","729.1468531468531","729.1468531468531","729.1468531468531","766.0377358490566","766.0377358490566","766.0377358490566","2384.089552238806","2384.089552238806","2384.089552238806"
"276","761.174193548387","761.174193548387","761.174193548387","744.4465408805031","744.4465408805031","744.4465408805031","2344.627659574468","2344.627659574468","2344.627659574468"
"280","622.8489208633093","622.8489208633093","622.8489208633093","700.219512195122","700.219512195122","700.219512195122","2531.7598039215686","2531.7598039215686","2531.7598039215686"
"284","658.2916666666666","658.2916666666666","658.2916666666666","716.320987654321","716.320987654321","716.320987654321","2424.0201005025124","2424.0201005025124","2424.0201005025124"
"288","602.1712328767123","602.1712328767123","602.1712328767123","699.8590604026846","699.8590604026846","699.8590604026846","2276.2435233160622","2276.2435233160622","2276.2435233160622"
"292","598.4836601307189","598.4836601307189","598.4836601307189","697.4527027027027","697.4527027027027","697.4527027027027","2143.762376237624","2143.762376237624","2143.762376237624"
"296","654.7777777777778","654.7777777777778","654.7777777777778","699.7532467532468","699.7532467532468","699.7532467532468","2186.9186602870814","2186.9186602870814","2186.9186602870814"
"300","652.2116788321168","652.2116788321168","652.2116788321168","698.4013157894736","698.4013157894736","698.4013157894736","2207.907608695652","2207.907608695652","2207.907608695652"
"304","583.8092105263158","583.8092105263158","583.8092105263158","791.7636363636364","791.7636363636364","791.7636363636364","","",""
"308","646.5384615384615","646.5384615384615","646.5384615384615","714.1038961038961","714.1038961038961","714.1038961038961","","",""
"312","593.4652777777778","593.4652777777778","593.4652777777778","737.9215686274509","737.9215686274509","737.9215686274509","","",""
"316","621.0519480519481","621.0519480519481","621.0519480519481","764.920245398773","764.920245398773","764.920245398773","","",""
"320","618.7450980392157","618.7450980392157","618.7450980392157","726.3870967741935","726.3870967741935","726.3870967741935","","",""
"324","595","595","595","713.5646258503401","713.5646258503401","713.5646258503401","","",""
"328","563.8478260869565","563.8478260869565","563.8478260869565","750.722972972973","750.722972972973","750.722972972973","","",""
"332","636.3087248322148","636.3087248322148","636.3087248322148","693.375","693.375","693.375","","",""
"336","653.0805369127517","653.0805369127517","653.0805369127517","761.5548780487804","761.5548780487804","761.5548780487804","","",""
"340","604.5471698113207","604.5471698113207","604.5471698113207","764.9806451612903","764.9806451612903","764.9806451612903","","",""
"344","584.2857142857143","584.2857142857143","584.2857142857143","733.5911949685535","733.5911949685535","733.5911949685535","","",""
"348","582.9868421052631","582.9868421052631","582.9868421052631","828.0379746835443","828.0379746835443","828.0379746835443","","",""
"352","675.0188679245283","675.0188679245283","675.0188679245283","801.9074074074074","801.9074074074074","801.9074074074074","","",""
"356","615.7741935483871","615.7741935483871","615.7741935483871","832.3780487804878","832.3780487804878","832.3780487804878","","",""
"360","634.0827586206897","634.0827586206897","634.0827586206897","770.0833333333334","770.0833333333334","770.0833333333334","","",""
"364","554.5602836879433","554.5602836879433","554.5602836879433","725.0294117647059","725.0294117647059","725.0294117647059","","",""
"368","610.8471337579617","610.8471337579617","610.8471337579617","820.179012345679","820.179012345679","820.179012345679","","",""
"372","591.168918918919","591.168918918919","591.168918918919","894.7826086956521","894.7826086956521","894.7826086956521","","",""
"376","606.1447368421053","606.1447368421053","606.1447368421053","911.7897727272727","911.7897727272727","911.7897727272727","","",""
"380","576.2715231788079","576.2715231788079","576.2715231788079","814.1275167785235","814.1275167785235","814.1275167785235","","",""
"384","596.722972972973","596.722972972973","596.722972972973","761.7546012269938","761.7546012269938","761.7546012269938","","",""
"388","529.5310344827586","529.5310344827586","529.5310344827586","793.9940476190476","793.9940476190476","793.9940476190476","","",""
"392","559.8741258741259","559.8741258741259","559.8741258741259","893.3614457831326","893.3614457831326","893.3614457831326","","",""
"396","602.0425531914893","602.0425531914893","602.0425531914893","846.61875","846.61875","846.61875","","",""
"400","551.2185430463576","551.2185430463576","551.2185430463576","889.6643835616438","889.6643835616438","889.6643835616438","","",""
"404","518.2941176470588","518.2941176470588","518.2941176470588","804.1372549019608","804.1372549019608","804.1372549019608","","",""
"408","546.4246575342465","546.4246575342465","546.4246575342465","746.1506024096385","746.1506024096385","746.1506024096385","","",""
"412","554.7898089171974","554.7898089171974","554.7898089171974","723.1271676300578","723.1271676300578","723.1271676300578","","",""
"416","561.0457516339869","561.0457516339869","561.0457516339869","734.4150943396227","734.4150943396227","734.4150943396227","","",""
"420","592.9102564102565","592.9102564102565","592.9102564102565","758.919540229885","758.919540229885","758.919540229885","","",""
"424","575.7666666666667","575.7666666666667","575.7666666666667","741.4493670886076","741.4493670886076","741.4493670886076","","",""
"428","572.2692307692307","572.2692307692307","572.2692307692307","879.7484662576687","879.7484662576687","879.7484662576687","","",""
"432","548.4054054054054","548.4054054054054","548.4054054054054","836.280487804878","836.280487804878","836.280487804878","","",""
"436","555.7152317880794","555.7152317880794","555.7152317880794","759.3311688311688","759.3311688311688","759.3311688311688","","",""
"440","568.1379310344828","568.1379310344828","568.1379310344828","802.7088607594936","802.7088607594936","802.7088607594936","","",""
"444","612.5949367088608","612.5949367088608","612.5949367088608","766.3251533742331","766.3251533742331","766.3251533742331","","",""
"448","597.9395973154362","597.9395973154362","597.9395973154362","667.0457516339869","667.0457516339869","667.0457516339869","","",""
"452","547.8620689655172","547.8620689655172","547.8620689655172","809.7639751552795","809.7639751552795","809.7639751552795","","",""
"456","528.887323943662","528.887323943662","528.887323943662","844.5093167701864","844.5093167701864","844.5093167701864","","",""
"460","569.5394736842105","569.5394736842105","569.5394736842105","834.280487804878","834.280487804878","834.280487804878","","",""
"464","615","615","615","852.5398773006135","852.5398773006135","852.5398773006135","","",""
"468","546.8014184397163","546.8014184397163","546.8014184397163","751.038961038961","751.038961038961","751.038961038961","","",""
"472","612.2695035460993","612.2695035460993","612.2695035460993","889.6213017751479","889.6213017751479","889.6213017751479","","",""
"476","575.5314685314685","575.5314685314685","575.5314685314685","928.4080459770115","928.4080459770115","928.4080459770115","","",""
"480","608.936170212766","608.936170212766","608.936170212766","969.121387283237","969.121387283237","969.121387283237","","",""
"484","595.1843971631206","595.1843971631206","595.1843971631206","918.1217948717949","918.1217948717949","918.1217948717949","","",""
"488","625.1045751633987","625.1045751633987","625.1045751633987","920.0118343195267","920.0118343195267","920.0118343195267","","",""
"492","595.6413793103449","595.6413793103449","595.6413793103449","1056.378698224852","1056.378698224852","1056.378698224852","","",""
"496","614.8562091503268","614.8562091503268","614.8562091503268","849.4943820224719","849.4943820224719","849.4943820224719","","",""
"500","578.9256756756756","578.9256756756756","578.9256756756756","959.0169491525423","959.0169491525423","959.0169491525423","","",""
"504","560.5677419354839","560.5677419354839","560.5677419354839","852.3481012658228","852.3481012658228","852.3481012658228","","",""
"508","561.8387096774194","561.8387096774194","561.8387096774194","869.8895348837209","869.8895348837209","869.8895348837209","","",""
"512","598.4968944099379","598.4968944099379","598.4968944099379","940.4213483146067","940.4213483146067","940.4213483146067","","",""
"516","528.4630872483222","528.4630872483222","528.4630872483222","962.2","962.2","962.2","","",""
"520","599.6232876712329","599.6232876712329","599.6232876712329","809.9649122807018","809.9649122807018","809.9649122807018","","",""
"524","630.6530612244898","630.6530612244898","630.6530612244898","979.8461538461538","979.8461538461538","979.8461538461538","","",""
"528","623.9455782312925","623.9455782312925","623.9455782312925","933.4411764705883","933.4411764705883","933.4411764705883","","",""
"532","593.0972222222222","593.0972222222222","593.0972222222222","863.7329192546584","863.7329192546584","863.7329192546584","","",""
"536","575.9007092198582","575.9007092198582","575.9007092198582","984.9815950920246","984.9815950920246","984.9815950920246","","",""
"540","523.7697841726618","523.7697841726618","523.7697841726618","849.5688622754491","849.5688622754491","849.5688622754491","","",""
"544","568.1133333333333","568.1133333333333","568.1133333333333","925.2832369942197","925.2832369942197","925.2832369942197","","",""
"548","593.4228187919463","593.4228187919463","593.4228187919463","966.7678571428571","966.7678571428571","966.7678571428571","","",""
"552","600.6209150326797","600.6209150326797","600.6209150326797","937.5654761904761","937.5654761904761","937.5654761904761","","",""
"556","579.9391891891892","579.9391891891892","579.9391891891892","969.0755813953489","969.0755813953489","969.0755813953489","","",""
"560","601.1548387096774","601.1548387096774","601.1548387096774","933.6296296296297","933.6296296296297","933.6296296296297","","",""
"564","630.6776315789474","630.6776315789474","630.6776315789474","980.6273291925465","980.6273291925465","980.6273291925465","","",""
"568","587.2171052631579","587.2171052631579","587.2171052631579","956.0113636363636","956.0113636363636","956.0113636363636","","",""
"572","598.4026845637584","598.4026845637584","598.4026845637584","991.9634146341464","991.9634146341464","991.9634146341464","","",""
"576","639.1612903225806","639.1612903225806","639.1612903225806","1074.3920454545455","1074.3920454545455","1074.3920454545455","","",""
"580","601.0584415584416","601.0584415584416","601.0584415584416","1039.5568181818182","1039.5568181818182","1039.5568181818182","","",""
"584","552.3717948717949","552.3717948717949","552.3717948717949","905.3470588235294","905.3470588235294","905.3470588235294","","",""
"588","594.6129032258065","594.6129032258065","594.6129032258065","912.3522012578617","912.3522012578617","912.3522012578617","","",""
"592","548.5642857142857","548.5642857142857","548.5642857142857","922.7751479289941","922.7751479289941","922.7751479289941","","",""
"596","575.1811594202899","575.1811594202899","575.1811594202899","934.7453416149068","934.7453416149068","934.7453416149068","","",""
"600","633.648275862069","633.648275862069","633.648275862069","938.6582278481013","938.6582278481013","938.6582278481013","","",""
"604","555.625850340136","555.625850340136","555.625850340136","884.3375","884.3375","884.3375","","",""
"608","","","","853.5324675324675","853.5324675324675","853.5324675324675","","",""
"612","","","","1095.7692307692307","1095.7692307692307","1095.7692307692307","","",""
"616","","","","906.4966887417219","906.4966887417219","906.4966887417219","","",""
"620","","","","969.2890173410404","969.2890173410404","969.2890173410404","","",""
"624","","","","948.2201257861635","948.2201257861635","948.2201257861635","","",""
"628","","","","962.0666666666667","962.0666666666667","962.0666666666667","","",""
"632","","","","938.189349112426","938.189349112426","938.189349112426","","",""
"636","","","","932.2427745664739","932.2427745664739","932.2427745664739","","",""
"640","","","","944.5739644970414","944.5739644970414","944.5739644970414","","",""
"644","","","","977.3333333333334","977.3333333333334","977.3333333333334","","",""
"648","","","","1042.7083333333333","1042.7083333333333","1042.7083333333333","","",""
"652","","","","971.8994082840237","971.8994082840237","971.8994082840237","","",""
"656","","","","1053.5654761904761","1053.5654761904761","1053.5654761904761","","",""
"660","","","","997.3197674418604","997.3197674418604","997.3197674418604","","",""
"664","","","","958.3588235294118","958.3588235294118","958.3588235294118","","",""
"668","","","","957.6645569620254","957.6645569620254","957.6645569620254","","",""
