"Step","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_decay_short.20B_math.8k_0422_1123 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_decay_long.short.mix.20B_math.8k_0421_1810 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_decay_long.20B_math.8k_0421_1332 - val_response_length/test_length_correct/MATH500__MAX"
"104","346.8383458646617","346.8383458646617","346.8383458646617","407.82758620689657","407.82758620689657","407.82758620689657","1025.7194029850746","1025.7194029850746","1025.7194029850746"
"108","372.15884476534296","372.15884476534296","372.15884476534296","417.4083044982699","417.4083044982699","417.4083044982699","1031.282208588957","1031.282208588957","1031.282208588957"
"112","355.457249070632","355.457249070632","355.457249070632","452.23569023569024","452.23569023569024","452.23569023569024","960.515923566879","960.515923566879","960.515923566879"
"116","353.7164179104478","353.7164179104478","353.7164179104478","427.9206896551724","427.9206896551724","427.9206896551724","1069.5632911392406","1069.5632911392406","1069.5632911392406"
"120","362.89925373134326","362.89925373134326","362.89925373134326","432.0138888888889","432.0138888888889","432.0138888888889","1022.7713414634146","1022.7713414634146","1022.7713414634146"
"124","368.8984962406015","368.8984962406015","368.8984962406015","405.2304964539007","405.2304964539007","405.2304964539007","1053.1619937694704","1053.1619937694704","1053.1619937694704"
"128","355.5859375","355.5859375","355.5859375","405.13448275862066","405.13448275862066","405.13448275862066","1130.2121212121212","1130.2121212121212","1130.2121212121212"
"132","368.3740740740741","368.3740740740741","368.3740740740741","444.2895622895623","444.2895622895623","444.2895622895623","1064.5766871165645","1064.5766871165645","1064.5766871165645"
"136","334.4059040590406","334.4059040590406","334.4059040590406","433.8668941979522","433.8668941979522","433.8668941979522","1069.0823170731708","1069.0823170731708","1069.0823170731708"
"140","369.93014705882354","369.93014705882354","369.93014705882354","416.86759581881535","416.86759581881535","416.86759581881535","1095.9575757575758","1095.9575757575758","1095.9575757575758"
"144","373.7083333333333","373.7083333333333","373.7083333333333","415.7647058823529","415.7647058823529","415.7647058823529","1105.6888217522658","1105.6888217522658","1105.6888217522658"
"148","388.8985507246377","388.8985507246377","388.8985507246377","415.60884353741494","415.60884353741494","415.60884353741494","1087.403076923077","1087.403076923077","1087.403076923077"
"152","384.94296577946767","384.94296577946767","384.94296577946767","453.42857142857144","453.42857142857144","453.42857142857144","1092.0611620795107","1092.0611620795107","1092.0611620795107"
"156","381.9667896678967","381.9667896678967","381.9667896678967","430.73883161512026","430.73883161512026","430.73883161512026","1107.607476635514","1107.607476635514","1107.607476635514"
"160","412.1433962264151","412.1433962264151","412.1433962264151","424.78275862068966","424.78275862068966","424.78275862068966","1157.918181818182","1157.918181818182","1157.918181818182"
"164","441.8509090909091","441.8509090909091","441.8509090909091","427.2482269503546","427.2482269503546","427.2482269503546","1147.8958990536278","1147.8958990536278","1147.8958990536278"
"168","372","372","372","412.83561643835617","412.83561643835617","412.83561643835617","1201.219135802469","1201.219135802469","1201.219135802469"
"172","379.98214285714283","379.98214285714283","379.98214285714283","433.19097222222223","433.19097222222223","433.19097222222223","1214.565868263473","1214.565868263473","1214.565868263473"
"176","364.7910447761194","364.7910447761194","364.7910447761194","443.8701754385965","443.8701754385965","443.8701754385965","1189.375","1189.375","1189.375"
"180","367.8456140350877","367.8456140350877","367.8456140350877","410.25342465753425","410.25342465753425","410.25342465753425","1194.52","1194.52","1194.52"
"184","356.11439114391146","356.11439114391146","356.11439114391146","412.807560137457","412.807560137457","412.807560137457","1165.5045045045044","1165.5045045045044","1165.5045045045044"
"188","361.07835820895525","361.07835820895525","361.07835820895525","462.77364864864865","462.77364864864865","462.77364864864865","1151.8942598187311","1151.8942598187311","1151.8942598187311"
"192","355.32","355.32","355.32","423.52669039145906","423.52669039145906","423.52669039145906","1130.2147239263804","1130.2147239263804","1130.2147239263804"
"196","387.53956834532374","387.53956834532374","387.53956834532374","421.46875","421.46875","421.46875","1217.5920245398772","1217.5920245398772","1217.5920245398772"
"200","399.14181818181817","399.14181818181817","399.14181818181817","414.0553633217993","414.0553633217993","414.0553633217993","1244.3081570996978","1244.3081570996978","1244.3081570996978"
"204","393.22545454545457","393.22545454545457","393.22545454545457","449.95238095238096","449.95238095238096","449.95238095238096","1208.7969696969697","1208.7969696969697","1208.7969696969697"
"208","353.05970149253733","353.05970149253733","353.05970149253733","440.3412162162162","440.3412162162162","440.3412162162162","1188.8231707317073","1188.8231707317073","1188.8231707317073"
"212","373.86516853932585","373.86516853932585","373.86516853932585","431.914089347079","431.914089347079","431.914089347079","1272.1671732522796","1272.1671732522796","1272.1671732522796"
"216","397.15162454873644","397.15162454873644","397.15162454873644","388.3772893772894","388.3772893772894","388.3772893772894","1274.622754491018","1274.622754491018","1274.622754491018"
"220","367.1309090909091","367.1309090909091","367.1309090909091","429.24914675767917","429.24914675767917","429.24914675767917","1284.012084592145","1284.012084592145","1284.012084592145"
"224","371.8279569892473","371.8279569892473","371.8279569892473","432.47058823529414","432.47058823529414","432.47058823529414","1285.0181818181818","1285.0181818181818","1285.0181818181818"
"228","335.2490974729242","335.2490974729242","335.2490974729242","426.7079037800687","426.7079037800687","426.7079037800687","1234.0523076923077","1234.0523076923077","1234.0523076923077"
"232","358.36619718309856","358.36619718309856","358.36619718309856","416.69642857142856","416.69642857142856","416.69642857142856","1304.8115501519758","1304.8115501519758","1304.8115501519758"
"236","385.6955017301038","385.6955017301038","385.6955017301038","445.0238095238095","445.0238095238095","445.0238095238095","1349.7198795180723","1349.7198795180723","1349.7198795180723"
"240","370.1241379310345","370.1241379310345","370.1241379310345","425.09722222222223","425.09722222222223","425.09722222222223","1330.478125","1330.478125","1330.478125"
"244","373.64827586206894","373.64827586206894","373.64827586206894","432.68227424749165","432.68227424749165","432.68227424749165","1356.85","1356.85","1356.85"
"248","355.61805555555554","355.61805555555554","355.61805555555554","429.4152249134948","429.4152249134948","429.4152249134948","1525.0059171597634","1525.0059171597634","1525.0059171597634"
"252","397.1958762886598","397.1958762886598","397.1958762886598","423","423","423","1511.059748427673","1511.059748427673","1511.059748427673"
"256","378.4657534246575","378.4657534246575","378.4657534246575","441.3788395904437","441.3788395904437","441.3788395904437","1572.9337539432177","1572.9337539432177","1572.9337539432177"
"260","347.2114695340502","347.2114695340502","347.2114695340502","425.10169491525426","425.10169491525426","425.10169491525426","1361.9161290322581","1361.9161290322581","1361.9161290322581"
"264","381.64285714285717","381.64285714285717","381.64285714285717","446.5085910652921","446.5085910652921","446.5085910652921","1543.915407854985","1543.915407854985","1543.915407854985"
"268","399.1877133105802","399.1877133105802","399.1877133105802","415.2328767123288","415.2328767123288","415.2328767123288","1832.711246200608","1832.711246200608","1832.711246200608"
"272","380.90140845070425","380.90140845070425","380.90140845070425","433.5174825174825","433.5174825174825","433.5174825174825","1591.5744680851064","1591.5744680851064","1591.5744680851064"
"276","373.1607142857143","373.1607142857143","373.1607142857143","442.5810810810811","442.5810810810811","442.5810810810811","1760.5014836795253","1760.5014836795253","1760.5014836795253"
"280","362.6462093862816","362.6462093862816","362.6462093862816","402.6159169550173","402.6159169550173","402.6159169550173","1601.7787878787879","1601.7787878787879","1601.7787878787879"
"284","353.3356643356643","353.3356643356643","353.3356643356643","421.3741496598639","421.3741496598639","421.3741496598639","1649.5735735735736","1649.5735735735736","1649.5735735735736"
"288","331.71378091872793","331.71378091872793","331.71378091872793","431.9435215946844","431.9435215946844","431.9435215946844","1618.3753943217666","1618.3753943217666","1618.3753943217666"
"292","355.44642857142856","355.44642857142856","355.44642857142856","422.8066666666667","422.8066666666667","422.8066666666667","1594.254658385093","1594.254658385093","1594.254658385093"
"296","371.1349480968858","371.1349480968858","371.1349480968858","421.5870307167236","421.5870307167236","421.5870307167236","1811.4772036474164","1811.4772036474164","1811.4772036474164"
"300","315.068345323741","315.068345323741","315.068345323741","435.5629139072848","435.5629139072848","435.5629139072848","2009.9509202453987","2009.9509202453987","2009.9509202453987"
"304","341.77060931899643","341.77060931899643","341.77060931899643","418.8333333333333","418.8333333333333","418.8333333333333","","",""
"308","350.79180887372013","350.79180887372013","350.79180887372013","420.83561643835617","420.83561643835617","420.83561643835617","","",""
"312","351.4661921708185","351.4661921708185","351.4661921708185","459.73400673400675","459.73400673400675","459.73400673400675","","",""
"316","362.6276595744681","362.6276595744681","362.6276595744681","462.1533101045296","462.1533101045296","462.1533101045296","","",""
"320","352.18840579710144","352.18840579710144","352.18840579710144","453.51851851851853","453.51851851851853","453.51851851851853","","",""
"324","326.1535714285714","326.1535714285714","326.1535714285714","409.43617021276594","409.43617021276594","409.43617021276594","","",""
"328","340.4056939501779","340.4056939501779","340.4056939501779","409.13588850174216","409.13588850174216","409.13588850174216","","",""
"332","364.7097902097902","364.7097902097902","364.7097902097902","463.23050847457625","463.23050847457625","463.23050847457625","","",""
"336","349.75347222222223","349.75347222222223","349.75347222222223","429.42320819112626","429.42320819112626","429.42320819112626","","",""
"340","358.83629893238435","358.83629893238435","358.83629893238435","443.04794520547944","443.04794520547944","443.04794520547944","","",""
"344","345.7435897435897","345.7435897435897","345.7435897435897","429.1363636363636","429.1363636363636","429.1363636363636","","",""
"348","349.74285714285713","349.74285714285713","349.74285714285713","463.06756756756755","463.06756756756755","463.06756756756755","","",""
"352","358.8448275862069","358.8448275862069","358.8448275862069","451.4329896907216","451.4329896907216","451.4329896907216","","",""
"356","381.3611111111111","381.3611111111111","381.3611111111111","456.93793103448274","456.93793103448274","456.93793103448274","","",""
"360","360.13718411552344","360.13718411552344","360.13718411552344","462.5223367697595","462.5223367697595","462.5223367697595","","",""
"364","359.81362007168457","359.81362007168457","359.81362007168457","459.32781456953643","459.32781456953643","459.32781456953643","","",""
"368","372.18021201413427","372.18021201413427","372.18021201413427","476.1404682274248","476.1404682274248","476.1404682274248","","",""
"372","340.37943262411346","340.37943262411346","340.37943262411346","473.0508474576271","473.0508474576271","473.0508474576271","","",""
"376","339.5512367491166","339.5512367491166","339.5512367491166","422.50170648464166","422.50170648464166","422.50170648464166","","",""
"380","352.58273381294964","352.58273381294964","352.58273381294964","467.6456953642384","467.6456953642384","467.6456953642384","","",""
"384","362.98214285714283","362.98214285714283","362.98214285714283","453.72131147540983","453.72131147540983","453.72131147540983","","",""
"388","353.7836879432624","353.7836879432624","353.7836879432624","466.1885521885522","466.1885521885522","466.1885521885522","","",""
"392","353.65480427046265","353.65480427046265","353.65480427046265","450.3356401384083","450.3356401384083","450.3356401384083","","",""
"396","348.1918819188192","348.1918819188192","348.1918819188192","498.4581939799331","498.4581939799331","498.4581939799331","","",""
"400","343.19713261648747","343.19713261648747","343.19713261648747","462.4657534246575","462.4657534246575","462.4657534246575","","",""
"404","343.78521126760563","343.78521126760563","343.78521126760563","439.5159010600707","439.5159010600707","439.5159010600707","","",""
"408","353.8424657534247","353.8424657534247","353.8424657534247","429.9413793103448","429.9413793103448","429.9413793103448","","",""
"412","350.65017667844523","350.65017667844523","350.65017667844523","484.05016722408027","484.05016722408027","484.05016722408027","","",""
"416","353.52097902097904","353.52097902097904","353.52097902097904","444.935593220339","444.935593220339","444.935593220339","","",""
"420","352.1449275362319","352.1449275362319","352.1449275362319","456.18666666666667","456.18666666666667","456.18666666666667","","",""
"424","349.70567375886526","349.70567375886526","349.70567375886526","490.45733788395904","490.45733788395904","490.45733788395904","","",""
"428","373.03225806451616","373.03225806451616","373.03225806451616","443.66319444444446","443.66319444444446","443.66319444444446","","",""
"432","401.2007042253521","401.2007042253521","401.2007042253521","429.67576791808875","429.67576791808875","429.67576791808875","","",""
"436","374.77972027972027","374.77972027972027","374.77972027972027","437.6190476190476","437.6190476190476","437.6190476190476","","",""
"440","355.94505494505495","355.94505494505495","355.94505494505495","441.79037800687286","441.79037800687286","441.79037800687286","","",""
"444","369.0875912408759","369.0875912408759","369.0875912408759","456.00680272108843","456.00680272108843","456.00680272108843","","",""
"448","361.49264705882354","361.49264705882354","361.49264705882354","484.26666666666665","484.26666666666665","484.26666666666665","","",""
"452","382.4503546099291","382.4503546099291","382.4503546099291","449.8595317725752","449.8595317725752","449.8595317725752","","",""
"456","358.83882783882785","358.83882783882785","358.83882783882785","476.07191780821915","476.07191780821915","476.07191780821915","","",""
"460","363.4856115107914","363.4856115107914","363.4856115107914","476.8464163822526","476.8464163822526","476.8464163822526","","",""
"464","352.62545454545455","352.62545454545455","352.62545454545455","469.16382252559725","469.16382252559725","469.16382252559725","","",""
"468","367.01423487544486","367.01423487544486","367.01423487544486","480.20557491289196","480.20557491289196","480.20557491289196","","",""
"472","359.74460431654677","359.74460431654677","359.74460431654677","513.6972789115646","513.6972789115646","513.6972789115646","","",""
"476","373.0979020979021","373.0979020979021","373.0979020979021","480.8469387755102","480.8469387755102","480.8469387755102","","",""
"480","347.3717472118959","347.3717472118959","347.3717472118959","489.9828767123288","489.9828767123288","489.9828767123288","","",""
"484","344.19485294117646","344.19485294117646","344.19485294117646","527.8911564625851","527.8911564625851","527.8911564625851","","",""
"488","365.4","365.4","365.4","535.51","535.51","535.51","","",""
"492","344.88967971530246","344.88967971530246","344.88967971530246","507.03194888178916","507.03194888178916","507.03194888178916","","",""
"496","367.29537366548044","367.29537366548044","367.29537366548044","514.9934640522875","514.9934640522875","514.9934640522875","","",""
"500","379.7431506849315","379.7431506849315","379.7431506849315","612.7359735973597","612.7359735973597","612.7359735973597","","",""
"504","372.53125","372.53125","372.53125","493.51724137931035","493.51724137931035","493.51724137931035","","",""
"508","368.7572463768116","368.7572463768116","368.7572463768116","541.3801369863014","541.3801369863014","541.3801369863014","","",""
"512","335.0851063829787","335.0851063829787","335.0851063829787","531.8907849829352","531.8907849829352","531.8907849829352","","",""
"516","354.83870967741933","354.83870967741933","354.83870967741933","509.1571906354515","509.1571906354515","509.1571906354515","","",""
"520","344.4908424908425","344.4908424908425","344.4908424908425","504.2549668874172","504.2549668874172","504.2549668874172","","",""
"524","342.26978417266184","342.26978417266184","342.26978417266184","501.72333333333336","501.72333333333336","501.72333333333336","","",""
"528","354.4673913043478","354.4673913043478","354.4673913043478","521.8361204013378","521.8361204013378","521.8361204013378","","",""
"532","374.06934306569343","374.06934306569343","374.06934306569343","463.10069444444446","463.10069444444446","463.10069444444446","","",""
"536","338.7904411764706","338.7904411764706","338.7904411764706","527.3521594684386","527.3521594684386","527.3521594684386","","",""
"540","336.7391304347826","336.7391304347826","336.7391304347826","495.8787878787879","495.8787878787879","495.8787878787879","","",""
"544","342.7910447761194","342.7910447761194","342.7910447761194","517.0207612456747","517.0207612456747","517.0207612456747","","",""
"548","344.5092250922509","344.5092250922509","344.5092250922509","544.4127516778524","544.4127516778524","544.4127516778524","","",""
"552","334.7883211678832","334.7883211678832","334.7883211678832","519.2745762711864","519.2745762711864","519.2745762711864","","",""
"556","308.996138996139","308.996138996139","308.996138996139","554.804794520548","554.804794520548","554.804794520548","","",""
"560","341.54212454212455","341.54212454212455","341.54212454212455","531.0555555555555","531.0555555555555","531.0555555555555","","",""
"564","355.35018050541515","355.35018050541515","355.35018050541515","565.6313993174061","565.6313993174061","565.6313993174061","","",""
"568","329.6204379562044","329.6204379562044","329.6204379562044","532.4054982817869","532.4054982817869","532.4054982817869","","",""
"572","319.7207547169811","319.7207547169811","319.7207547169811","532.5171232876712","532.5171232876712","532.5171232876712","","",""
"576","330.66541353383457","330.66541353383457","330.66541353383457","536.0068259385665","536.0068259385665","536.0068259385665","","",""
"580","357.6379928315412","357.6379928315412","357.6379928315412","530.8546712802768","530.8546712802768","530.8546712802768","","",""
"584","360.01454545454544","360.01454545454544","360.01454545454544","589.8571428571429","589.8571428571429","589.8571428571429","","",""
"588","352.48201438848923","352.48201438848923","352.48201438848923","585.1404682274248","585.1404682274248","585.1404682274248","","",""
"592","330.17760617760615","330.17760617760615","330.17760617760615","499.3581081081081","499.3581081081081","499.3581081081081","","",""
"596","339.6470588235294","339.6470588235294","339.6470588235294","550.4437086092715","550.4437086092715","550.4437086092715","","",""
"600","329.40520446096656","329.40520446096656","329.40520446096656","516.6019736842105","516.6019736842105","516.6019736842105","","",""
"604","340.40636042402826","340.40636042402826","340.40636042402826","571.1851851851852","571.1851851851852","571.1851851851852","","",""
"608","","","","469.84137931034485","469.84137931034485","469.84137931034485","","",""
"612","","","","506.33223684210526","506.33223684210526","506.33223684210526","","",""
"616","","","","447.3264604810997","447.3264604810997","447.3264604810997","","",""
"620","","","","577.341059602649","577.341059602649","577.341059602649","","",""
"624","","","","498.7306397306397","498.7306397306397","498.7306397306397","","",""
"628","","","","493.0174825174825","493.0174825174825","493.0174825174825","","",""
"632","","","","501.9932432432432","501.9932432432432","501.9932432432432","","",""
"636","","","","525.5208333333334","525.5208333333334","525.5208333333334","","",""
"640","","","","513.3379790940767","513.3379790940767","513.3379790940767","","",""
"644","","","","542.1836734693877","542.1836734693877","542.1836734693877","","",""
"648","","","","561.5469798657718","561.5469798657718","561.5469798657718","","",""
"652","","","","539.829268292683","539.829268292683","539.829268292683","","",""
"656","","","","565.5570469798657","565.5570469798657","565.5570469798657","","",""
"660","","","","502.9381443298969","502.9381443298969","502.9381443298969","","",""
"664","","","","551.757785467128","551.757785467128","551.757785467128","","",""
"668","","","","550.1413793103449","550.1413793103449","550.1413793103449","","",""
