"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/GSM8k","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/GSM8k__MAX"
"56","0.378316906747536","0.378316906747536","0.378316906747536","0.7285822592873389","0.7285822592873389","0.7285822592873389","0.6034874905231236","0.6034874905231236","0.6034874905231236"
"60","0.42987111448066717","0.42987111448066717","0.42987111448066717","0.7126611068991661","0.7126611068991661","0.7126611068991661","0.6125852918877938","0.6125852918877938","0.6125852918877938"
"64","0.46853677028051555","0.46853677028051555","0.46853677028051555","0.7293404094010614","0.7293404094010614","0.7293404094010614","0.620166793025019","0.620166793025019","0.620166793025019"
"68","0.5140257771038665","0.5140257771038665","0.5140257771038665","0.7217589082638363","0.7217589082638363","0.7217589082638363","0.621683093252464","0.621683093252464","0.621683093252464"
"72","0.555724033358605","0.555724033358605","0.555724033358605","0.7210007581501138","0.7210007581501138","0.7210007581501138","0.6277482941622441","0.6277482941622441","0.6277482941622441"
"76","0.5648218347232752","0.5648218347232752","0.5648218347232752","0.7255496588324488","0.7255496588324488","0.7255496588324488","0.6277482941622441","0.6277482941622441","0.6277482941622441"
"80","0.5981804397270659","0.5981804397270659","0.5981804397270659","0.7156937073540561","0.7156937073540561","0.7156937073540561","0.6383623957543594","0.6383623957543594","0.6383623957543594"
"84","0.5943896891584534","0.5943896891584534","0.5943896891584534","0.5178165276724791","0.5178165276724791","0.5178165276724791","0.6315390447308568","0.6315390447308568","0.6315390447308568"
"88","0.6034874905231236","0.6034874905231236","0.6034874905231236","0.08642911296436695","0.08642911296436695","0.08642911296436695","0.6459438968915845","0.6459438968915845","0.6459438968915845"
"92","0.6087945413191812","0.6087945413191812","0.6087945413191812","0.05307050796057619","0.05307050796057619","0.05307050796057619","0.6421531463229719","0.6421531463229719","0.6421531463229719"
"96","0.6345716451857468","0.6345716451857468","0.6345716451857468","","","","0.6482183472327521","0.6482183472327521","0.6482183472327521"
"100","0.6376042456406369","0.6376042456406369","0.6376042456406369","","","","0.6467020470053071","0.6467020470053071","0.6467020470053071"
"104","0.6376042456406369","0.6376042456406369","0.6376042456406369","","","","0.6368460955269143","0.6368460955269143","0.6368460955269143"
"108","0.6277482941622441","0.6277482941622441","0.6277482941622441","","","","0.6368460955269143","0.6368460955269143","0.6368460955269143"
"112","0.6277482941622441","0.6277482941622441","0.6277482941622441","","","","0.6224412433661866","0.6224412433661866","0.6224412433661866"
"116","0.6376042456406369","0.6376042456406369","0.6376042456406369","","","","0.6504927975739196","0.6504927975739196","0.6504927975739196"
"120","0.643669446550417","0.643669446550417","0.643669446550417","","","","0.6603487490523123","0.6603487490523123","0.6603487490523123"
"124","0.6360879454131918","0.6360879454131918","0.6360879454131918","","","","0.6557998483699773","0.6557998483699773","0.6557998483699773"
"128","0.6307808946171342","0.6307808946171342","0.6307808946171342","","","","0.6679302501895376","0.6679302501895376","0.6679302501895376"
"132","0.6482183472327521","0.6482183472327521","0.6482183472327521","","","","0.6580742987111448","0.6580742987111448","0.6580742987111448"
"136","0.6391205458680819","0.6391205458680819","0.6391205458680819","","","","0.66868840030326","0.66868840030326","0.66868840030326"
"140","0.640636846095527","0.640636846095527","0.640636846095527","","","","0.6565579984836998","0.6565579984836998","0.6565579984836998"
"144","0.6512509476876421","0.6512509476876421","0.6512509476876421","","","","0.6603487490523123","0.6603487490523123","0.6603487490523123"
"148","0.6618650492797574","0.6618650492797574","0.6618650492797574","","","","0.66868840030326","0.66868840030326","0.66868840030326"
"152","0.6626231993934799","0.6626231993934799","0.6626231993934799","","","","0.6573161485974223","0.6573161485974223","0.6573161485974223"
"156","0.6611068991660348","0.6611068991660348","0.6611068991660348","","","","0.6724791508718726","0.6724791508718726","0.6724791508718726"
"160","0.6702047005307051","0.6702047005307051","0.6702047005307051","","","","0.6808188021228203","0.6808188021228203","0.6808188021228203"
"164","0.6770280515542078","0.6770280515542078","0.6770280515542078","","","","0.6648976497346475","0.6648976497346475","0.6648976497346475"
"168","0.6664139499620925","0.6664139499620925","0.6664139499620925","","","","0.6770280515542078","0.6770280515542078","0.6770280515542078"
"172","0.6679302501895376","0.6679302501895376","0.6679302501895376","","","","0.6747536012130402","0.6747536012130402","0.6747536012130402"
"176","0.6603487490523123","0.6603487490523123","0.6603487490523123","","","","0.6868840030326004","0.6868840030326004","0.6868840030326004"
"180","0.6497346474601972","0.6497346474601972","0.6497346474601972","","","","0.6800606520090978","0.6800606520090978","0.6800606520090978"
"184","0.6482183472327521","0.6482183472327521","0.6482183472327521","","","","0.66565579984837","0.66565579984837","0.66565579984837"
"188","0.6664139499620925","0.6664139499620925","0.6664139499620925","","","","0.6671721000758151","0.6671721000758151","0.6671721000758151"
"192","0.6580742987111448","0.6580742987111448","0.6580742987111448","","","","0.6648976497346475","0.6648976497346475","0.6648976497346475"
"196","0.6633813495072024","0.6633813495072024","0.6633813495072024","","","","0.66565579984837","0.66565579984837","0.66565579984837"
"200","0.66565579984837","0.66565579984837","0.66565579984837","","","","0.66868840030326","0.66868840030326","0.66868840030326"
"204","0.6777862016679302","0.6777862016679302","0.6777862016679302","","","","0.6732373009855952","0.6732373009855952","0.6732373009855952"
"208","0.66565579984837","0.66565579984837","0.66565579984837","","","","0.6709628506444276","0.6709628506444276","0.6709628506444276"
"212","0.6747536012130402","0.6747536012130402","0.6747536012130402","","","","0.6793025018953753","0.6793025018953753","0.6793025018953753"
"216","0.6793025018953753","0.6793025018953753","0.6793025018953753","","","","0.6633813495072024","0.6633813495072024","0.6633813495072024"
"220","0.6618650492797574","0.6618650492797574","0.6618650492797574","","","","0.6664139499620925","0.6664139499620925","0.6664139499620925"
"224","0.66565579984837","0.66565579984837","0.66565579984837","","","","0.686125852918878","0.686125852918878","0.686125852918878"
"228","0.6679302501895376","0.6679302501895376","0.6679302501895376","","","","0.690674753601213","0.690674753601213","0.690674753601213"
"232","0.6694465504169825","0.6694465504169825","0.6694465504169825","","","","0.6876421531463229","0.6876421531463229","0.6876421531463229"
"236","0.6709628506444276","0.6709628506444276","0.6709628506444276","","","","","",""
"240","0.6702047005307051","0.6702047005307051","0.6702047005307051","","","","","",""
"244","0.6853677028051555","0.6853677028051555","0.6853677028051555","","","","","",""
"248","0.6853677028051555","0.6853677028051555","0.6853677028051555","","","","","",""
"252","0.6739954510993177","0.6739954510993177","0.6739954510993177","","","","","",""
"256","0.6603487490523123","0.6603487490523123","0.6603487490523123","","","","","",""
