"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/OlympiadBench","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/OlympiadBench","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/OlympiadBench","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/OlympiadBench__MAX"
"140","0.08469539375928678","0.08469539375928678","0.08469539375928678","","","","0.10401188707280833","0.10401188707280833","0.10401188707280833"
"144","0.09658246656760773","0.09658246656760773","0.09658246656760773","","","","0.09212481426448738","0.09212481426448738","0.09212481426448738"
"148","0.0950965824665676","0.0950965824665676","0.0950965824665676","","","","0.1099554234769688","0.1099554234769688","0.1099554234769688"
"152","0.09361069836552749","0.09361069836552749","0.09361069836552749","","","","0.09212481426448738","0.09212481426448738","0.09212481426448738"
"156","0.09658246656760773","0.09658246656760773","0.09658246656760773","","","","0.10698365527488855","0.10698365527488855","0.10698365527488855"
"160","0.10846953937592868","0.10846953937592868","0.10846953937592868","","","","0.09658246656760773","0.09658246656760773","0.09658246656760773"
"164","0.1025260029717682","0.1025260029717682","0.1025260029717682","","","","0.10104011887072809","0.10104011887072809","0.10104011887072809"
"168","0.10401188707280833","0.10401188707280833","0.10401188707280833","","","","0.12035661218424963","0.12035661218424963","0.12035661218424963"
"172","0.10401188707280833","0.10401188707280833","0.10401188707280833","","","","0.1099554234769688","0.1099554234769688","0.1099554234769688"
"176","0.10549777117384844","0.10549777117384844","0.10549777117384844","","","","0.12184249628528974","0.12184249628528974","0.12184249628528974"
"180","0.1025260029717682","0.1025260029717682","0.1025260029717682","","","","0.11292719167904904","0.11292719167904904","0.11292719167904904"
"184","0.10549777117384844","0.10549777117384844","0.10549777117384844","","","","0.12332838038632987","0.12332838038632987","0.12332838038632987"
"188","0.10698365527488855","0.10698365527488855","0.10698365527488855","","","","0.10401188707280833","0.10401188707280833","0.10401188707280833"
"192","0.10549777117384844","0.10549777117384844","0.10549777117384844","","","","0.11738484398216939","0.11738484398216939","0.11738484398216939"
"196","0.09658246656760773","0.09658246656760773","0.09658246656760773","","","","0.1277860326894502","0.1277860326894502","0.1277860326894502"
"200","0.1099554234769688","0.1099554234769688","0.1099554234769688","","","","0.12184249628528974","0.12184249628528974","0.12184249628528974"
"204","0.11589895988112928","0.11589895988112928","0.11589895988112928","","","","0.12332838038632987","0.12332838038632987","0.12332838038632987"
"208","0.10549777117384844","0.10549777117384844","0.10549777117384844","","","","0.11441307578008915","0.11441307578008915","0.11441307578008915"
"212","0.09361069836552749","0.09361069836552749","0.09361069836552749","","","","0.1099554234769688","0.1099554234769688","0.1099554234769688"
"216","0.09658246656760773","0.09658246656760773","0.09658246656760773","","","","0.1188707280832095","0.1188707280832095","0.1188707280832095"
"220","0.0861812778603269","0.0861812778603269","0.0861812778603269","","","","0.11738484398216939","0.11738484398216939","0.11738484398216939"
"224","0.09806835066864784","0.09806835066864784","0.09806835066864784","","","","0.11292719167904904","0.11292719167904904","0.11292719167904904"
"228","0.09063893016344725","0.09063893016344725","0.09063893016344725","","","","0.1188707280832095","0.1188707280832095","0.1188707280832095"
"232","0.10846953937592868","0.10846953937592868","0.10846953937592868","","","","0.11292719167904904","0.11292719167904904","0.11292719167904904"
"236","0.11589895988112928","0.11589895988112928","0.11589895988112928","","","","","",""
"240","0.11292719167904904","0.11292719167904904","0.11292719167904904","","","","","",""
"244","0.1188707280832095","0.1188707280832095","0.1188707280832095","","","","","",""
"248","0.1099554234769688","0.1099554234769688","0.1099554234769688","","","","","",""
"252","0.10698365527488855","0.10698365527488855","0.10698365527488855","","","","","",""
"256","0.10698365527488855","0.10698365527488855","0.10698365527488855","","","","","",""
